type,np,stat,pMSE_LR_V,pMSE_LR_R,pMSE_LR_S,pMSE_T_V,pMSE_T_R,pMSE_T_S,IDR,CAP_0,CAP_NA,Pop_Uniq,JSD,Dpa,Dcb,Authenticity,Record_Linkage,DCR,NNDR,Pairwise Correlation
orig,5000x10,min,0.001105208,0.939337364,-0.255755483,0.078902648,1.041226839,1.27391974,0.0056,1.04E-05,0.000685153,0.004811548,0.031936298,0.985841622,0.978362913,0.5588,0.00733808,0.026937916,0.677903895,0.20663976
orig,5000x10,max,0.001105208,1.173937052,0.567949209,0.079123623,1.055098595,2.228726648,0.0114,1.89E-05,0.001025571,0.010860821,0.031936298,0.985841622,0.978362913,0.5588,0.00733808,0.026937916,0.677903895,0.20663976
synthpop_default,5000x10,mean,0.000847387,0.810507679,-0.630660701,0.071477681,0.955075866,-1.710962672,0.022721333,4.12E-05,0.001085034,0.022248734,0.021397486,0.974609271,0.99307682,0.5584,0.00710016,0.030897905,0.678858606,0.242362556
synthpop_default,5000x10,sd,1.10E-19,0.035616682,0.139448886,0.00010723,0.004024453,0.223418201,0.002591936,4.92E-06,6.33E-05,0.002192443,3.50E-18,1.12E-16,0,0,8.76E-19,3.50E-18,1.12E-16,0
synthpop_default,5000x10,min,0.000847387,0.742859442,-1.053900656,0.071275183,0.948312729,-2.414751254,0.0172,2.90E-05,0.000865683,0.016714227,0.021397486,0.974609271,0.99307682,0.5584,0.00710016,0.030897905,0.678858606,0.242362556
synthpop_default,5000x10,max,0.000847387,0.894055938,-0.36185006,0.071655113,0.962260778,-1.350288596,0.0258,4.74E-05,0.001184314,0.026143791,0.021397486,0.974609271,0.99307682,0.5584,0.00710016,0.030897905,0.678858606,0.242362556
synthpop_spline,5000x10,mean,0.001122656,1.077298248,0.258837751,0.070086617,0.937095342,-2.394766372,0.018208,3.87E-05,0.001191006,0.017779312,0.021460595,0.981809275,0.993790255,0.5532,0.00713088,0.032127766,0.66933802,0.265114158
synthpop_spline,5000x10,sd,2.19E-19,0.051042151,0.17415126,0.000173385,0.004505577,0.329006552,0.001330926,7.29E-06,0.000137274,0.001254125,7.01E-18,2.24E-16,1.12E-16,0,8.76E-19,7.01E-18,1.12E-16,5.61E-17
synthpop_spline,5000x10,min,0.001122656,0.988525462,-0.041718934,0.069803417,0.929636019,-3.395973569,0.0152,2.54E-05,0.000962667,0.015052889,0.021460595,0.981809275,0.993790255,0.5532,0.00713088,0.032127766,0.66933802,0.265114158
synthpop_spline,5000x10,max,0.001122656,1.195866416,0.685138916,0.070471988,0.945726743,-1.814419326,0.0206,5.01E-05,0.001414743,0.020816327,0.021460595,0.981809275,0.993790255,0.5532,0.00713088,0.032127766,0.66933802,0.265114158
synthpop_density,5000x10,mean,0.001103095,1.060602281,0.201785773,0.073152007,0.977190904,-0.874033849,0.017877333,4.01E-05,0.001190485,0.017281264,0.02042012,0.962083229,0.976970273,0.548,0.0072704,0.030820108,0.679662658,0.245782958
synthpop_density,5000x10,sd,0,0.043214414,0.147686161,0.000140183,0.004140746,0.170603786,0.001553483,6.00E-06,0.00016011,0.001315307,0,0,0,0,8.76E-19,3.50E-18,0,2.80E-17
synthpop_density,5000x10,min,0.001103095,0.955626794,-0.157837213,0.07289693,0.968156437,-1.23347149,0.015,2.48E-05,0.000786584,0.013945857,0.02042012,0.962083229,0.976970273,0.548,0.0072704,0.030820108,0.679662658,0.245782958
synthpop_density,5000x10,max,0.001103095,1.145898228,0.507596445,0.073479723,0.986058268,-0.524741759,0.021466667,5.23E-05,0.001423508,0.020098441,0.02042012,0.962083229,0.976970273,0.548,0.0072704,0.030820108,0.679662658,0.245782958
ctgan,5000x10,mean,0.006194251,5.949809343,16.28066845,0.09226905,1.228284921,8.638562592,0.004844,8.86E-06,0.000730026,0.004935762,0.1916324,0.977020699,0.910096541,0.5884,0.00754896,0.025594749,0.672029507,0.477180785
ctgan,5000x10,sd,8.76E-19,0.259620524,1.858355571,0.000117129,0.005576306,1.027564773,0.001144729,1.60E-06,9.21E-05,0.001159671,2.80E-17,0,1.12E-16,0,0,3.50E-18,1.12E-16,5.61E-17
ctgan,5000x10,min,0.006194251,5.375014889,12.49613581,0.092069397,1.212275535,6.799369809,0.0022,2.83E-06,0.000307418,0.002012882,0.1916324,0.977020699,0.910096541,0.5884,0.00754896,0.025594749,0.672029507,0.477180785
ctgan,5000x10,max,0.006194251,6.564305189,21.83148341,0.092451398,1.23959552,11.89642356,0.007066667,1.20E-05,0.000887623,0.006860371,0.1916324,0.977020699,0.910096541,0.5884,0.00754896,0.025594749,0.672029507,0.477180785
orig,5000x15,mean,0.001009167,0.650068003,-1.457698825,0.090106275,0.975826628,-1.105856618,0,0,0,0,0.043882039,0.969379311,0.980477531,0.6548,0.00039344,0.123841104,0.746912758,0.435368265
orig,5000x15,sd,2.19E-19,0.021956625,0.189597793,0.000307824,0.003946395,0.252669508,0,0,0,0,0,1.12E-16,1.12E-16,0,5.48E-20,1.40E-17,0,5.61E-17
orig,5000x15,min,0.001009167,0.602504146,-2.354648059,0.089401847,0.966305667,-1.64248531,0,0,0,0,0.043882039,0.969379311,0.980477531,0.6548,0.00039344,0.123841104,0.746912758,0.435368265
orig,5000x15,max,0.001009167,0.692889452,-1.16270896,0.090756726,0.984147387,-0.671851401,0,0,0,0,0.043882039,0.969379311,0.980477531,0.6548,0.00039344,0.123841104,0.746912758,0.435368265
syn_default,5000x15,mean,0.000915105,0.594933905,-1.633117286,0.09340052,1.018385518,0.838455187,0,0,0,0,0.029635404,0.986017592,0.992631623,0.642,0.0004328,0.130001381,0.742845799,0.475259893
syn_default,5000x15,sd,1.10E-19,0.028350388,0.213818824,0.000218097,0.004427467,0.221911908,0,0,0,0,0,1.12E-16,0,0,5.48E-20,0,1.12E-16,0
syn_default,5000x15,min,0.000915105,0.547158037,-2.067394368,0.09301238,1.007088767,0.344473256,0,0,0,0,0.029635404,0.986017592,0.992631623,0.642,0.0004328,0.130001381,0.742845799,0.475259893
syn_default,5000x15,max,0.000915105,0.681367791,-1.208195806,0.093808334,1.028096171,1.479296461,0,0,0,0,0.029635404,0.986017592,0.992631623,0.642,0.0004328,0.130001381,0.742845799,0.475259893
syn_spline,5000x15,mean,0.001044339,0.675931589,-1.336812175,0.088162612,0.958494559,-1.884140216,0.000816,1.01E-06,0.000773988,0.000728,0.032701246,0.978057545,0.977274676,0.6432,0.00043568,0.139893582,0.753323987,0.457646873
syn_spline,5000x15,sd,2.19E-19,0.023751237,0.166920811,9.83E-05,0.002955806,0.202911736,0.000395567,4.93E-07,0.000240067,0.000417495,0,0,1.12E-16,1.12E-16,5.48E-20,0,0,5.61E-17
syn_spline,5000x15,min,0.001044339,0.621808447,-1.691750807,0.087969598,0.950746439,-2.458113368,0,0,0,0,0.032701246,0.978057545,0.977274676,0.6432,0.00043568,0.139893582,0.753323987,0.457646873
syn_spline,5000x15,max,0.001044339,0.720436426,-1.011344411,0.088372742,0.964119138,-1.362669688,0.0016,2.01E-06,0.001136364,0.0016,0.032701246,0.978057545,0.977274676,0.6432,0.00043568,0.139893582,0.753323987,0.457646873
syn_density,5000x15,mean,0.001100956,0.712824482,-1.15587219,0.088327037,0.96134816,-1.793547469,0.000496,6.02E-07,0.000978069,0.000568,0.029010909,0.966096551,0.986270636,0.6424,0.00045248,0.139513529,0.747425768,0.459679868
syn_density,5000x15,sd,0,0.025743278,0.170401754,0.000210696,0.003383978,0.258033637,0.000274761,3.58E-07,0.000408687,0.000313922,0,2.24E-16,2.24E-16,0,5.48E-20,0,0,5.61E-17
syn_density,5000x15,min,0.001100956,0.662722634,-1.51126457,0.08800649,0.954238238,-2.475419293,0,0,0,0,0.029010909,0.966096551,0.986270636,0.6424,0.00045248,0.139513529,0.747425768,0.459679868
syn_density,5000x15,max,0.001100956,0.784708175,-0.817166082,0.088867465,0.968481456,-1.300217078,0.0012,1.51E-06,0.001501501,0.0012,0.029010909,0.966096551,0.986270636,0.6424,0.00045248,0.139513529,0.747425768,0.459679868
ctgan,5000x15,mean,0.013843454,9.014982265,31.83031863,0.12227064,1.33134044,14.99790765,0,0,0,0,0.448194893,0.960717241,0.912137931,0.632,0.00049296,0.113446509,0.745303549,0.490884646
ctgan,5000x15,sd,1.75E-18,0.316056243,3.816561476,5.99E-05,0.005111932,2.409717727,0,0,0,0,1.12E-16,0,1.12E-16,1.12E-16,0,0,0,5.61E-17
ctgan,5000x15,min,0.013843454,8.425078402,26.38195121,0.122164869,1.319298429,10.62992458,0,0,0,0,0.448194893,0.960717241,0.912137931,0.632,0.00049296,0.113446509,0.745303549,0.490884646
ctgan,5000x15,max,0.013843454,9.848334065,40.52873486,0.122369246,1.343469478,22.50188826,0,0,0,0,0.448194893,0.960717241,0.912137931,0.632,0.00049296,0.113446509,0.745303549,0.490884646
orig,5000x20,mean,0.00148251,0.727806692,-1.258651728,0.101925541,1.017355785,0.829213642,0,0,0,0,0.05066393,0.96217931,0.96782973,0.6616,7.54E-05,0.225166574,0.791686848,0.574579501
orig,5000x20,sd,2.19E-19,0.021138316,0.160622313,0.000393364,0.004772897,0.254311589,0,0,0,0,7.01E-18,0,0,0,0,2.80E-17,1.12E-16,0
orig,5000x20,min,0.00148251,0.683570626,-1.626804832,0.101060876,1.005896365,0.274409668,0,0,0,0,0.05066393,0.96217931,0.96782973,0.6616,7.54E-05,0.225166574,0.791686848,0.574579501
orig,5000x20,max,0.00148251,0.766251362,-0.990046281,0.102652113,1.029559814,1.572783218,0,0,0,0,0.05066393,0.96217931,0.96782973,0.6616,7.54E-05,0.225166574,0.791686848,0.574579501
syn_default,5000x20,mean,0.001783131,0.876777219,-0.569123353,0.097440597,0.974428844,-1.271658676,0,0,0,0,0.038754757,0.961875869,0.984214036,0.6688,9.30E-05,0.243913668,0.80057948,0.574271321
syn_default,5000x20,sd,2.19E-19,0.030963934,0.158879678,0.000649321,0.007528895,0.430502374,0,0,0,0,7.01E-18,1.12E-16,0,1.12E-16,1.37E-20,0,0,0
syn_default,5000x20,min,0.001783131,0.799333688,-0.984804611,0.096685562,0.958471722,-2.329860954,0,0,0,0,0.038754757,0.961875869,0.984214036,0.6688,9.30E-05,0.243913668,0.80057948,0.574271321
syn_default,5000x20,max,0.001783131,0.964401424,-0.1808142,0.098147379,0.987715787,-0.538484682,0,0,0,0,0.038754757,0.961875869,0.984214036,0.6688,9.30E-05,0.243913668,0.80057948,0.574271321
syn_spline,5000x20,mean,0.001246023,0.611539991,-1.765883761,0.103434582,1.0349369,1.729204013,0,0,0,0,0.039761509,0.96377931,0.984197857,0.6704,9.26E-05,0.256685118,0.805963327,0.525420789
syn_spline,5000x20,sd,2.19E-19,0.019991213,0.172784703,0.000306841,0.004667127,0.364482694,0,0,0,0,7.01E-18,0,1.12E-16,1.12E-16,1.37E-20,5.61E-17,1.12E-16,1.12E-16
syn_spline,5000x20,min,0.001246023,0.549411603,-2.190569687,0.102957764,1.024204652,1.094303813,0,0,0,0,0.039761509,0.96377931,0.984197857,0.6704,9.26E-05,0.256685118,0.805963327,0.525420789
syn_spline,5000x20,max,0.001246023,0.656756803,-1.326602832,0.104103216,1.042897876,3.104483375,0,0,0,0,0.039761509,0.96377931,0.984197857,0.6704,9.26E-05,0.256685118,0.805963327,0.525420789
syn_density,5000x20,mean,0.001617307,0.79145793,-0.979689477,0.100114004,1.001303985,0.06084602,0,0,0,0,0.040123183,0.957820695,0.98184257,0.694,7.65E-05,0.244940621,0.801721916,0.599511689
syn_density,5000x20,sd,2.19E-19,0.02483834,0.173693225,0.000145414,0.002957387,0.144050535,0,0,0,0,7.01E-18,0,1.12E-16,1.12E-16,1.37E-20,5.61E-17,0,0
syn_density,5000x20,min,0.001617307,0.736234012,-1.476539132,0.099843104,0.992514289,-0.39216746,0,0,0,0,0.040123183,0.957820695,0.98184257,0.694,7.65E-05,0.244940621,0.801721916,0.599511689
syn_density,5000x20,max,0.001617307,0.855613607,-0.646825868,0.100410198,1.007708423,0.367779919,0,0,0,0,0.040123183,0.957820695,0.98184257,0.694,7.65E-05,0.244940621,0.801721916,0.599511689
ctgan,5000x20,mean,0.022912886,11.32239599,49.25316069,0.132688337,1.336985643,16.42283587,0,0,0,0,0.530791309,0.986051835,0.92091035,0.636,0.0001168,0.208136657,0.790445909,0.705811525
ctgan,5000x20,sd,0,0.322866843,6.386805109,0.000170617,0.004464268,2.226710997,0,0,0,0,0,1.12E-16,1.12E-16,0,0,0,0,1.12E-16
ctgan,5000x20,min,0.022912886,10.6411684,38.14090076,0.132324784,1.325996979,11.01783727,0,0,0,0,0.530791309,0.986051835,0.92091035,0.636,0.0001168,0.208136657,0.790445909,0.705811525
ctgan,5000x20,max,0.022912886,12.77401341,67.19598357,0.13304755,1.349311173,25.87236546,0,0,0,0,0.530791309,0.986051835,0.92091035,0.636,0.0001168,0.208136657,0.790445909,0.705811525
orig,10000x5,mean,0.000416346,1.54611174,1.33192552,0.041352656,0.99889028,-0.036536792,0.054850149,0.012241321,0.0124343,0.222611851,0.011941069,0.993831154,0.985123897,0.309,0.03501736,0.000935947,0.68979726,0.059328784
orig,10000x5,sd,0,0.114315171,0.281210583,7.50E-05,0.00500199,0.172444769,0.002592356,0.001214012,0.00122628,0.016549578,0,1.12E-16,1.12E-16,0,7.01E-18,0,1.12E-16,0
orig,10000x5,min,0.000416346,1.355661401,0.85643676,0.041224193,0.991391285,-0.301972688,0.051191528,0.009354391,0.009516166,0.187861272,0.011941069,0.993831154,0.985123897,0.309,0.03501736,0.000935947,0.68979726,0.059328784
orig,10000x5,max,0.000416346,1.914211027,2.003673895,0.041486204,1.011331194,0.412150279,0.064315947,0.014223319,0.014471887,0.272479564,0.011941069,0.993831154,0.985123897,0.309,0.03501736,0.000935947,0.68979726,0.059328784
synthpop_default,10000x5,mean,0.000184545,0.676558389,-0.785332415,0.035878907,0.898773812,-3.271177775,0.055987738,0.012561725,0.012679585,0.271942462,0.008127893,0.994488469,0.990868972,0.2076,0.03536264,0.000865318,0.682842305,0.066177611
synthpop_default,10000x5,sd,0,0.043663958,0.141427933,4.26E-05,0.004258185,0.337548869,0.003080823,0.001261584,0.001266704,0.020570685,1.75E-18,1.12E-16,1.12E-16,0,0,0,1.12E-16,1.40E-17
synthpop_default,10000x5,min,0.000184545,0.581677572,-1.120067895,0.035786813,0.890118878,-4.200247263,0.053765624,0.009779719,0.009886493,0.234848485,0.008127893,0.994488469,0.990868972,0.2076,0.03536264,0.000865318,0.682842305,0.066177611
synthpop_default,10000x5,max,0.000184545,0.771657174,-0.556855932,0.035944887,0.909266916,-2.520182826,0.067647004,0.015222582,0.015348439,0.325153374,0.008127893,0.994488469,0.990868972,0.2076,0.03536264,0.000865318,0.682842305,0.066177611
