가구구분코드,가구원수,취업인원수,노인가구여부,모자가구여부,맞벌이가구여부,일반가구여부,세대구분코드,배우자코드,가구주_성별코드,가구주_연령,가구주_학력코드,가구주_수학구분코드,가구주_취업여부,가구주_10차산업분류코드,가구주_7차직업분류코드,거처구분코드,자동차보유대수,입주형태코드,월세평가금액,전세보증금,월세사글세,주거용전용면적,주택소유유무,가중값,전국전체가구_1인이상소득5분위코드,전국전체가구_1인이상소득10분위코드,소득구간코드,가계지출금액,가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액,가계지출_비소비지출금액,도시읍면부구분코드
근로자외 가구,3,1,아님,아님,아님,해당,2세대,있음(동거),남자,54,고등학교,졸업,취업,건설업,기능원 및 관련기능 종사자,단독주택(다가구주택 포함),2,보증부 월세,300,8091,0,54,없음,2222,4분위,7분위,500~600만원 미만,6579659,4479320,362804,5596,134823,411917,347706,189325,578979,198675,211860,689241,935130,829570,1674289,도시
근로자가구,2,2,아님,아님,아님,해당,2세대,없음,여자,34,고등학교,졸업,취업,제조업,사무 종사자,단독주택(다가구주택 포함),0,자기집,802,51838,0,62,없음,2466,3분위,6분위,400~500만원 미만,3364788,2829280,287314,1519,131927,432915,31006,81355,136089,339328,246317,0,830200,112013,660570,도시
근로자외 가구,2,0,아님,아님,아님,해당,1세대,없음,남자,50,대학교(4년제 이상),졸업,비취업,"농업, 임업 및 어업","기타,무직",아 파 트,0,보증부 월세,704,2489,0,75,없음,1938,1분위,2분위,100~200만원 미만,1845131,1688517,200052,311,63093,534223,35702,196483,108384,54854,49089,25368,51558,25273,215275,도시
근로자외 가구,2,0,아님,해당,아님,아님,2세대,없음,여자,48,초등학교,졸업,비취업,"기타,무직","기타,무직",단독주택(다가구주택 포함),0,자기집,88,0,1835,65,있음,511,1분위,1분위,100만원 미만,863160,986999,136388,67535,145077,75124,21928,58031,13197,59104,113470,37456,97615,56495,517,비도시
근로자가구,3,1,아님,아님,아님,해당,2세대,있음(동거),남자,36,고등학교,졸업,취업,제조업,사무 종사자,아 파 트,1,영구임대,328,25571,0,28,없음,1849,3분위,6분위,400~500만원 미만,3269210,2908824,964119,65020,246614,440576,135114,92962,156240,176938,92878,0,959721,255090,355830,도시
근로자외 가구,2,0,해당,아님,아님,아님,1세대,있음(동거),남자,81,초등학교,졸업,비취업,"기타,무직","기타,무직",아 파 트,0,자기집,500,0,17971,82,있음,2296,5분위,1분위,100~200만원 미만,1402504,1506409,238482,9510,26651,214307,101176,512834,56,21031,22240,0,97923,5104,67898,도시
근로자외 가구,1,1,해당,아님,아님,아님,1세대,없음,남자,78,초등학교,졸업,취업,"농업, 임업 및 어업",농림어업숙련 종사자,아 파 트,1,자기집,998,0,373358,94,없음,1103,2분위,4분위,200~300만원 미만,1875101,1272348,234218,5163,1933,154188,4868,71011,189445,6868,13829,0,190877,32479,803526,도시
근로자가구,3,1,아님,아님,아님,해당,2세대,있음(동거),남자,47,대학교(4년제 이상),졸업,취업,제조업,전문가 및 관련 종사자,아 파 트,2,전세,392,52377,0,51,없음,1151,5분위,9분위,700만원 이상,4743611,3633193,503457,100606,161825,222331,115585,184216,320215,269467,258687,263904,855537,173341,829836,도시
근로자가구,2,1,아님,아님,아님,해당,1세대,있음(동거),남자,59,고등학교,졸업,비취업,제조업,"장치,기계조작 및 조립 종사자",아 파 트,1,자기집,803,0,284990,84,있음,1355,4분위,6분위,400~500만원 미만,6135930,4207855,1100240,20078,155292,256306,114653,217746,297800,68885,390441,6000,705888,616977,1318608,도시
근로자가구,2,2,해당,아님,해당,아님,1세대,있음(동거),남자,68,고등학교,졸업,취업,"협회 및 단체, 수리  및 기타 개인 서비스업",전문가 및 관련 종사자,단독주택(다가구주택 포함),0,전세,523,100584,0,82,없음,1670,2분위,4분위,300~400만원 미만,1396966,910172,373688,1216,7,113868,30754,35063,27127,78415,18016,0,66066,197267,488987,도시
근로자가구,3,1,아님,아님,아님,해당,2세대,있음(동거),남자,44,고등학교,졸업,취업,제조업,"장치,기계조작 및 조립 종사자",아 파 트,0,자기집,482,0,185560,88,있음,1273,3분위,6분위,400~500만원 미만,1918113,1699037,369317,4312,48528,375156,23679,442091,91755,37985,51586,0,138488,101022,406526,도시
근로자외 가구,2,0,아님,아님,아님,해당,1세대,없음,여자,33,대학교(4년제 이상),졸업,비취업,"기타,무직","기타,무직",아 파 트,0,보증부 월세,698,10034,0,71,없음,3902,2분위,3분위,200~300만원 미만,3237668,3553454,252338,922,213592,869270,7604,70259,214519,55427,200768,0,670424,269681,222854,도시
근로자가구,1,1,해당,아님,아님,아님,1세대,없음,여자,66,고등학교,졸업,취업,숙박 및 음식점업,단순노무 종사자,아 파 트,0,자기집,395,0,106992,45,있음,1598,2분위,4분위,300~400만원 미만,1647266,1052148,294446,2002,132901,92340,13694,33572,33880,52141,57506,0,114546,169172,683243,도시
근로자가구,3,1,아님,아님,아님,해당,2세대,없음,남자,41,고등학교,졸업,취업,제조업,기능원 및 관련기능 종사자,아 파 트,1,자기집,595,0,68642,73,있음,1579,3분위,5분위,300~400만원 미만,3058330,2752732,537861,321130,79488,250623,79641,13571,71744,102178,76741,503715,344200,114488,405041,도시
근로자가구,1,1,아님,아님,아님,해당,1세대,없음,여자,28,대학교(4년제 이상),졸업,취업,교육 서비스업,전문가 및 관련 종사자,단독주택(다가구주택 포함),1,보증부 월세,200,688,0,15,없음,1430,2분위,5분위,300~400만원 미만,2026450,1654333,263891,-1491,181629,211669,14775,122811,75296,42381,362595,105714,250985,193610,671345,도시
근로자가구,1,1,아님,아님,아님,해당,1세대,없음,남자,58,고등학교,졸업,취업,숙박 및 음식점업,서비스 종사자,단독주택(다가구주택 포함),0,보증부 월세,587,2138,0,47,없음,548,1분위,1분위,200~300만원 미만,1546361,1364564,173791,-135,0,596912,69558,65555,64790,46373,60708,0,45330,86191,164896,도시
근로자가구,2,1,아님,해당,아님,해당,2세대,없음,여자,44,대학교(4년제 이상),졸업,취업,"전문, 과학 및 기술 서비스업",전문가 및 관련 종사자,단독주택(다가구주택 포함),1,자기집,300,0,0,72,있음,1974,4분위,2분위,100~200만원 미만,1907782,1260485,442722,1240,5975,91014,28251,133751,55932,57149,103667,294411,43698,62388,607055,도시
근로자가구,1,1,해당,아님,아님,아님,1세대,있음(동거),남자,56,고등학교,졸업,취업,"협회 및 단체, 수리  및 기타 개인 서비스업",단순노무 종사자,아 파 트,1,자기집,1429,0,345166,93,있음,722,3분위,6분위,400~500만원 미만,4021199,2271065,394310,113418,117985,58527,17572,240872,59347,112184,45164,17101,612704,191716,1807280,도시
근로자가구,2,1,아님,아님,아님,해당,2세대,없음,여자,25,대학교(4년제 이상),졸업,취업,제조업,사무 종사자,아 파 트,1,자기집,606,0,242439,65,있음,1870,2분위,4분위,200~300만원 미만,3063557,2017013,325185,1635,160447,294856,29625,60809,239445,104620,210127,0,384722,134009,871930,도시
근로자가구,3,1,아님,아님,아님,해당,2세대,없음,여자,60,고등학교,졸업,취업,"협회 및 단체, 수리  및 기타 개인 서비스업",서비스 종사자,아 파 트,0,전세,529,10006,0,63,있음,1150,3분위,7분위,500~600만원 미만,2189085,1400840,450392,-103,6429,241097,108581,82920,1683,38785,77802,201189,205799,138536,755172,도시
근로자가구,2,2,아님,아님,아님,아님,1세대,없음,남자,69,초등학교,졸업,취업,건설업,기능원 및 관련기능 종사자,단독주택(다가구주택 포함),1,무상주택,108,0,0,63,없음,543,1분위,2분위,100~200만원 미만,782973,791650,84039,4630,1222,154371,9574,1604,161048,143488,14622,0,283567,43208,28541,비도시
근로자가구,1,1,해당,아님,아님,아님,1세대,없음,여자,78,초등학교,졸업,취업,"공공행정, 국방 및 사회보장 행정",단순노무 종사자,단독주택(다가구주택 포함),0,자기집,453,0,137866,233,있음,297,2분위,4분위,200~300만원 미만,2850086,1857502,458353,61725,6069,335007,239419,753106,5207,331,13344,0,35405,30982,782065,비도시
근로자가구,2,1,아님,아님,아님,해당,1세대,있음(동거),남자,47,고등학교,졸업,취업,"공공행정, 국방 및 사회보장 행정",서비스 종사자,아 파 트,1,자기집,494,0,157783,84,있음,1571,3분위,6분위,400~500만원 미만,3620501,2536118,575876,72698,133974,143046,23368,495264,214166,180790,195114,19750,805863,330259,872242,도시
근로자가구,2,1,아님,아님,아님,해당,1세대,있음(동거),남자,59,고등학교,졸업,취업,제조업,서비스 종사자,아 파 트,1,자기집,805,0,276767,84,있음,663,2분위,4분위,300~400만원 미만,2321587,1828321,672721,17350,20403,245651,25202,140750,197179,100367,197195,0,253163,227291,696510,도시
근로자외 가구,2,3,해당,아님,해당,아님,1세대,있음(동거),남자,69,대학교(4년제 이상),졸업,취업,건설업,기능원 및 관련기능 종사자,단독주택(다가구주택 포함),1,자기집,483,0,193012,34,있음,1206,4분위,8분위,600~700만원 미만,3248709,1691426,140849,15334,86085,178112,35163,44269,324242,122260,91324,0,389285,175812,1426542,도시
근로자가구,1,1,해당,아님,아님,아님,1세대,없음,여자,73,고등학교,졸업,비취업,보건업 및 사회복지사업,서비스 종사자,다세대주택,1,자기집,300,0,74849,35,있음,172,2분위,3분위,200~300만원 미만,1168715,1070731,129145,-713,40964,78996,22183,420453,35007,42607,178408,0,222894,87030,186308,도시
근로자외 가구,3,1,아님,아님,아님,해당,2세대,있음(동거),남자,51,대학교(4년제 이상),졸업,취업,교육 서비스업,전문가 및 관련 종사자,아 파 트,2,자기집,1392,0,678789,108,있음,633,4분위,9분위,500~600만원 미만,4354870,3187763,937046,86183,130303,403509,188860,91153,179955,171747,164613,0,447821,242297,1397646,도시
근로자가구,3,2,아님,아님,해당,아님,2세대,있음(동거),남자,64,대학교(4년제 이상),졸업,취업,교육 서비스업,전문가 및 관련 종사자,아 파 트,1,무상주택,391,0,0,83,있음,1462,5분위,10분위,700만원 이상,6526581,4015534,693545,1110,136625,863996,384730,296982,291806,86554,84893,0,556704,374130,3239805,도시
근로자외 가구,2,2,아님,아님,해당,아님,1세대,있음(동거),남자,43,고등학교,졸업,취업,도매 및 소매업,기능원 및 관련기능 종사자,아 파 트,1,자기집,962,198393,0,81,없음,1028,5분위,9분위,700만원 이상,2993807,2372570,457324,11261,122683,164398,130937,222937,161192,165238,26629,0,542496,182483,687416,도시
근로자외 가구,2,2,아님,아님,해당,아님,1세대,있음(동거),남자,62,고등학교,졸업,취업,도매 및 소매업,서비스 종사자,다세대주택,1,전세,1557,185044,0,66,없음,5803,4분위,8분위,400~500만원 미만,2120685,1662034,353860,119916,38963,126568,12378,61066,237741,151301,65357,0,475217,68850,523502,도시
근로자가구,3,2,아님,아님,아님,해당,2세대,없음,남자,65,고등학교,졸업,취업,"공공행정, 국방 및 사회보장 행정",사무 종사자,단독주택(다가구주택 포함),1,무상주택,200,0,0,59,없음,1693,4분위,8분위,600~700만원 미만,5159047,3680712,630584,19948,144453,284907,55699,722955,132210,113895,337623,367430,599424,116717,1488558,도시
근로자가구,2,1,아님,아님,아님,해당,2세대,있음(동거),남자,43,대학교(4년제 이상),졸업,취업,제조업,전문가 및 관련 종사자,아 파 트,0,자기집,577,210092,0,64,없음,2273,4분위,8분위,600~700만원 미만,5423036,3705101,375166,96548,19465,360068,60911,495100,91371,157475,196948,16540,379337,329796,1778731,도시
근로자외 가구,2,1,해당,아님,아님,아님,1세대,있음(동거),남자,75,초등학교,졸업,비취업,"기타,무직","기타,무직",아 파 트,1,자기집,351,0,43012,87,있음,184,1분위,2분위,100~200만원 미만,937397,883762,439392,8642,77732,167196,47805,56410,36498,109247,98372,0,110713,34680,116723,비도시
근로자가구,4,2,아님,아님,해당,아님,2세대,있음(동거),남자,38,대학교(4년제 이상),졸업,취업,제조업,사무 종사자,아 파 트,1,전세,300,64849,0,74,없음,1259,2분위,10분위,700만원 이상,8674104,5856692,364133,42586,353426,270239,17962,426965,1570485,172751,443751,372050,526842,245383,2300227,도시
근로자가구,3,1,아님,아님,아님,해당,2세대,없음,여자,38,대학교(4년제 이상),졸업,취업,보건업 및 사회복지사업,사무 종사자,아 파 트,1,보증부 월세,1113,69963,0,62,없음,4633,4분위,8분위,500~600만원 미만,6470373,4757370,515378,52327,381730,442641,694966,335652,236985,270769,182608,443674,1643293,184968,1486864,도시
근로자가구,1,1,아님,아님,아님,해당,1세대,없음,남자,42,고등학교,졸업,취업,건설업,단순노무 종사자,아 파 트,1,전세,498,4980,0,32,없음,1476,2분위,4분위,300~400만원 미만,3039282,2193126,174707,64369,57503,942490,5104,195769,97366,109563,20668,186463,74050,55042,544162,도시
근로자가구,1,1,해당,아님,아님,아님,1세대,없음,여자,72,초등학교,졸업,취업,보건업 및 사회복지사업,단순노무 종사자,아 파 트,1,자기집,524,0,80478,61,있음,1331,1분위,1분위,100만원 미만,917759,703848,217604,-329,13672,181044,62459,215899,13138,3,2503,0,13890,16434,226981,도시
근로자가구,2,1,아님,아님,아님,아님,2세대,없음,여자,33,대학교(4년제 이상),졸업,취업,도매 및 소매업,사무 종사자,다세대주택,1,전세,471,123021,0,60,없음,988,2분위,4분위,300~400만원 미만,3298966,2843361,289866,16961,268203,145853,60710,350657,159887,119764,88202,397467,522355,45141,539035,도시
근로자가구,2,1,아님,아님,아님,해당,1세대,있음(동거),남자,46,중학교,졸업,취업,제조업,사무 종사자,아 파 트,0,전세,2983,352913,0,90,있음,4293,4분위,8분위,600~700만원 미만,4432264,1893284,564506,735,54938,207659,37602,34987,137848,64387,128466,16219,727889,138783,2057087,도시
근로자외 가구,1,0,해당,아님,아님,아님,1세대,없음,여자,80,초등학교,졸업,비취업,"기타,무직",사무 종사자,아 파 트,1,무상주택,472,0,0,82,있음,1297,1분위,1분위,100만원 미만,1252286,1159867,247783,18742,20184,397153,68800,1411,124322,1483,24610,0,48629,110943,132307,도시
근로자가구,3,2,아님,아님,해당,아님,2세대,있음(동거),남자,55,대학교(4년제 이상),졸업,취업,건설업,기능원 및 관련기능 종사자,다세대주택,1,자기집,507,0,166846,66,있음,2306,4분위,8분위,600~700만원 미만,3421190,2836082,400970,68802,265046,100135,73597,185672,246735,47390,285098,0,748328,245100,1018422,도시
근로자가구,2,0,해당,아님,아님,아님,1세대,있음(동거),남자,79,고등학교,졸업,비취업,"기타,무직","기타,무직",아 파 트,0,자기집,1120,0,435107,86,있음,815,2분위,3분위,200~300만원 미만,1270493,947544,233073,2808,12969,144556,5786,154730,61886,11458,13942,0,193097,35754,351789,도시
근로자외 가구,2,2,아님,아님,해당,아님,1세대,있음(동거),남자,53,초등학교,졸업,취업,"농업, 임업 및 어업",농림어업숙련 종사자,단독주택(다가구주택 포함),1,자기집,99,0,72913,74,있음,270,1분위,2분위,100~200만원 미만,999353,1017050,209561,144876,57856,175053,5574,51983,84064,33226,8396,0,82977,34491,192402,비도시
근로자가구,3,1,아님,해당,아님,아님,2세대,없음,여자,40,대학교(4년제 이상),졸업,취업,교육 서비스업,전문가 및 관련 종사자,아 파 트,1,보증부 월세,549,151800,0,40,없음,1899,3분위,6분위,400~500만원 미만,3048724,2959678,305973,749,163762,558054,55407,480225,260810,133202,200636,115826,668050,177538,162758,도시
근로자외 가구,2,1,해당,아님,아님,아님,1세대,있음(동거),여자,64,무학,졸업,취업,보건업 및 사회복지사업,단순노무 종사자,단독주택(다가구주택 포함),1,자기집,250,0,67810,142,있음,1164,1분위,2분위,100~200만원 미만,1272698,1099627,275089,4854,5496,118609,80248,188437,30809,36687,80050,0,26041,20399,472023,비도시
근로자외 가구,5,3,아님,아님,해당,아님,2세대,있음(동거),남자,39,대학교(4년제 이상),졸업,취업,도매 및 소매업,판매 종사자,단독주택(다가구주택 포함),1,자기집,1723,0,320020,81,있음,1340,5분위,10분위,700만원 이상,5000471,3853750,315323,173384,278843,82482,192471,401664,132369,76807,203111,1790,1355798,148645,957679,도시
근로자외 가구,3,0,아님,아님,아님,해당,3세대이상,없음,남자,48,고등학교,졸업,비취업,"기타,무직",전문가 및 관련 종사자,단독주택(다가구주택 포함),0,자기집,120,0,104199,60,있음,560,1분위,2분위,100~200만원 미만,1433701,1172874,330088,14217,0,92725,65025,72100,4057,104163,20595,403169,105327,45770,114789,도시
근로자가구,5,3,아님,아님,해당,아님,2세대,있음(동거),남자,58,대학교(4년제 이상),졸업,취업,"공공행정, 국방 및 사회보장 행정",단순노무 종사자,아 파 트,2,자기집,1705,0,803439,106,있음,944,5분위,10분위,700만원 이상,8411356,5111598,1382415,114144,333667,281541,128686,112745,428642,170855,97284,638403,1139850,406184,2763687,도시
근로자외 가구,3,0,아님,아님,아님,해당,2세대,있음(동거),남자,58,대학교(4년제 이상),졸업,비취업,"기타,무직","기타,무직",아 파 트,1,자기집,863,0,308975,67,있음,946,1분위,1분위,100~200만원 미만,2055840,1644390,376430,70069,97419,103605,39201,26371,130390,90655,60211,264385,36249,44504,257736,도시
근로자가구,3,1,아님,아님,아님,해당,2세대,있음(동거),남자,47,대학교(4년제 이상),졸업,취업,제조업,"기타,무직",아 파 트,1,자기집,541,0,171080,165,있음,524,4분위,8분위,500~600만원 미만,5511897,3276475,398832,17344,56004,1035086,91595,748,302171,152818,29152,719313,306119,177978,1609648,도시
근로자가구,2,1,아님,아님,아님,해당,2세대,없음,남자,46,고등학교,졸업,취업,도매 및 소매업,판매 종사자,단독주택(다가구주택 포함),1,보증부 월세,394,334,0,57,없음,900,1분위,2분위,100~200만원 미만,2121280,1699235,175659,55808,0,187834,16,142700,186365,170238,95926,0,579157,151202,688410,도시
근로자가구,1,1,아님,아님,아님,해당,1세대,없음,여자,47,대학교(4년제 이상),졸업,취업,보건업 및 사회복지사업,사무 종사자,아 파 트,1,자기집,901,0,313174,99,있음,1661,4분위,7분위,300~400만원 미만,1689762,1220415,146167,399,90792,184233,19186,70420,91489,6809,35209,2419,126955,185978,597780,도시
근로자외 가구,3,2,아님,아님,해당,아님,2세대,있음(동거),남자,29,대학교(4년제 이상),졸업,취업,도매 및 소매업,판매 종사자,단독주택(다가구주택 포함),0,보증부 월세,213,2471,0,39,없음,750,3분위,5분위,300~400만원 미만,2863800,2332188,591478,7934,98779,361636,17381,175854,42570,271489,234283,152153,228809,140539,207298,도시
근로자가구,3,1,아님,아님,아님,해당,2세대,있음(동거),여자,39,대학교(4년제 이상),졸업,취업,보건업 및 사회복지사업,전문가 및 관련 종사자,아 파 트,1,자기집,701,0,333849,83,있음,2333,4분위,7분위,500~600만원 미만,3551686,2611022,503617,69023,42518,205619,108136,125113,317592,45161,118442,0,693026,331266,1154416,도시
근로자외 가구,5,3,아님,아님,아님,해당,3세대이상,있음(동거),남자,44,고등학교,졸업,취업,"농업, 임업 및 어업",농림어업숙련 종사자,단독주택(다가구주택 포함),1,자기집,177,0,0,59,있음,2289,2분위,4분위,200~300만원 미만,1789017,1296627,195707,133497,27865,217089,10406,58756,117394,108187,52997,0,413724,54349,144952,도시
근로자외 가구,1,1,해당,아님,아님,아님,1세대,없음,남자,60,고등학교,졸업,취업,"농업, 임업 및 어업",농림어업숙련 종사자,단독주택(다가구주택 포함),1,보증부 월세,242,3283,0,64,없음,1280,1분위,1분위,100만원 미만,584165,213836,56521,520,7,80169,12826,32524,57254,69986,2507,0,21019,32932,108493,도시
근로자가구,3,2,아님,아님,해당,아님,2세대,있음(동거),남자,41,대학교(4년제 이상),졸업,취업,정보통신업,사무 종사자,아 파 트,1,자기집,1417,0,385326,84,있음,1656,5분위,5분위,300~400만원 미만,2869869,1916406,448495,98774,95912,277198,25156,156258,243241,40529,115688,139289,587861,42707,768899,도시
근로자외 가구,5,2,아님,아님,해당,아님,2세대,있음(동거),남자,45,고등학교,졸업,취업,운수 및 창고업,"장치,기계조작 및 조립 종사자",아 파 트,1,자기집,1721,0,401862,105,있음,3394,4분위,7분위,500~600만원 미만,5483405,4606158,1079935,49976,401780,610827,3704885,686836,412680,366356,199637,223080,591380,233211,351269,도시
근로자외 가구,1,1,해당,아님,아님,아님,1세대,없음,여자,66,고등학교,졸업,취업,"협회 및 단체, 수리  및 기타 개인 서비스업",단순노무 종사자,단독주택(다가구주택 포함),1,자기집,642,0,750383,83,있음,2147,3분위,6분위,400~500만원 미만,2503509,1326429,485792,3499,77955,48633,47470,207769,31636,58481,16434,0,117785,147140,1023700,도시
근로자외 가구,1,1,해당,아님,아님,아님,1세대,없음,여자,57,무학,무학(또는 해당없음),취업,도매 및 소매업,농림어업숙련 종사자,단독주택(다가구주택 포함),0,자기집,251,0,76708,80,있음,263,1분위,2분위,100~200만원 미만,685048,828896,207555,17,116324,56752,6534,114131,23742,0,46884,0,25733,49197,31,비도시
근로자가구,1,1,아님,아님,아님,해당,1세대,없음,남자,53,대학교(4년제 이상),졸업,취업,제조업,사무 종사자,아 파 트,1,전세,633,100440,0,74,없음,630,3분위,5분위,300~400만원 미만,3471790,2558720,269655,61813,48812,212830,417750,50699,256701,142204,1014093,0,357906,143769,1321356,도시
근로자가구,1,1,아님,아님,아님,해당,1세대,없음,여자,26,대학교(4년제 이상),졸업,취업,"예술, 스포츠 및 여가관련 서비스업",사무 종사자,오피스텔,0,전세,878,164964,0,22,없음,2995,2분위,4분위,300~400만원 미만,1920578,959679,50509,3700,131188,103174,23867,95220,65003,171143,268734,0,372111,128463,713911,도시
근로자외 가구,2,2,아님,아님,해당,아님,1세대,있음(동거),남자,68,고등학교,졸업,취업,"농업, 임업 및 어업",농림어업숙련 종사자,단독주택(다가구주택 포함),1,자기집,300,0,216077,84,있음,2034,2분위,4분위,200~300만원 미만,2363757,1547128,528518,19413,9549,265517,16200,7388,289915,74518,83508,0,71399,136947,468955,비도시
근로자외 가구,2,2,아님,아님,해당,아님,1세대,있음(동거),남자,54,고등학교,졸업,취업,건설업,기능원 및 관련기능 종사자,단독주택(다가구주택 포함),1,자기집,701,0,100382,107,있음,818,4분위,8분위,600~700만원 미만,2288329,1680389,140521,12456,16468,470285,22499,69387,209012,135281,54468,70336,578269,288362,581013,비도시
근로자가구,1,1,아님,아님,아님,해당,1세대,없음,여자,57,고등학교,졸업,취업,사업시설관리 및 사업지원 및 임대 서비스업,단순노무 종사자,단독주택(다가구주택 포함),1,전세,243,36326,0,23,있음,2284,2분위,3분위,200~300만원 미만,1754165,1232845,163143,3811,61499,32907,22995,54040,109203,35943,25756,0,428011,112704,530556,도시
근로자가구,4,2,아님,아님,해당,아님,2세대,있음(동거),남자,43,대학교(4년제 이상),졸업,취업,"협회 및 단체, 수리  및 기타 개인 서비스업",단순노무 종사자,아 파 트,0,보증부 월세,300,35020,0,66,없음,749,3분위,2분위,300~400만원 미만,1691886,1615730,394793,-864,95874,400207,20686,240924,134955,222748,22861,0,184308,258141,137990,도시
근로자가구,2,1,아님,아님,아님,해당,2세대,있음(동거),남자,50,대학교(4년제 이상),졸업,취업,제조업,사무 종사자,아 파 트,2,자기집,473,0,62918,61,있음,1437,4분위,8분위,600~700만원 미만,5280255,3072146,422091,14165,376804,132661,44561,578212,377295,150592,81953,848200,143613,376679,1703863,도시
