"Var1","Var2","Var4","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20"
"M","D",28,6,4,"M","C","AZ",25,1,1,3,2,10,5
"M","C",16,3,3,"F","A","CB",22,1,1,1,4,3,3
"M","C",35,10,3,"F","D","CJ",33,0,1,2,3,16,3
"F","C",16,12,3,"F","B","EY",33,2,1,1,5,22,2
"M","A",20,5,4,"F","B","EY",23,0,1,1,6,9,4
"F","A",24,4,3,"F","A","PO",15,3,2,2,1,4,5
"M","B",71,30,4,"M","B","PO",31,4,0,3,2,8,5
"M","A",30,8,5,"F","B","IC",17,1,1,2,5,1,4
"F","A",26,4,3,"M","B","ST",20,1,2,3,4,5,4
"F","A",35,16,2,"F","A","CJ",30,1,1,1,1,10,3
"M","B",16,1,4,"F","B","IC",25,0,0,1,0,19,4
"F","A",28,1,3,"F","D","PO",15,3,2,6,2,8,5
"F","A",37,23,2,"F","B","PO",18,6,1,4,1,5,5
"F","B",18,4,6,"F","B","PO",24,2,0,1,4,7,3
"F","A",44,9,1,"F","A","IC",15,0,0,1,3,2,3
"M","A",27,1,3,"M","A","EY",34,0,3,0,2,8,4
"F","A",29,9,5,"M","B","CJ",20,2,2,0,2,2,3
"M","D",19,10,3,"F","A","CB",38,2,0,1,0,7,3
"M","B",27,12,4,"F","B","IC",55,1,1,0,1,4,3
"F","B",16,1,4,"F","A","ST",29,2,2,2,0,2,3
"F","A",50,26,3,"M","C","PO",16,1,2,7,3,6,5
"F","B",33,9,4,"F","B","PO",16,1,0,0,1,5,5
"F","A",27,10,4,"F","B","AZ",31,0,0,4,1,6,5
"M","B",40,26,4,"F","C","CB",22,0,2,1,3,5,4
"M","B",23,16,4,"M","C","CB",33,1,1,0,2,19,4
"F","B",19,7,3,"M","C","PO",16,2,1,4,2,5,5
"M","B",20,2,3,"F","A","CJ",18,1,0,3,1,17,5
"F","B",18,4,3,"F","C","AZ",19,1,0,5,2,6,5
"M","C",20,7,5,"M","B","CB",17,1,2,0,3,6,4
"F","B",25,10,4,"M","D","PO",37,1,1,2,1,5,5
"F","C",29,15,3,"M","C","AZ",22,2,2,1,1,17,5
"M","B",23,10,3,"F","A","EY",21,1,0,2,7,12,3
"M","C",31,20,4,"M","B","CB",35,2,0,1,5,24,3
"M","B",15,2,3,"F","C","CJ",42,1,1,1,0,13,4
"F","B",17,4,3,"F","A","IC",25,1,1,2,1,1,2
"F","C",15,6,5,"F","A","CJ",30,1,0,2,3,12,3
"M","C",36,8,5,"M","B","AZ",22,0,1,3,5,2,4
"F","A",33,10,3,"F","B","CB",27,0,0,2,4,8,4
"F","B",18,7,5,"F","A","PO",24,0,0,1,4,10,4
"F","B",18,4,5,"F","A","PO",23,3,1,4,2,11,5
"M","A",26,10,4,"F","C","CB",19,1,1,0,0,2,3
"F","B",49,20,3,"M","A","PO",17,1,0,1,1,4,5
"M","C",32,3,3,"F","C","EY",20,1,1,5,2,6,5
"F","B",21,7,5,"F","B","AZ",15,0,0,0,0,1,3
"F","B",23,4,3,"M","B","PO",23,3,0,1,1,12,5
"F","A",19,16,5,"F","B","CB",16,4,0,3,3,9,5
"M","A",16,5,5,"F","B","CJ",23,5,2,2,3,13,5
"F","C",28,6,4,"M","A","CJ",19,3,0,2,4,5,3
"F","C",28,21,3,"F","C","CJ",25,2,3,3,2,9,5
"F","A",31,7,3,"F","D","PO",18,1,1,0,4,3,4
"F","A",20,4,4,"F","A","ST",29,0,0,0,1,1,3
"M","C",18,4,3,"M","B","PO",40,1,3,0,2,8,3
"F","B",15,1,4,"M","A","AZ",38,0,1,1,1,5,3
"F","A",15,3,3,"F","B","PO",21,1,0,3,4,6,4
"F","B",25,2,4,"F","B","EY",18,0,0,1,2,4,3
"M","B",19,10,5,"F","C","PO",19,1,3,1,5,3,5
"M","C",20,11,5,"M","C","CB",20,1,2,0,1,5,4
"M","A",18,7,4,"M","D","IC",36,0,0,0,1,13,3
"F","D",15,5,4,"M","A","CJ",19,3,1,0,3,1,3
"M","D",19,7,5,"M","A","PO",27,2,0,0,2,11,3
"F","C",15,4,5,"F","B","EY",19,1,1,5,3,6,5
"F","B",15,1,4,"F","A","PO",31,3,2,2,4,22,3
"F","A",33,21,3,"F","C","AZ",17,2,1,2,0,5,5
"F","A",29,6,4,"M","D","ST",32,2,1,4,2,16,5
"F","A",27,1,4,"F","A","AZ",22,1,1,4,3,5,5
"F","B",29,2,3,"F","B","EY",19,1,0,2,4,5,4
"M","A",20,2,4,"M","B","CB",28,0,2,5,4,14,5
"F","B",44,16,2,"F","B","IC",18,0,0,1,4,5,5
"F","C",49,17,3,"M","B","EY",25,0,0,2,5,8,4
"M","A",27,15,4,"M","A","EY",27,1,1,3,4,13,3
"F","B",32,16,3,"F","C","CJ",30,0,1,0,4,19,4
"M","C",16,5,3,"F","A","EY",35,1,2,0,1,2,3
"M","A",21,13,3,"M","B","AZ",19,1,0,1,1,3,4
"F","A",32,3,4,"M","A","PO",15,0,0,3,1,6,5
"M","C",17,3,4,"F","B","EY",45,2,0,3,3,19,5
"M","B",17,1,4,"F","A","AZ",29,1,2,4,2,1,1
"M","B",43,30,4,"F","B","IC",16,1,2,0,0,5,4
"M","B",39,5,5,"F","A","PO",49,1,1,1,0,9,3
"F","A",41,8,2,"F","B","PO",18,3,0,4,1,5,5
"F","C",20,7,4,"F","C","PO",17,2,1,3,4,7,5
"F","A",20,5,3,"M","B","PO",31,5,1,3,2,5,5
"F","B",21,6,5,"M","C","PO",15,3,1,3,2,7,5
"M","C",24,11,5,"F","A","AZ",26,2,3,0,3,2,2
"M","B",27,12,5,"F","A","IC",32,1,0,2,2,2,3
"F","B",15,1,4,"F","A","EY",22,1,0,1,2,7,3
"F","B",16,7,4,"F","A","EY",40,3,0,0,1,12,3
"M","A",29,20,3,"F","A","AZ",33,0,0,0,1,2,3
"F","B",15,1,4,"F","A","PO",15,0,1,2,4,4,3
"F","A",15,1,3,"M","B","CJ",25,1,0,0,1,5,4
"M","B",16,6,5,"M","A","CJ",21,0,1,1,2,5,3
"M","B",23,6,5,"F","C","CB",23,0,0,2,2,4,5
"F","B",18,5,5,"M","A","PO",17,1,0,0,1,11,5
"F","C",45,6,3,"M","B","IC",38,0,1,0,3,19,3
"F","A",40,13,3,"F","B","CB",16,0,2,1,5,4,3
"M","C",16,3,4,"M","B","AZ",16,2,0,0,3,2,4
"M","C",19,5,4,"F","B","AZ",32,2,0,2,3,11,3
"F","B",20,3,3,"F","A","CJ",27,1,0,1,0,1,3
"F","D",21,3,4,"M","B","AZ",22,1,1,3,3,13,4
"M","B",20,5,3,"M","C","EY",17,2,0,0,2,5,3
"F","C",59,19,3,"F","B","ST",59,0,0,0,0,7,5
"F","B",36,9,4,"F","A","IC",28,0,2,0,0,3,3
"M","C",15,13,5,"F","C","PO",20,4,1,3,1,19,5
"M","B",29,12,5,"F","B","IC",27,3,1,3,6,3,3
"F","C",22,3,4,"M","B","AZ",29,0,2,1,8,14,3
"F","A",34,10,3,"F","C","EY",21,0,1,8,3,11,5
"F","C",24,6,3,"F","A","EY",29,0,1,1,1,4,4
"F","A",29,11,4,"M","C","AZ",28,2,3,0,3,0,3
"F","C",25,1,3,"F","B","EY",32,2,1,1,5,7,4
"M","D",15,12,4,"M","B","PO",26,5,2,6,3,10,5
"F","C",35,18,5,"F","A","EY",64,0,0,0,1,24,3
"M","A",16,3,4,"F","B","AZ",43,2,0,0,2,24,3
"F","A",38,1,2,"F","B","PO",28,1,1,0,2,1,4
"M","B",24,4,4,"M","D","CB",25,2,0,3,2,12,5
"M","A",19,5,3,"F","B","CB",15,2,1,0,2,2,3
"M","A",15,1,4,"F","A","AZ",37,0,1,1,1,4,1
"M","C",21,1,3,"F","B","EY",19,1,1,1,4,3,3
"M","A",25,7,4,"F","C","EY",21,2,0,3,2,3,5
"F","A",26,7,2,"F","A","AZ",17,2,1,0,4,1,4
"F","B",19,7,4,"M","B","AZ",30,1,0,0,2,25,4
"M","C",15,7,4,"M","B","ST",25,2,0,1,1,17,5
"F","B",34,16,3,"F","B","IC",17,0,0,2,1,3,3
"F","C",28,9,2,"F","B","CB",41,1,1,1,3,2,2
"M","B",24,6,5,"F","B","PO",21,0,1,1,3,11,3
"F","A",31,9,3,"M","A","CB",17,0,1,4,1,6,5
"F","B",25,8,4,"F","A","AZ",41,0,0,1,2,18,5
"F","A",19,1,3,"F","A","CB",15,0,1,2,5,2,4
"M","A",17,3,3,"M","A","AZ",32,1,0,2,0,3,2
"M","A",28,2,3,"F","A","IC",22,1,1,0,1,10,3
"M","C",50,27,4,"M","B","AZ",15,0,1,2,3,2,3
"F","A",42,2,3,"F","C","AZ",38,2,1,0,1,9,3
"F","B",24,4,3,"F","C","PO",15,3,1,0,0,7,5
"F","C",22,4,5,"F","C","IC",25,2,1,2,4,1,4
"F","B",33,9,5,"M","B","IC",33,1,1,1,2,13,5
"F","A",29,21,3,"F","B","AZ",27,3,3,1,1,2,3
"M","A",20,9,3,"F","B","PO",25,0,1,2,5,2,3
"F","A",26,3,3,"F","B","EY",19,3,0,2,5,14,4
"F","B",25,4,3,"F","A","EY",25,1,0,2,3,12,3
"F","C",29,8,3,"F","C","CJ",33,0,1,1,2,6,3
"M","A",27,1,4,"F","C","CB",21,0,0,2,3,6,3
"M","C",20,11,6,"M","B","PO",18,0,1,2,2,11,5
"F","B",15,4,5,"M","B","PO",20,0,1,1,3,7,3
"M","C",24,13,5,"F","B","PO",55,0,0,0,2,26,4
"F","A",31,3,3,"M","B","ST",25,0,0,1,5,2,3
"F","A",39,11,1,"F","C","PO",20,1,0,3,2,6,5
"M","A",17,13,5,"F","C","PO",24,0,1,1,6,3,3
"M","B",31,17,4,"F","A","ST",25,1,1,2,3,13,2
"F","C",28,12,4,"F","C","AZ",21,4,0,1,2,17,5
"F","C",22,18,5,"M","B","PO",15,1,1,2,4,4,4
"F","A",15,5,5,"F","B","PO",32,1,1,2,4,9,3
"M","A",17,2,4,"M","A","AZ",16,3,0,4,5,6,5
"M","A",18,10,5,"F","A","CB",33,1,0,2,1,6,2
"F","B",28,9,4,"F","A","AZ",29,0,0,1,0,2,3
"M","A",15,6,4,"F","A","PO",28,1,2,0,0,1,2
"F","A",17,17,5,"M","A","CJ",15,1,0,2,5,1,4
"M","B",16,3,5,"F","C","AZ",22,1,2,3,1,11,5
"F","A",36,8,3,"M","A","PO",25,3,0,3,2,17,5
"M","D",23,8,3,"F","B","EY",18,0,0,1,1,6,3
"M","A",27,5,3,"F","A","IC",35,1,2,1,1,3,1
"F","D",45,41,5,"M","B","EY",15,1,0,0,3,1,3
"M","D",23,24,5,"M","B","ST",27,3,1,0,3,12,3
"F","B",17,4,3,"M","B","PO",34,2,1,5,5,29,5
"F","B",16,2,3,"M","A","AZ",29,0,0,1,0,14,4
