"Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20"
"M","A","CB",23,1,0,0,2,2,4,"M","A","IC",26,2,5,1,5,12,3
"F","A","IC",16,0,0,1,4,2,3,"M","B","CB",15,1,1,1,4,2,4
"M","B","CJ",19,3,1,0,3,4,4,"F","B","AZ",16,1,1,3,4,7,3
"F","D","PO",16,3,1,0,2,2,3,"F","A","AZ",15,4,1,5,3,4,5
"F","C","EY",24,2,0,5,2,5,5,"M","C","PO",15,2,1,0,1,4,3
"F","A","EY",28,1,0,2,2,2,5,"M","B","AZ",20,3,1,5,3,7,5
"F","A","AZ",25,2,0,0,0,1,3,"F","A","IC",37,0,3,0,2,6,3
"F","B","AZ",30,1,0,3,4,14,5,"F","A","AZ",38,1,2,0,0,8,1
"M","B","CB",37,2,1,2,4,9,3,"F","C","PO",21,0,0,4,1,12,5
"F","A","AZ",34,1,0,2,2,4,3,"F","B","AZ",18,1,3,1,3,3,3
"F","B","EY",20,0,1,0,2,1,3,"F","C","AZ",27,3,2,2,2,4,4
"F","D","ST",23,0,1,0,1,15,4,"F","B","EY",25,3,1,1,2,3,4
"F","D","EY",30,0,0,2,2,2,3,"M","C","EY",37,1,1,1,1,12,3
"F","B","IC",22,0,2,2,3,16,4,"M","C","CB",37,2,0,0,3,28,3
"M","B","AZ",15,1,0,0,1,3,3,"F","A","AZ",16,1,2,3,7,6,4
"M","B","CB",15,1,0,1,6,1,3,"M","B","IC",19,0,0,2,4,8,4
"F","B","CJ",33,2,3,1,3,18,4,"M","D","AZ",30,1,0,1,2,15,4
"M","B","PO",18,3,1,7,4,11,5,"F","D","ST",32,4,1,1,3,1,3
"M","A","AZ",27,2,2,1,3,3,1,"F","B","PO",18,1,0,1,1,7,4
"M","A","ST",22,0,2,0,1,12,4,"M","A","AZ",43,0,1,1,1,4,2
"M","C","CB",37,1,0,3,3,14,3,"F","D","AZ",15,0,0,0,1,2,4
"F","B","CB",24,1,2,2,5,6,4,"F","A","CB",24,1,1,1,6,8,4
"F","A","PO",31,3,4,1,1,7,3,"F","A","PO",33,2,2,0,1,11,3
"F","A","EY",24,1,1,3,3,5,4,"F","C","AZ",18,2,1,1,1,5,5
"F","C","PO",16,0,2,3,2,9,5,"F","A","IC",37,1,1,2,0,2,2
"M","A","EY",19,0,1,1,5,5,4,"F","A","IC",31,2,1,2,0,9,3
"F","B","IC",22,0,0,0,2,6,4,"M","A","CJ",37,0,0,1,0,8,2
"M","B","PO",15,5,1,4,2,11,5,"F","A","CJ",32,0,0,1,5,7,4
"F","C","CJ",16,1,2,2,3,5,5,"F","B","CJ",27,0,1,1,2,12,3
"M","B","CB",28,1,1,0,2,29,3,"F","A","AZ",30,2,0,0,4,1,3
"F","A","AZ",17,1,0,1,1,4,3,"F","D","AZ",24,2,2,2,2,20,5
"F","C","EY",18,2,0,0,2,5,3,"M","B","AZ",16,1,0,0,2,2,3
"M","B","IC",16,1,1,0,1,1,3,"F","A","EY",28,2,2,4,0,7,2
"F","D","AZ",15,3,0,2,4,1,3,"F","A","IC",33,0,0,3,3,4,3
"F","A","EY",22,1,1,0,0,4,3,"M","B","CB",18,5,0,3,2,5,5
"M","C","CB",33,2,0,2,3,12,5,"M","B","CB",18,2,1,2,3,4,5
"M","B","PO",18,4,1,3,2,6,5,"F","B","PO",32,0,1,1,1,2,4
"M","B","EY",27,2,1,1,2,2,3,"F","A","AZ",16,2,0,1,3,3,4
"F","A","CB",36,0,1,1,1,4,1,"F","B","PO",18,2,2,0,3,1,3
"M","D","EY",37,1,0,0,1,32,4,"M","A","CJ",16,1,1,5,2,15,5
"F","B","CB",29,0,0,1,2,7,4,"F","A","AZ",27,0,1,2,0,8,5
"M","B","PO",17,0,1,1,4,4,4,"F","B","IC",16,0,0,0,2,4,3
"F","A","CJ",32,2,1,1,1,8,2,"F","B","ST",23,1,1,3,8,5,4
"F","B","AZ",15,0,0,1,3,2,4,"F","C","EY",18,0,1,1,3,6,4
"F","B","PO",38,2,1,1,4,13,3,"F","B","EY",27,2,0,1,4,12,3
"F","B","EY",25,1,2,1,0,13,3,"F","A","EY",41,1,2,2,2,14,2
"F","D","CB",25,1,1,0,0,25,3,"F","B","ST",33,1,1,2,6,18,3
"M","B","EY",47,3,1,2,0,6,5,"M","A","ST",38,1,1,0,0,3,3
"F","A","PO",30,0,0,1,3,12,4,"M","B","CJ",20,0,0,6,7,3,3
"F","B","CJ",15,0,1,4,1,8,5,"F","B","EY",18,2,0,2,2,6,3
"F","A","IC",38,0,0,0,1,5,4,"M","B","ST",28,0,0,0,4,9,4
"F","C","PO",29,1,1,2,2,39,5,"F","B","AZ",20,2,0,2,2,7,5
"F","A","EY",25,2,0,0,0,12,3,"M","B","EY",35,0,1,2,5,14,3
"F","A","AZ",29,0,1,0,0,12,3,"F","A","CJ",16,1,0,2,2,7,4
"F","A","ST",16,1,0,3,3,10,5,"M","C","EY",29,0,0,2,3,7,2
"F","C","EY",19,0,0,0,1,5,3,"M","A","ST",32,0,0,0,0,1,3
"F","D","PO",32,1,1,1,1,6,2,"F","B","PO",15,1,0,7,4,12,5
"F","B","AZ",18,0,0,1,3,3,4,"F","A","EY",15,2,2,2,3,3,4
"F","A","EY",15,0,1,4,5,2,4,"F","B","CJ",18,0,0,2,6,14,4
"M","A","IC",20,0,1,4,3,14,5,"F","D","CB",18,0,0,2,3,6,5
"M","C","AZ",17,3,0,3,3,6,5,"M","C","PO",48,0,1,4,1,20,5
"F","A","CJ",25,3,0,2,3,9,5,"M","B","CJ",15,0,2,3,1,8,5
"F","D","CJ",41,1,0,2,1,28,5,"F","B","EY",15,3,1,0,0,3,3
"M","A","ST",21,4,2,4,6,12,4,"F","A","CB",20,1,2,1,3,5,4
"F","B","CJ",21,2,1,0,0,11,4,"F","B","ST",15,0,0,1,4,2,4
"F","C","AZ",37,1,1,0,4,25,4,"M","A","EY",31,2,1,1,5,3,3
"F","D","AZ",17,1,0,1,2,1,4,"M","B","PO",21,1,2,2,2,1,3
"M","B","EY",28,1,0,2,4,9,3,"M","A","PO",17,1,1,1,2,6,3
"F","B","PO",19,4,0,2,0,7,5,"F","C","CJ",47,1,2,0,1,6,3
"F","B","EY",25,2,1,3,3,9,4,"M","C","PO",24,3,0,2,0,12,5
"F","D","EY",30,3,0,2,1,1,3,"F","A","ST",26,0,1,3,1,1,2
"F","B","AZ",20,1,1,3,5,8,4,"M","B","AZ",24,3,0,4,4,5,5
"F","B","CJ",18,1,0,3,1,33,5,"F","B","EY",19,1,2,3,4,18,3
"F","B","CJ",16,1,0,1,3,3,4,"M","B","CB",15,0,0,0,5,1,4
"F","B","PO",21,1,0,1,2,2,3,"F","C","IC",20,1,2,1,4,9,3
"M","B","PO",19,0,2,2,2,6,5,"F","A","AZ",28,0,0,1,0,2,1
"M","A","CB",26,1,1,1,0,2,4,"M","D","CJ",17,3,1,0,0,5,5
"M","B","CB",23,1,1,2,5,11,3,"M","B","AZ",17,1,1,4,3,9,5
"F","C","PO",15,2,1,7,1,9,5,"F","B","EY",25,0,1,2,4,14,3
"M","B","PO",20,0,0,1,1,2,3,"F","C","CB",25,1,0,2,5,14,3
"F","C","IC",27,2,2,1,2,4,4,"F","B","AZ",27,0,0,3,3,16,5
"M","A","PO",15,3,1,0,0,7,5,"M","B","AZ",21,2,0,1,3,4,4
"F","A","CJ",20,1,0,0,1,3,3,"F","B","PO",26,5,1,0,0,11,5
"F","D","CB",16,1,0,1,2,2,3,"F","C","AZ",16,0,0,2,6,6,4
"F","B","CJ",15,2,2,3,2,10,5,"M","B","ST",36,1,0,3,2,19,5
"M","A","EY",17,1,0,0,0,1,4,"M","C","PO",18,3,2,1,1,7,5
"F","B","CB",41,4,0,2,1,8,5,"F","C","CB",29,1,0,6,1,19,6
"F","B","AZ",27,0,0,2,2,7,4,"M","A","EY",38,0,1,0,3,17,3
"M","C","PO",16,1,1,5,0,9,5,"F","A","PO",47,2,1,2,0,3,4
"M","A","AZ",27,1,2,0,0,11,4,"M","C","EY",23,1,1,3,2,7,5
"F","C","ST",18,3,2,3,1,5,5,"F","B","AZ",27,4,1,1,1,20,5
"F","A","CB",24,1,0,0,2,9,3,"M","C","PO",21,4,0,3,2,5,5
"F","B","AZ",25,2,1,1,3,1,3,"F","B","AZ",18,4,1,2,1,5,5
"M","C","ST",18,0,1,4,1,9,5,"M","B","PO",18,5,1,3,3,10,5
"M","C","ST",32,2,0,0,2,16,4,"M","B","CJ",35,2,1,0,2,19,4
"F","C","AZ",16,2,1,0,0,8,3,"F","A","EY",49,1,3,1,2,12,3
"M","A","CJ",25,2,3,1,2,7,4,"M","A","AZ",16,2,2,0,6,8,4
"M","A","ST",30,1,0,2,3,22,4,"F","A","PO",28,0,1,1,0,1,3
"F","A","EY",25,1,1,0,0,6,4,"M","D","EY",24,6,1,3,4,4,5
"F","C","CJ",20,5,3,4,4,7,5,"F","C","AZ",19,0,1,2,5,7,4
"M","B","CB",47,1,0,1,2,29,4,"F","C","CJ",19,0,0,1,2,10,3
"F","B","PO",23,1,0,5,4,4,5,"F","A","EY",29,0,0,1,0,1,5
"M","C","AZ",15,3,1,2,4,2,3,"F","A","CB",31,1,1,0,1,1,3
"F","C","PO",17,2,0,3,1,14,5,"M","B","PO",28,0,1,6,5,51,5
"M","D","PO",18,0,3,1,2,3,3,"F","A","EY",32,3,1,1,1,3,3
"F","A","PO",30,1,1,0,1,5,3,"F","A","CB",16,1,1,0,2,1,3
"F","C","PO",20,3,0,1,4,1,4,"F","B","AZ",39,0,2,0,1,18,4
"F","B","PO",19,1,0,0,4,1,4,"F","A","PO",33,0,1,2,1,5,3
"M","A","IC",24,1,0,3,2,5,5,"F","A","PO",15,1,1,0,1,1,3
"F","A","EY",21,0,0,2,3,9,3,"M","A","IC",19,1,0,0,2,19,3
"M","A","PO",25,3,3,2,2,16,5,"F","B","AZ",25,3,2,2,0,10,5
"M","C","PO",21,2,1,6,5,8,5,"F","B","EY",16,1,1,0,0,3,3
"M","C","PO",22,1,1,1,2,7,5,"M","B","AZ",31,1,0,3,6,12,4
"M","C","AZ",19,1,0,6,4,9,5,"F","A","EY",24,0,0,0,1,14,3
"M","C","EY",18,0,2,2,3,4,4,"F","C","IC",15,0,0,0,4,1,4
"F","B","PO",36,3,2,3,2,10,5,"F","B","IC",28,0,0,0,2,6,4
"M","C","ST",18,1,0,2,1,2,3,"F","B","CB",15,3,1,4,1,32,5
"F","A","ST",28,1,3,0,2,15,3,"F","A","IC",16,0,1,0,2,7,4
"M","A","CB",44,0,1,1,0,10,2,"F","C","ST",20,1,0,1,7,5,4
"F","C","PO",22,3,0,0,3,8,4,"F","B","PO",20,0,2,0,4,17,4
"M","B","PO",46,2,0,2,3,20,4,"F","B","IC",50,1,0,1,3,34,4
"M","B","EY",18,1,1,4,3,1,4,"F","C","ST",15,1,0,1,0,19,5
"F","B","PO",19,1,0,1,5,2,3,"M","A","PO",17,1,2,3,2,5,5
"F","B","PO",18,1,2,7,4,4,5,"M","A","AZ",16,2,0,4,4,7,5
"M","D","PO",28,3,0,1,5,1,4,"F","B","CB",42,0,3,3,6,21,3
"F","B","PO",19,0,0,5,2,7,5,"M","B","CJ",37,2,1,3,3,15,4
"F","B","PO",30,1,1,1,8,12,4,"F","A","AZ",25,0,0,2,0,8,4
"F","A","AZ",46,0,0,1,2,8,2,"F","B","AZ",30,3,1,0,1,16,3
"F","C","ST",37,5,3,0,0,6,3,"M","C","ST",25,5,0,0,0,7,5
"F","B","EY",15,2,1,0,4,5,4,"M","C","PO",22,6,1,7,6,4,5
"F","A","AZ",28,0,0,1,0,1,4,"F","B","IC",25,1,1,1,2,8,3
"F","A","IC",28,2,2,0,1,4,3,"F","A","PO",43,1,3,1,2,21,3
"M","B","ST",31,2,1,3,3,30,5,"F","A","AZ",42,2,1,2,0,17,3
"F","D","EY",30,1,1,0,2,29,3,"F","C","AZ",26,1,0,1,0,2,3
"F","C","CB",17,3,0,0,0,10,5,"F","B","PO",18,4,1,3,2,11,5
"M","D","IC",18,2,1,0,0,7,5,"M","B","ST",33,1,3,0,3,33,3
"F","B","PO",16,1,1,2,1,4,4,"M","B","CJ",16,1,0,4,4,10,5
"F","B","AZ",18,0,2,0,5,4,5,"F","D","PO",16,2,0,2,0,4,5
"M","D","PO",30,1,1,4,0,16,5,"F","C","AZ",30,4,2,4,4,19,5
"F","B","EY",18,1,1,1,5,7,4,"M","B","AZ",16,2,0,3,1,4,6
"F","B","ST",17,1,1,0,1,5,4,"F","C","PO",16,0,0,0,3,3,3
"F","B","CB",32,0,0,2,3,16,4,"F","A","ST",20,1,1,2,1,1,3
"M","A","IC",21,4,0,5,4,13,5,"F","A","AZ",17,1,0,1,4,1,5
"F","B","EY",21,0,1,1,5,26,4,"M","B","AZ",28,0,2,3,7,10,3
"F","B","PO",18,0,0,1,4,6,3,"F","B","CB",26,2,0,1,1,10,3
"M","A","PO",19,0,2,1,3,7,4,"F","B","CJ",41,4,1,2,3,13,5
"F","C","PO",44,0,1,0,3,21,3,"M","A","AZ",16,1,4,1,3,6,4
"F","C","PO",28,2,3,1,4,9,4,"F","A","CJ",36,0,0,0,0,18,3
"M","C","IC",28,1,0,0,2,3,3,"F","B","PO",30,0,0,0,1,3,4
"F","A","AZ",18,1,1,0,2,5,3,"F","A","PO",17,0,2,1,5,1,4
"M","A","EY",34,3,1,3,4,16,5,"M","A","EY",26,0,0,0,3,1,3
"F","A","EY",26,0,0,0,1,2,2,"F","C","AZ",31,1,2,2,2,6,1
"M","A","ST",27,0,1,0,2,1,4,"F","A","PO",16,3,2,2,0,7,5
"M","A","EY",17,0,1,1,3,4,3,"F","B","ST",32,2,1,0,0,7,3
"F","A","ST",25,1,2,1,3,1,4,"F","B","ST",22,2,1,0,1,1,3
"F","A","CJ",22,0,1,0,4,5,4,"F","B","EY",15,0,3,0,1,1,4
"F","B","ST",18,1,0,2,3,10,3,"M","A","PO",16,1,4,2,4,2,3
"M","B","ST",28,1,2,2,5,13,4,"F","B","CJ",20,2,2,3,1,26,5
"M","B","AZ",21,1,1,3,2,8,4,"F","B","ST",35,1,1,1,4,25,4
"F","B","CB",21,0,0,0,3,6,4,"F","C","AZ",27,0,1,2,1,8,2
"M","C","CJ",25,0,0,2,4,2,5,"F","A","PO",17,0,0,0,0,2,4
"M","B","CB",16,1,2,2,5,3,3,"F","C","ST",30,4,1,0,0,5,2
"M","B","CB",23,0,1,2,5,2,3,"F","D","ST",22,2,0,4,1,4,5
"F","A","AZ",27,0,0,2,0,1,3,"F","C","PO",20,4,1,2,1,11,5
"F","A","AZ",26,2,1,2,4,8,3,"F","A","CB",16,4,0,6,4,7,5
"F","B","EY",22,0,1,3,5,4,3,"F","A","IC",21,1,1,1,3,8,3
"F","B","PO",23,0,0,1,5,21,3,"M","A","PO",19,1,0,0,1,8,5
"M","A","PO",26,4,0,4,1,4,5,"M","B","PO",25,3,0,2,0,8,5
"M","B","CJ",20,0,1,0,3,10,3,"M","B","CJ",20,1,0,1,4,7,3
"F","A","EY",45,1,1,3,1,16,2,"F","A","AZ",25,1,0,1,1,3,2
"F","A","CB",25,3,2,0,2,5,3,"F","C","PO",15,0,2,3,3,4,5
"M","B","IC",16,0,1,1,3,7,3,"F","B","CJ",17,1,1,1,3,2,4
"M","A","AZ",16,2,2,3,0,5,5,"F","B","AZ",21,2,1,2,5,2,3
"M","A","AZ",15,1,1,2,3,6,5,"F","B","AZ",20,4,1,4,0,12,5
"F","D","ST",29,0,1,1,0,1,2,"F","A","ST",28,2,0,2,2,6,3
"F","C","PO",32,1,1,1,4,13,4,"M","A","CB",44,3,2,0,5,21,4
"F","A","IC",33,1,0,1,0,4,2,"M","A","PO",20,3,0,0,2,9,3
"F","A","ST",28,0,0,0,2,12,1,"M","D","CB",17,2,2,2,3,6,5
"M","B","PO",24,1,0,1,7,5,3,"F","D","PO",20,2,1,4,4,6,5
"F","B","CB",21,2,1,5,4,5,3,"M","B","AZ",17,2,1,2,1,4,5
"F","C","EY",16,0,0,0,1,1,3,"F","B","IC",20,2,2,1,5,1,3
"F","C","EY",16,3,3,1,3,4,4,"M","C","PO",26,2,3,1,0,19,5
"M","C","AZ",35,3,2,1,4,1,2,"M","D","PO",15,1,0,1,4,1,4
"M","C","AZ",28,0,3,1,4,7,4,"F","B","EY",23,3,0,1,4,2,4
"F","B","CJ",25,0,1,4,0,9,5,"F","C","PO",19,0,2,2,1,5,5
"F","A","CJ",27,0,1,0,1,12,3,"F","C","CB",15,2,0,1,1,39,5
"F","C","PO",17,0,1,4,4,5,4,"M","A","EY",25,0,1,2,1,3,3
"F","B","IC",22,0,0,2,3,3,4,"F","A","EY",40,2,0,2,1,4,3
"M","A","IC",33,2,1,1,2,14,5,"M","C","AZ",17,0,0,2,4,4,3
"M","B","EY",26,1,0,1,5,20,3,"F","C","PO",15,2,2,2,2,9,5
"F","A","CB",26,0,0,2,1,7,4,"M","A","PO",22,1,1,0,3,19,3
"F","B","IC",17,0,0,2,4,3,3,"F","A","IC",35,0,0,3,1,5,3
"F","A","AZ",25,1,2,1,1,1,2,"M","B","EY",19,0,1,1,4,5,3
"F","C","AZ",34,2,3,1,1,5,3,"F","A","PO",29,2,1,0,2,9,3
"F","B","CJ",20,0,1,3,6,6,3,"M","D","CB",32,1,0,2,0,8,5
"M","B","PO",16,3,1,5,4,14,5,"M","A","PO",17,2,1,0,0,1,3
"F","A","IC",28,0,0,0,1,9,3,"F","C","AZ",20,2,1,2,1,9,5
"F","C","AZ",25,0,0,2,0,1,3,"F","A","ST",20,3,1,1,0,9,5
"M","C","PO",27,1,1,2,2,13,2,"M","B","PO",28,1,1,1,3,5,3
"M","B","CJ",20,5,2,1,1,4,5,"F","B","EY",21,2,0,1,3,9,3
"F","B","ST",18,2,0,5,1,8,5,"F","B","CB",31,1,2,1,0,5,3
"M","B","CJ",20,3,0,4,4,6,3,"M","A","PO",32,3,2,4,0,24,5
"F","A","CJ",15,0,1,2,4,4,4,"M","A","PO",26,1,2,2,0,4,4
"F","B","PO",16,1,0,0,3,6,3,"M","C","PO",17,1,0,5,3,8,4
"F","C","PO",15,3,1,4,2,5,5,"M","A","EY",26,0,1,1,2,1,2
"F","A","AZ",17,0,2,1,3,3,3,"M","B","AZ",34,0,1,0,2,8,3
"F","B","AZ",16,1,1,1,3,2,5,"M","B","IC",29,2,1,3,1,13,5
"M","A","AZ",32,1,0,0,1,10,3,"F","B","CJ",21,1,1,0,1,4,3
"F","C","AZ",17,2,3,1,5,2,4,"M","B","EY",25,1,0,2,3,9,3
"F","B","AZ",30,1,1,3,2,7,5,"M","A","CB",35,2,1,0,0,5,2
"F","B","IC",19,0,1,2,6,4,3,"F","D","PO",15,0,1,2,3,5,5
"M","A","CB",19,1,1,0,2,11,4,"F","A","EY",29,2,0,2,0,13,3
"M","D","CB",27,2,1,4,2,8,5,"M","C","PO",20,2,0,0,0,5,5
"M","D","EY",27,0,3,0,2,9,3,"F","B","PO",21,0,2,2,6,17,3
"M","C","CJ",25,1,5,2,7,6,4,"F","A","PO",30,0,1,0,1,2,2
"F","B","IC",47,4,2,0,1,3,3,"F","B","EY",31,1,1,1,2,11,3
"M","D","PO",16,1,1,2,0,6,5,"F","B","AZ",21,0,1,2,4,4,3
"M","C","PO",26,0,2,0,1,2,3,"F","A","CJ",30,0,1,3,0,13,2
"M","B","IC",15,0,1,3,2,25,5,"M","C","EY",18,1,1,2,3,1,4
"M","C","IC",19,2,0,3,1,19,5,"F","A","CJ",28,2,0,1,1,9,3
"F","B","EY",32,1,0,2,3,14,4,"F","A","CJ",25,1,3,0,1,7,2
"F","C","AZ",32,2,1,3,2,0,2,"F","A","AZ",32,0,1,5,3,18,5
"F","B","CB",15,2,0,3,3,6,5,"F","B","EY",22,1,1,1,4,2,3
"F","A","ST",32,1,1,1,1,6,3,"F","A","AZ",26,2,1,0,1,11,4
"F","A","AZ",43,1,2,3,0,9,3,"M","B","EY",24,0,1,2,5,8,3
"F","B","AZ",17,0,0,1,2,5,4,"M","B","PO",18,3,1,2,2,6,5
"M","C","PO",33,1,2,1,1,3,2,"F","A","ST",31,2,0,1,0,3,3
"M","A","PO",18,2,1,1,3,6,4,"M","B","PO",18,1,1,0,2,2,3
"F","A","CB",18,0,0,1,2,3,5,"F","B","EY",18,2,1,0,2,5,3
"F","B","PO",21,1,2,1,5,1,3,"F","A","PO",19,0,2,2,4,1,3
"M","A","IC",16,0,0,1,2,2,3,"F","B","PO",15,3,2,2,1,4,5
"F","D","PO",15,1,3,4,3,6,5,"F","B","AZ",59,0,2,2,2,23,4
"M","D","PO",28,1,1,0,2,6,4,"M","C","AZ",25,1,1,3,2,10,5
"M","C","ST",16,0,1,1,5,3,3,"F","A","CB",22,1,1,1,4,3,3
"M","C","IC",35,1,1,0,2,10,3,"F","D","CJ",33,0,1,2,3,16,3
"F","C","CJ",16,2,0,1,4,12,3,"F","B","EY",33,2,1,1,5,22,2
"M","A","AZ",20,0,1,1,2,5,4,"F","B","EY",23,0,1,1,6,9,4
"F","A","ST",24,2,2,1,2,4,3,"F","A","PO",15,3,2,2,1,4,5
"M","B","EY",71,1,2,2,3,30,4,"M","B","PO",31,4,0,3,2,8,5
"M","A","CB",30,2,0,1,1,8,5,"F","B","IC",17,1,1,2,5,1,4
"F","A","IC",26,0,0,1,0,4,3,"M","B","ST",20,1,2,3,4,5,4
"F","A","AZ",35,1,0,0,0,16,2,"F","A","CJ",30,1,1,1,1,10,3
"M","B","EY",16,2,2,0,0,1,4,"F","B","IC",25,0,0,1,0,19,4
"F","A","EY",28,2,3,0,1,1,3,"F","D","PO",15,3,2,6,2,8,5
"F","A","PO",37,0,1,1,1,23,2,"F","B","PO",18,6,1,4,1,5,5
"F","B","PO",18,1,2,2,1,4,6,"F","B","PO",24,2,0,1,4,7,3
"F","A","PO",44,0,1,0,0,9,1,"F","A","IC",15,0,0,1,3,2,3
"M","A","ST",27,1,1,1,2,1,3,"M","A","EY",34,0,3,0,2,8,4
"F","A","PO",29,1,1,1,3,9,5,"M","B","CJ",20,2,2,0,2,2,3
"M","D","AZ",19,3,1,2,4,10,3,"F","A","CB",38,2,0,1,0,7,3
"M","B","CB",27,2,1,0,4,12,4,"F","B","IC",55,1,1,0,1,4,3
"F","B","CJ",16,2,0,2,4,1,4,"F","A","ST",29,2,2,2,0,2,3
"F","A","EY",50,1,0,0,2,26,3,"M","C","PO",16,1,2,7,3,6,5
"F","B","CJ",33,2,2,1,1,9,4,"F","B","PO",16,1,0,0,1,5,5
"F","A","PO",27,2,0,0,3,10,4,"F","B","AZ",31,0,0,4,1,6,5
"M","B","PO",40,0,0,4,3,26,4,"F","C","CB",22,0,2,1,3,5,4
"M","B","EY",23,3,2,1,1,16,4,"M","C","CB",33,1,1,0,2,19,4
"F","B","IC",19,1,2,0,2,7,3,"M","C","PO",16,2,1,4,2,5,5
"M","B","EY",20,0,3,2,9,2,3,"F","A","CJ",18,1,0,3,1,17,5
"F","B","PO",18,0,1,1,4,4,3,"F","C","AZ",19,1,0,5,2,6,5
"M","C","PO",20,1,0,4,0,7,5,"M","B","CB",17,1,2,0,3,6,4
"F","B","PO",25,2,1,1,3,10,4,"M","D","PO",37,1,1,2,1,5,5
"F","C","CB",29,1,1,1,4,15,3,"M","C","AZ",22,2,2,1,1,17,5
"M","B","CB",23,1,1,2,4,10,3,"F","A","EY",21,1,0,2,7,12,3
"M","C","CJ",31,1,0,0,2,20,4,"M","B","CB",35,2,0,1,5,24,3
"M","B","ST",15,0,0,3,5,2,3,"F","C","CJ",42,1,1,1,0,13,4
"F","B","IC",17,1,1,0,3,4,3,"F","A","IC",25,1,1,2,1,1,2
"F","C","AZ",15,1,1,1,2,6,5,"F","A","CJ",30,1,0,2,3,12,3
"M","C","CB",36,2,2,8,6,8,5,"M","B","AZ",22,0,1,3,5,2,4
"F","A","CB",33,0,0,0,1,10,3,"F","B","CB",27,0,0,2,4,8,4
"F","B","PO",18,5,2,7,1,7,5,"F","A","PO",24,0,0,1,4,10,4
"F","B","PO",18,0,0,4,4,4,5,"F","A","PO",23,3,1,4,2,11,5
"M","A","CB",26,1,0,0,3,10,4,"F","C","CB",19,1,1,0,0,2,3
"F","B","IC",49,0,0,1,2,20,3,"M","A","PO",17,1,0,1,1,4,5
"M","C","PO",32,1,2,3,2,3,3,"F","C","EY",20,1,1,5,2,6,5
"F","B","AZ",21,5,2,3,1,7,5,"F","B","AZ",15,0,0,0,0,1,3
"F","B","IC",23,0,1,3,3,4,3,"M","B","PO",23,3,0,1,1,12,5
"F","A","IC",19,1,1,2,1,16,5,"F","B","CB",16,4,0,3,3,9,5
"M","A","AZ",16,2,0,3,1,5,5,"F","B","CJ",23,5,2,2,3,13,5
"F","C","CJ",28,0,1,1,2,6,4,"M","A","CJ",19,3,0,2,4,5,3
"F","C","AZ",28,1,1,0,1,21,3,"F","C","CJ",25,2,3,3,2,9,5
"F","A","CB",31,0,2,0,2,7,3,"F","D","PO",18,1,1,0,4,3,4
"F","A","EY",20,1,1,2,6,4,4,"F","A","ST",29,0,0,0,1,1,3
"M","C","IC",18,1,2,1,3,4,3,"M","B","PO",40,1,3,0,2,8,3
"F","B","PO",15,0,0,0,3,1,4,"M","A","AZ",38,0,1,1,1,5,3
"F","A","PO",15,0,1,2,3,3,3,"F","B","PO",21,1,0,3,4,6,4
"F","B","CB",25,4,0,3,7,2,4,"F","B","EY",18,0,0,1,2,4,3
"M","B","AZ",19,4,1,8,4,10,5,"F","C","PO",19,1,3,1,5,3,5
