"Var1","Var2","Var4","Var9","Var10"
"F","A",18,3,3
"M","B",19,3,4
"F","B",16,1,4
"F","B",29,10,3
"F","B",15,9,4
"F","B",25,7,5
"M","B",26,3,3
"M","B",18,1,3
"F","A",48,14,5
"M","C",17,2,4
"M","B",28,9,5
"M","C",15,4,5
"F","A",27,4,3
"M","A",22,6,3
"F","C",29,2,2
"F","B",25,17,5
"F","A",31,1,2
"F","A",26,9,3
"M","C",36,16,3
"F","B",20,2,3
"M","A",22,7,5
"F","B",18,9,5
"F","B",23,2,4
"M","C",33,4,3
"F","B",24,6,3
"F","A",25,3,2
"F","A",47,6,4
"M","B",18,3,4
"F","A",26,8,5
"M","C",34,18,5
"F","B",16,1,3
"M","B",24,5,4
"F","B",25,12,4
"F","B",20,7,4
"F","A",27,20,5
"M","A",20,7,4
"M","A",19,10,3
"M","C",26,7,3
"F","B",26,8,4
"M","B",23,9,5
"M","A",42,1,3
"F","D",49,5,2
"F","A",15,1,4
"M","D",17,1,3
"M","B",20,12,3
"F","B",15,4,5
"F","B",17,2,3
"M","A",38,19,4
"M","D",17,2,3
"F","B",15,3,4
"F","A",25,6,4
"M","B",21,5,4
"F","B",16,2,4
"F","B",15,4,5
"M","A",17,5,5
"M","A",30,6,5
"F","B",21,1,4
"F","A",19,1,3
"F","B",15,4,4
"M","B",25,8,5
"M","D",20,9,5
"F","B",27,7,2
"F","C",17,4,5
"F","B",16,1,3
"M","A",31,20,5
"F","B",22,8,4
"M","B",20,2,3
"F","C",34,9,4
"M","C",20,3,3
"M","A",29,19,3
"F","B",21,6,4
"M","A",34,6,4
"F","C",22,5,5
"F","A",24,2,4
"M","A",31,4,2
"M","B",36,12,3
"F","A",23,7,4
"M","A",32,1,3
"F","C",15,10,4
"M","C",18,1,4
"M","B",19,12,3
"F","C",29,12,4
"F","B",35,5,3
"M","A",21,7,4
"F","B",24,6,5
"F","C",30,12,3
"F","B",32,14,4
"F","B",15,7,3
"M","B",24,7,5
"F","B",18,8,3
"F","B",25,7,5
"F","A",15,3,4
"F","B",30,9,5
"F","C",15,18,5
"M","B",23,19,4
"F","A",37,5,3
"F","B",45,17,3
"M","B",25,13,4
"F","B",15,2,3
"F","B",16,2,3
"F","A",16,1,3
"F","D",30,4,5
"F","A",23,7,5
"M","B",15,1,3
"F","A",23,7,3
"F","C",23,11,5
"F","B",21,5,3
"F","C",22,9,4
"F","B",29,5,3
"M","D",17,7,4
"F","B",28,2,4
"F","C",16,8,3
"F","B",17,2,4
"F","A",17,5,4
"F","B",20,5,4
"M","D",36,6,5
"F","A",30,2,3
"F","A",30,1,3
"F","D",17,3,3
"F","B",17,5,4
"F","C",53,18,3
"M","B",16,4,5
"M","B",35,7,5
"F","B",19,1,3
"M","B",18,19,5
"F","A",18,3,4
"F","A",52,14,2
"M","B",15,1,4
"F","A",17,2,4
"M","B",30,20,5
"M","B",37,24,5
"M","A",27,11,4
"F","A",18,1,3
"F","B",30,12,4
"M","B",21,9,5
"M","A",27,6,4
"M","A",25,5,5
"F","B",20,12,3
"F","B",31,13,3
"M","A",19,2,3
"F","B",19,3,4
"F","A",17,1,3
"M","C",27,14,5
"M","B",21,8,5
"M","B",22,8,5
"F","B",19,15,4
"M","B",18,4,4
"F","C",15,4,4
"F","A",24,5,5
"M","C",16,15,5
"F","C",25,1,3
"F","C",36,6,5
"F","C",42,11,3
"F","B",16,8,4
"F","A",15,2,3
"F","B",18,4,3
"F","A",15,4,4
"F","A",29,1,3
"M","B",37,16,5
"F","A",31,7,3
"F","A",31,18,3
"F","B",16,2,4
"M","B",27,14,3
"M","B",26,9,3
"F","B",18,4,4
"M","A",21,4,5
"F","A",24,17,3
"F","A",26,1,3
"M","C",30,10,5
"F","C",59,19,3
"F","A",16,2,3
"M","B",19,6,5
"F","A",16,9,5
"F","A",28,15,3
"F","B",33,11,3
"F","A",30,1,4
"F","A",29,20,1
"M","D",23,13,3
"F","B",35,13,3
"F","A",44,6,3
"F","C",21,10,3
"F","A",30,26,5
"M","C",36,13,3
"F","B",19,7,3
"M","A",21,5,3
"F","A",31,11,4
"F","A",38,12,3
"M","B",31,14,5
"M","B",36,11,4
"M","C",30,6,3
"F","B",21,5,4
"F","B",19,1,3
"F","C",20,6,4
"F","B",24,9,4
"F","B",20,1,4
"F","B",19,9,4
"M","C",25,20,5
"M","B",18,4,3
"F","A",38,9,3
"F","A",27,20,4
"F","A",19,16,5
"F","A",23,4,4
"F","A",30,3,4
"F","A",31,5,3
"M","A",18,4,4
"F","A",43,7,4
"F","A",30,7,3
"F","B",28,21,4
"F","A",59,26,3
"F","A",35,7,3
"M","A",19,3,3
"M","C",24,10,5
"F","C",28,11,5
"M","D",33,7,5
"M","C",23,6,4
"F","A",25,6,2
"M","B",15,7,5
"M","B",21,5,5
"F","B",15,3,5
"F","B",21,7,5
"F","D",19,10,4
"F","A",22,2,4
"F","B",20,2,3
"F","B",16,4,4
"M","A",30,16,5
"M","A",29,9,3
"F","C",39,6,2
"M","A",31,5,5
"F","A",17,1,4
"F","C",20,5,3
"F","A",37,6,2
"F","B",18,5,5
"F","A",27,17,5
"F","A",20,10,6
"M","A",18,4,4
"M","B",32,13,5
"F","C",15,2,4
"M","C",16,5,5
"F","B",26,16,4
"F","A",32,5,1
"F","B",15,3,3
"M","C",23,12,5
"F","C",19,3,3
"M","B",30,14,3
"M","A",35,5,2
"F","A",15,4,3
"M","B",35,13,3
"M","B",24,10,4
"F","A",25,0,1
"F","B",20,11,5
"M","A",39,0,2
"F","B",22,4,4
"M","B",31,21,5
"F","A",25,4,4
"F","A",37,8,2
"M","C",16,12,5
"F","B",19,14,5
"F","B",18,9,4
"M","B",20,5,5
"M","D",18,8,5
"M","D",26,4,5
"M","D",18,2,3
"M","B",26,10,5
"F","B",18,6,5
"F","A",35,6,3
"F","B",15,1,4
"M","A",17,3,4
"F","C",18,4,4
"M","C",34,7,5
"F","A",26,9,3
"F","B",19,1,4
"M","C",26,1,1
"M","A",46,29,5
"F","B",23,12,4
"M","B",16,1,4
"M","B",40,5,5
"M","A",33,5,5
"M","C",17,16,4
"F","B",25,9,4
"F","B",26,15,4
"M","B",15,4,3
"M","A",16,6,5
"M","A",60,18,3
"M","B",28,19,3
"F","A",15,6,5
"M","A",23,2,4
"F","B",15,5,3
"M","B",20,6,5
"M","D",15,12,4
"F","A",25,21,4
"F","A",28,4,3
"M","B",16,5,3
"M","A",25,0,3
"F","A",33,5,5
"M","D",18,19,5
"F","B",26,13,5
"M","A",28,5,3
"F","B",29,9,5
"M","B",35,4,5
"M","A",15,3,3
"F","B",25,3,2
"M","A",17,1,4
"F","C",24,49,5
"M","C",23,7,4
"M","B",18,4,5
"F","B",15,1,3
"M","B",40,27,4
"F","A",16,4,4
"M","A",16,6,5
"M","B",25,9,4
"F","B",29,12,3
"F","C",22,7,3
"F","C",27,1,3
"F","B",38,28,3
"M","B",56,4,5
"M","B",22,9,4
"M","A",17,4,5
"F","B",19,1,4
"M","B",28,18,5
"F","A",27,3,3
"F","B",27,6,3
"F","B",25,8,5
"F","B",17,2,4
"F","B",46,6,5
"F","A",26,9,3
"M","B",19,12,5
"F","B",16,6,5
"M","A",45,21,4
"F","B",47,12,5
"F","B",22,6,5
"F","A",21,7,4
"F","A",28,2,4
"F","A",16,5,5
"F","B",17,8,5
"F","B",47,26,4
"F","A",29,6,3
"M","B",29,6,3
"M","B",24,7,4
"F","A",18,3,3
"F","B",31,21,3
"F","B",19,13,3
"M","A",24,9,5
"F","B",17,1,4
"M","A",27,11,3
"F","B",32,1,3
"M","A",24,10,4
"M","B",20,9,4
"F","C",28,8,3
"M","C",15,4,5
"F","B",25,4,3
"M","A",20,12,4
"M","B",20,6,3
"M","B",18,4,4
"M","B",17,3,3
"F","A",29,6,5
"M","B",18,1,4
"F","B",36,13,3
"M","A",22,5,5
"F","B",16,4,3
"F","A",27,6,2
"M","C",18,11,3
"M","C",24,13,5
"F","B",16,1,3
"F","B",17,2,3
"F","A",17,4,3
"F","D",20,21,5
"M","C",18,4,5
"F","B",23,15,5
"M","B",35,16,3
"F","A",16,6,5
"F","C",27,11,5
"M","B",15,1,3
"M","B",16,11,5
"M","A",26,7,5
"M","B",36,8,5
"M","A",39,14,3
"F","A",35,1,4
"M","C",45,14,5
"F","D",17,1,4
"M","B",32,2,5
"M","A",18,8,5
"F","D",15,4,5
"M","B",24,9,5
"F","A",26,3,4
"F","A",25,20,3
"F","A",52,29,3
"F","B",19,9,5
"F","B",23,6,3
"M","D",15,19,5
"M","B",22,3,4
"M","C",34,14,3
"M","A",17,7,5
"F","B",28,20,5
"M","C",28,2,3
"M","C",22,8,5
"F","A",22,10,3
"F","A",30,11,3
"M","B",17,4,5
"M","A",27,1,4
"M","B",16,4,5
"M","D",17,1,4
"M","C",22,11,5
"M","B",23,4,5
"M","A",16,2,3
"F","A",29,4,5
"F","C",25,11,4
"F","B",28,17,5
"M","A",16,3,3
"M","A",27,1,2
"F","A",20,3,4
"F","A",27,1,3
"F","B",23,21,3
"F","C",48,2,2
"F","B",15,1,4
"F","C",27,2,3
"F","C",15,2,4
"F","A",27,9,3
"F","C",35,5,2
"F","C",15,3,3
"F","B",28,20,5
"F","A",35,1,1
"M","B",20,8,5
"M","B",35,10,4
"F","B",18,5,4
"M","C",22,13,5
"F","A",26,3,3
"F","B",19,3,4
"F","B",20,1,3
"M","B",51,6,3
"M","A",23,6,3
"F","B",34,16,5
"M","B",18,4,5
"F","C",15,1,4
"F","A",28,3,2
"F","C",23,14,5
"M","A",18,1,4
"M","B",26,11,5
"F","A",18,8,5
"F","C",27,4,4
"M","A",29,7,1
"M","A",30,22,4
"F","B",16,7,5
"F","B",21,7,5
"F","D",15,5,4
"M","C",25,1,3
"F","A",31,3,2
"F","B",16,1,3
"F","B",36,31,4
"M","A",36,14,2
"F","A",16,2,3
"F","B",18,3,4
"M","B",47,29,4
"F","A",20,5,5
"M","B",31,18,4
"M","B",16,6,5
"M","C",26,8,5
"F","A",34,23,5
"F","B",27,16,4
"M","A",19,4,5
"F","B",21,12,4
"F","B",22,8,3
"M","B",26,7,5
"M","B",36,7,3
"M","B",30,28,4
"F","B",26,13,4
"F","C",19,2,3
"F","A",68,19,2
"M","B",29,13,5
"F","A",31,5,3
"M","C",19,9,5
"F","A",15,3,3
"F","B",33,21,4
"F","B",25,7,4
"F","A",24,7,4
"F","A",25,5,1
"M","A",24,9,3
"F","A",20,5,3
"F","A",21,4,3
"F","A",29,3,3
"M","B",25,6,5
"F","A",27,7,2
"M","B",43,4,4
"F","C",18,6,5
"M","A",18,4,3
"F","C",20,6,4
"F","C",15,8,5
"F","A",19,2,4
"F","B",22,1,3
"F","B",19,4,5
"M","B",56,7,5
"M","C",22,12,5
"F","D",16,9,5
"M","B",18,9,5
"M","A",19,5,3
"F","B",21,10,5
"M","D",35,10,5
"F","A",26,2,4
"F","B",29,8,4
"F","A",23,4,5
"F","B",71,15,4
"F","A",31,3,3
"M","B",21,18,5
"F","B",15,2,4
"M","B",23,5,5
"F","A",31,3,3
"M","A",67,32,3
"F","D",16,1,4
"F","A",16,2,4
"F","B",18,4,4
"M","B",35,12,3
"F","C",32,8,3
"M","C",20,1,4
"M","A",35,20,3
"F","C",19,3,4
"F","A",21,8,4
"M","C",25,5,5
"M","C",36,7,5
"F","A",27,0,1
"F","D",24,6,3
"M","C",19,8,5
"F","A",47,6,5
"F","A",39,17,3
"F","A",29,23,4
"M","A",23,9,4
"M","B",19,3,3
"F","A",18,3,4
"M","C",21,4,5
"M","B",35,18,3
"M","B",28,25,5
"F","B",30,3,3
"F","D",38,0,3
"F","A",26,1,3
"F","C",18,3,3
"F","A",28,2,3
"M","A",18,6,3
"F","B",36,5,2
"F","A",29,2,3
"F","B",17,3,4
"F","B",15,5,4
"F","A",26,2,3
"F","B",22,3,4
"M","C",21,10,5
"F","C",17,14,5
"F","A",19,9,4
"M","A",30,10,4
"F","A",29,11,4
"M","C",32,8,3
"M","C",16,3,4
"M","A",25,7,5
"F","B",25,13,3
"F","B",19,19,5
"M","C",23,10,5
"F","A",39,1,2
"F","C",37,16,3
"F","C",22,18,5
"M","B",16,5,3
"F","A",30,2,2
"F","C",19,13,5
"M","A",32,12,5
"M","A",23,8,4
"M","B",25,26,5
"F","C",16,5,5
"M","C",37,12,3
"F","A",16,2,4
"F","B",17,5,3
"F","B",35,15,4
"F","D",36,5,3
"M","C",15,8,5
"F","A",15,6,5
"M","B",17,16,5
"F","D",17,24,5
"F","D",64,38,4
"F","B",20,20,4
"F","A",39,5,3
"F","A",26,3,3
"F","A",20,7,3
"M","A",32,9,5
"F","B",32,15,4
"F","C",37,6,5
"M","B",26,15,4
"M","C",47,9,3
"F","D",30,6,3
"F","A",23,8,3
"M","B",30,20,3
"F","C",25,1,3
"M","A",31,10,4
"F","A",23,7,4
"F","B",19,4,4
"M","C",19,1,3
"M","A",18,12,5
"M","B",25,11,5
"F","A",29,4,1
"M","C",18,9,3
"F","C",24,6,3
"M","C",27,2,3
"M","B",18,21,3
"F","B",28,11,5
"F","A",26,9,1
"M","C",16,1,3
"F","A",30,4,3
"F","B",26,5,3
"F","B",30,15,3
"F","A",23,4,3
"F","A",25,12,3
"F","B",20,5,4
"M","A",26,20,4
"F","D",29,4,5
"F","B",16,4,5
"M","A",17,10,4
"M","C",36,12,5
"F","B",24,10,5
"F","B",27,5,4
"F","B",38,13,3
"F","B",22,20,4
"F","B",21,10,4
"F","A",25,6,3
"M","C",20,12,5
"M","C",18,4,4
"M","C",19,2,4
"M","A",46,8,3
"F","A",24,16,5
"F","A",17,6,4
"F","C",17,7,5
"F","A",32,5,2
"M","B",20,6,4
"F","A",26,3,1
"F","B",17,11,5
"F","B",15,2,3
"F","A",15,7,4
"F","D",16,14,5
"F","A",22,8,5
"M","B",15,1,4
"M","B",18,6,5
"F","A",23,4,4
"F","B",25,6,4
"M","B",15,4,3
"F","C",15,4,5
"M","B",30,10,6
"M","B",15,2,4
"F","B",19,6,5
"F","D",25,8,5
"M","C",16,15,5
"F","A",17,5,4
"F","A",15,3,4
"F","A",26,2,2
"F","A",36,9,3
"M","A",16,10,5
"M","B",23,1,3
"F","A",29,9,2
"M","A",18,5,5
"M","B",16,8,5
"F","B",26,15,5
"M","B",30,5,5
"M","B",21,13,5
"F","C",37,7,4
"F","A",18,11,5
"M","B",15,2,4
"M","B",15,20,5
"F","A",19,6,3
"F","C",16,7,4
"M","B",38,23,4
"F","B",24,28,5
"M","C",28,0,3
"M","B",22,17,5
"F","B",38,22,3
"F","A",19,4,3
"M","D",18,1,4
"M","B",21,4,5
"M","B",15,5,5
"F","A",26,1,3
"M","B",20,25,5
"F","B",19,13,5
"F","A",23,9,5
"F","B",33,1,4
"M","B",30,4,4
"F","B",16,2,4
"F","B",17,1,4
"M","B",21,18,3
"M","A",25,3,3
"M","B",39,23,3
"M","B",20,4,4
"M","C",15,10,6
"F","D",29,27,5
"F","C",25,1,5
"F","B",36,23,3
"M","B",25,12,5
"M","C",17,6,5
"M","C",29,4,3
"F","B",25,3,3
"F","A",29,4,3
"F","C",23,6,5
"F","A",29,3,2
"F","A",25,1,4
"M","B",22,6,4
"F","A",15,1,4
"M","D",21,7,5
"F","B",18,11,5
"M","B",33,6,4
"M","B",18,7,4
"M","B",18,1,3
"M","C",28,10,4
"F","B",21,4,5
"M","C",25,2,5
"F","C",32,7,4
"M","B",17,2,3
"M","B",19,7,4
"M","B",26,6,5
"M","A",26,1,3
"M","A",26,4,5
"M","C",29,17,5
"F","B",34,5,3
"M","B",39,22,4
"F","A",38,3,3
"M","D",15,21,5
"M","B",39,14,5
"M","C",18,3,4
"F","A",18,5,5
"M","B",21,4,5
"M","B",20,3,3
"F","B",22,7,3
"M","A",15,4,3
"M","B",17,3,5
"F","B",18,8,5
"F","B",29,3,3
"F","A",26,1,2
"F","B",19,16,5
"F","B",15,5,5
"F","B",51,29,4
"M","D",25,10,5
"F","A",44,26,3
"F","A",40,29,3
"M","C",23,16,5
"M","B",19,3,3
"F","A",28,12,1
"F","A",16,4,5
"F","B",18,4,4
"M","B",15,3,4
"M","C",17,8,5
"F","B",23,1,3
"M","C",15,5,5
"F","B",22,7,4
"F","A",26,0,3
"F","B",36,3,2
"F","B",15,4,5
"F","B",32,19,4
"F","B",15,5,5
"F","B",32,36,5
"M","B",31,8,3
"F","A",27,8,4
"M","D",28,7,5
"M","B",15,1,3
"F","A",26,10,3
"M","B",16,2,4
"F","A",42,2,3
"M","C",15,3,3
"M","A",33,20,3
"F","B",16,2,4
"M","B",19,4,5
"F","B",16,1,3
"M","B",33,21,4
"M","C",23,14,5
"M","B",32,3,3
"M","A",18,22,5
"F","C",25,3,4
"F","B",20,5,3
"F","B",60,41,3
"M","A",25,10,2
"F","D",30,12,5
"F","D",26,25,5
"F","C",31,13,5
"M","B",17,1,3
"F","A",51,18,3
"M","B",22,3,4
"M","A",16,4,5
"F","B",26,14,5
"F","C",46,29,3
"F","A",27,4,2
"M","A",39,1,2
"M","A",43,6,5
"F","A",29,12,3
"F","B",21,5,4
"M","B",35,12,4
"M","A",48,8,5
"F","A",15,4,5
"F","A",19,2,3
"F","A",24,1,4
"M","A",40,24,4
"M","B",18,11,5
"M","B",19,5,3
"F","A",22,4,3
"M","A",17,15,4
"F","D",17,4,3
"F","C",28,18,3
"M","A",40,20,3
"M","B",19,2,3
"F","B",22,4,4
"F","A",19,3,3
"F","B",28,1,2
"M","B",21,4,5
"M","B",21,6,3
"F","B",17,2,3
"M","B",20,12,3
"F","A",25,8,5
"M","D",30,11,5
"M","A",17,5,5
"F","B",20,4,4
"M","B",37,4,5
"M","B",18,10,3
"M","B",17,12,5
"M","A",16,4,5
"M","A",15,1,3
"M","B",24,7,4
"M","B",18,9,4
"F","A",16,2,3
"F","B",51,32,3
"M","A",37,18,3
"M","B",25,6,5
"M","B",22,8,3
"F","A",26,6,4
"F","C",20,16,5
"F","A",32,6,3
"M","D",51,17,4
"M","B",26,9,3
"F","A",31,8,2
"F","B",28,18,5
"F","A",15,2,4
"F","C",18,5,5
"F","B",16,9,3
"F","B",26,7,3
"F","B",20,10,4
"F","A",22,18,3
"M","C",30,10,3
"F","A",28,9,3
"F","B",22,3,4
"M","C",18,4,5
"F","B",16,3,4
"F","A",32,2,2
"F","A",16,2,4
"F","A",33,7,5
"F","B",32,14,3
"F","C",21,4,5
"M","B",19,4,5
"M","B",32,12,5
"F","B",23,1,4
"M","A",27,11,4
"F","C",27,1,3
"F","A",22,13,4
"M","B",35,10,3
"F","C",28,18,4
"M","B",18,7,5
"M","C",15,5,4
"M","B",28,7,5
"M","C",15,1,4
"F","A",27,3,3
"F","A",18,1,4
"M","D",17,9,4
"M","A",16,11,5
"F","B",17,1,3
"M","A",24,1,4
"F","A",25,0,3
"F","B",44,21,3
"M","A",17,3,3
"M","B",20,18,4
"F","B",18,3,4
"F","B",37,5,4
"F","C",17,2,3
"M","B",27,3,3
"F","A",39,1,2
"F","B",16,1,3
"F","B",25,29,5
"F","A",46,15,3
"M","A",17,6,4
"F","A",26,5,3
"M","B",19,4,3
"F","D",19,5,5
"F","B",28,19,4
"F","A",25,6,4
"M","C",36,24,4
"F","C",19,3,4
"F","B",44,4,2
"F","B",15,13,5
"F","C",60,22,4
"F","B",16,3,5
"F","B",19,17,3
"F","C",29,8,1
"F","C",29,1,4
"F","B",20,17,4
"F","B",21,9,5
"F","C",46,4,1
"F","C",21,12,4
"F","C",23,17,3
"F","A",27,2,3
"F","B",25,11,3
"M","A",15,10,5
"F","C",49,17,3
"M","B",21,6,4
"F","A",32,8,3
"F","B",16,3,3
"M","A",15,1,4
"M","C",25,4,5
"F","A",31,4,3
"F","A",44,20,3
"F","B",17,9,4
"M","A",28,4,4
"M","C",23,5,4
"F","A",17,1,3
"F","B",16,5,5
"F","C",21,9,5
"M","A",24,7,4
"F","C",27,2,2
"F","B",30,18,3
"F","B",17,8,4
"M","B",22,27,5
"M","A",25,3,2
"F","B",19,5,4
"F","A",17,2,3
"F","C",19,2,4
"F","B",15,2,4
"M","B",16,7,3
"M","B",20,7,3
"F","C",29,11,5
"M","B",30,12,5
"F","B",47,15,4
"F","A",25,9,3
"F","A",27,4,3
"M","B",15,8,5
"M","B",27,13,4
"M","A",36,2,2
"M","C",40,5,3
"F","B",21,5,3
"M","D",42,8,3
"F","A",25,6,2
"F","A",16,9,6
"M","B",30,14,4
"F","B",18,5,5
"M","C",19,17,5
"F","A",31,2,3
"F","B",27,9,3
"F","B",25,16,4
"F","A",16,2,3
"F","A",18,6,3
"F","B",17,1,3
"F","C",36,0,2
"F","B",18,1,3
"M","A",17,4,3
"M","A",34,24,6
"M","C",31,4,4
"M","C",20,8,4
"F","B",15,1,4
"F","A",39,3,2
"M","A",15,3,3
"F","A",29,4,4
"F","A",31,4,3
"F","B",20,1,4
"M","B",16,4,4
"F","B",17,5,3
"F","B",33,4,3
"F","B",16,7,5
"F","A",26,3,2
"M","A",26,8,4
"F","A",15,2,4
"M","A",23,11,3
"M","C",22,4,3
"F","B",32,26,4
"F","B",22,11,3
"F","C",15,5,4
"F","A",17,1,3
"M","B",17,3,3
"M","A",24,6,3
"F","A",31,4,3
"F","B",27,15,4
"M","B",27,8,5
"F","D",16,1,3
"F","A",30,10,3
"F","D",30,5,3
"F","B",18,9,3
"F","C",16,5,5
"F","C",15,4,5
"F","B",16,6,5
"M","B",31,15,5
"M","B",23,2,4
"F","B",17,7,5
"F","A",41,8,2
"F","A",21,6,4
"M","D",18,7,5
"F","C",19,4,5
"M","B",17,9,3
"M","C",31,7,5
"F","B",22,5,5
"M","B",34,18,5
"M","B",33,8,5
"F","B",16,4,4
"M","B",33,14,4
"F","B",33,4,3
"F","B",29,17,5
"M","C",29,12,5
"F","C",54,25,5
"F","A",22,9,3
"F","A",38,5,3
"F","C",20,12,4
"M","C",17,12,5
"M","C",31,20,4
"F","A",16,5,3
"M","B",47,21,4
"F","C",30,33,5
"F","B",23,8,4
"M","B",22,4,5
"F","B",45,17,4
"M","B",34,14,3
"F","A",17,1,3
"F","A",39,20,4
"F","A",36,8,4
"M","A",30,4,5
"F","B",31,8,3
"F","C",18,2,4
"F","B",26,7,3
"F","B",20,8,4
"M","C",18,7,4
"F","D",16,1,4
"M","B",25,6,6
"M","B",28,8,3
"M","C",19,13,5
"M","B",19,9,4
"F","B",35,9,3
"M","B",15,25,5
"F","B",29,5,5
"F","B",27,7,3
"M","C",22,19,5
"M","C",37,23,5
"M","A",21,8,3
"M","A",28,9,4
"F","B",15,1,4
"F","B",16,7,3
"M","B",24,8,5
"F","D",22,2,3
"F","B",24,11,5
"F","B",31,12,4
"F","A",27,12,2
"M","C",30,24,5
"M","A",19,4,3
"F","A",36,4,3
"F","A",29,8,4
"F","B",18,6,5
"F","B",30,13,4
"M","B",30,10,6
"M","C",19,15,5
"F","A",19,4,5
"F","A",32,5,2
"F","B",31,17,3
"M","B",20,10,3
"F","A",27,8,3
"F","B",25,11,4
"F","A",16,3,4
"F","C",30,13,4
"F","A",29,2,4
"F","B",30,2,3
"F","C",15,1,3
"M","B",25,23,4
"F","A",37,10,4
"F","B",16,2,3
"M","C",15,1,4
"F","B",19,4,4
"F","A",18,6,4
"F","D",26,10,4
"F","A",25,9,4
"M","C",31,23,5
"M","B",21,12,5
"F","A",24,13,4
"M","D",19,3,4
"M","B",26,12,5
"M","C",16,4,5
"M","A",26,1,3
"F","B",23,4,5
"F","B",50,22,3
"F","A",35,13,3
"F","A",27,1,3
"F","A",40,9,3
"M","B",21,5,4
"M","C",32,8,4
"F","A",37,2,2
"M","A",32,5,3
"F","B",20,7,5
"F","A",15,2,4
"F","B",20,4,4
"M","D",16,7,5
"F","C",46,22,4
"F","B",27,2,3
"M","A",25,18,4
"F","D",36,6,5
"M","B",16,14,5
"F","A",30,2,3
"F","B",22,10,5
"F","A",45,26,3
"M","C",60,13,1
"F","A",26,8,3
"M","B",25,2,4
"M","C",18,1,4
"F","C",25,7,3
"F","A",51,9,5
"F","B",27,12,4
"F","B",20,4,4
"F","A",25,1,3
"M","B",23,6,5
"F","B",16,13,5
"M","B",15,11,5
"F","A",22,3,4
"M","A",25,1,3
"F","C",19,2,5
"M","B",28,11,4
"F","A",30,5,3
"F","B",20,2,4
"F","A",15,5,5
"F","C",16,4,4
"F","A",17,2,4
"F","B",16,11,5
"F","A",26,7,2
"F","A",29,3,1
"F","A",26,0,2
"F","D",33,2,3
"F","A",33,17,1
"F","A",41,2,3
"M","B",15,5,5
"F","B",17,4,4
"M","B",16,8,4
"F","C",38,10,2
"M","C",54,20,4
"F","B",15,4,3
"F","A",15,1,3
"M","C",36,20,5
"M","A",31,7,5
"M","A",19,21,5
"M","C",36,7,5
"F","B",17,6,5
"F","B",27,16,5
"F","C",32,13,4
"F","B",17,3,3
"F","D",29,5,2
"M","D",27,2,4
"F","B",16,4,3
"F","A",27,1,3
"M","B",21,16,5
"F","A",31,15,4
"M","C",17,5,4
"M","B",45,24,4
"M","B",25,11,4
"M","B",26,11,5
"F","A",20,3,3
