"Var1","Var2","Var4","Var9","Var10"
"F","B",28,9,5
"M","C",16,10,5
"M","A",15,1,3
"F","B",18,4,3
"F","B",17,7,5
"M","A",23,6,5
"F","B",25,9,4
"F","A",48,18,3
"F","A",30,13,4
"F","A",18,1,4
"F","A",21,10,4
"F","A",20,6,3
"F","B",27,7,3
"F","D",41,20,5
"F","A",16,5,4
"F","A",27,4,3
"F","B",17,3,3
"F","A",17,8,5
"F","B",24,2,3
"F","C",33,7,5
"M","B",25,28,4
"F","A",18,5,5
"M","A",19,9,5
"M","B",25,9,5
"M","B",47,25,5
"F","D",16,4,5
"M","B",26,8,5
"F","A",17,2,3
"F","B",18,3,3
"F","B",17,2,3
"F","B",17,5,4
"M","B",36,20,4
"F","B",18,1,3
"F","A",33,11,3
"M","B",19,7,3
"F","B",20,12,5
"M","A",40,16,3
"F","B",28,21,3
"M","B",19,2,4
"F","B",55,23,3
"M","A",31,1,3
"F","B",28,12,3
"M","B",26,20,5
"M","C",24,8,4
"F","A",35,6,3
"M","C",18,3,3
"M","A",37,38,3
"M","B",19,7,5
"F","B",21,7,4
"M","B",17,9,4
"M","B",16,5,3
"F","A",18,1,4
"F","B",17,6,4
"M","B",30,2,3
"M","A",16,5,4
"F","C",20,3,3
"M","B",15,1,4
"F","A",31,5,2
"F","B",22,2,4
"F","A",38,28,3
"M","C",24,12,4
"F","D",20,6,4
"F","A",29,6,4
"M","B",22,10,5
"M","B",28,8,3
"F","B",16,7,5
"F","B",30,42,5
"F","A",19,5,4
"F","B",28,28,5
"F","A",26,12,4
"F","B",35,1,3
"F","A",15,7,3
"M","B",20,4,4
"M","B",22,20,4
"M","B",23,14,5
"M","A",29,1,4
"M","B",37,2,2
"F","A",16,1,3
"F","A",28,4,2
"F","A",26,3,3
"M","B",31,12,5
"F","A",18,5,4
"F","C",28,2,4
"M","A",15,4,4
"M","A",18,1,4
"M","B",16,3,5
"M","C",16,9,5
"M","D",22,4,5
"F","C",31,1,5
"F","C",21,8,5
"M","B",17,3,4
"F","C",16,4,5
"M","A",22,8,3
"F","C",15,3,4
"M","A",28,13,5
"F","B",18,7,5
"M","B",19,1,3
"F","B",15,17,5
"F","B",19,4,3
"F","B",20,4,5
"F","A",44,26,3
"F","C",25,14,5
"F","A",28,1,3
"F","A",30,0,1
"M","B",21,11,4
"F","A",30,2,4
"F","A",44,18,3
"F","B",16,3,3
"F","A",26,1,3
"M","A",18,15,5
"F","C",15,6,5
"F","D",20,32,5
"F","B",25,19,3
"M","B",18,11,3
"F","A",24,16,3
"M","D",21,6,5
"M","A",33,3,4
"M","A",25,0,1
"F","A",21,12,5
"F","B",18,5,3
"M","C",36,4,3
"M","C",40,4,2
"F","A",23,8,4
"F","B",15,13,4
"F","C",18,7,3
"M","A",32,6,4
"M","B",20,6,5
"F","A",25,3,3
"M","B",42,14,5
"M","B",17,2,3
"F","C",19,1,4
"F","C",29,11,4
"M","B",20,2,3
"M","A",25,1,2
"M","B",25,9,3
"F","C",28,4,2
"F","C",20,31,5
"M","A",16,1,4
"F","A",19,3,3
"F","B",15,3,4
"F","A",34,28,5
"M","C",21,11,3
"F","B",17,12,4
"M","A",19,8,5
"F","B",21,10,3
"M","C",21,7,5
"F","B",35,3,3
"M","C",20,14,5
"F","A",19,3,3
"F","B",31,3,2
"M","C",20,6,5
"M","B",16,3,4
"M","A",17,3,5
"M","C",20,3,4
"F","B",24,8,3
"F","A",41,2,2
"F","A",31,1,4
"M","A",18,1,4
"F","B",30,7,4
"M","D",16,4,3
"M","A",23,7,4
"F","A",25,3,3
"F","C",41,2,4
"M","C",27,1,1
"F","A",23,7,4
"F","A",37,4,4
"F","D",37,7,3
"F","A",34,17,2
"F","B",16,4,4
"F","B",21,1,5
"F","B",15,4,5
"F","A",16,5,3
"M","B",15,1,4
"F","B",21,2,4
"M","A",18,9,4
"F","C",19,7,5
"F","B",19,6,5
"F","B",25,6,3
"F","C",35,26,5
"F","C",15,3,3
"F","C",20,12,5
"F","A",25,11,4
"F","A",32,11,2
"F","A",27,12,4
"F","A",56,23,4
"M","A",21,1,3
"M","B",25,5,5
"M","A",29,8,4
"M","C",67,49,3
"F","B",15,1,3
"F","B",15,3,4
"F","A",28,4,3
"M","B",25,3,3
"M","B",28,14,3
"F","C",18,12,5
"F","C",33,17,3
"F","B",34,12,5
"F","B",25,2,3
"F","B",15,1,4
"M","C",25,15,4
"F","A",34,4,3
"F","B",21,6,4
"M","D",22,13,5
"F","B",40,9,2
"F","B",21,1,4
"F","B",19,5,5
"F","B",21,7,5
"F","B",44,40,4
"M","B",27,8,5
"F","C",27,0,3
"F","A",26,8,3
"F","A",15,5,4
"F","A",22,4,4
"F","B",16,3,4
"F","A",35,2,3
"M","A",16,1,4
"F","B",22,11,5
"M","B",24,10,3
"F","B",23,12,5
"F","C",17,5,5
"M","B",17,20,3
"F","A",56,3,2
"F","A",24,3,4
"M","C",19,2,3
"M","A",25,1,3
"F","B",37,13,4
"M","B",18,5,3
"M","C",17,4,4
"M","B",24,3,3
"M","B",23,5,4
"F","D",29,3,4
"F","C",19,7,5
"F","B",21,14,5
"F","B",21,5,4
"F","A",25,13,2
"F","B",17,2,3
"M","A",17,13,5
"M","A",37,5,4
"F","B",29,5,2
"M","B",15,7,3
"F","B",39,33,3
"M","B",18,6,4
"F","B",23,8,3
"F","A",19,5,4
"M","A",15,11,5
"M","C",19,17,5
"M","A",17,7,4
"F","C",15,4,3
"F","A",16,2,4
"F","C",40,24,4
"F","B",15,4,4
"F","B",45,13,3
"F","A",26,8,3
"F","A",22,7,3
"M","B",24,15,5
"F","D",26,10,5
"F","A",32,11,3
"M","D",17,11,5
"F","A",33,8,3
"F","A",17,5,3
"F","B",26,6,3
"F","A",15,4,3
"M","B",27,13,3
"M","A",20,14,4
"F","A",26,3,3
"F","C",26,5,4
"M","B",23,9,3
"F","A",32,9,5
"M","B",24,10,5
"F","D",16,4,5
"F","D",21,6,5
"M","D",25,2,4
"F","A",18,3,4
"F","A",17,5,4
"M","B",19,49,5
"F","B",16,10,5
"M","D",38,14,5
"F","A",29,0,3
"F","B",65,19,2
"M","A",49,26,4
"F","B",29,14,4
"M","C",24,7,5
"M","C",15,5,5
"M","A",26,23,4
"F","C",77,16,4
"F","C",24,11,5
"M","B",39,21,5
"F","B",21,16,3
"F","B",20,3,3
"F","C",17,11,5
"M","D",32,3,4
"F","A",26,2,3
"F","A",35,2,3
"F","A",27,1,4
"F","D",15,1,4
"F","A",27,5,5
"M","C",23,2,3
"F","B",29,8,4
"F","A",29,3,2
"M","A",36,7,4
"F","D",24,8,5
"M","A",15,3,3
"F","B",16,6,3
"M","A",16,13,5
"F","A",16,8,4
"M","D",23,10,5
"M","B",21,4,5
"F","A",20,6,3
"M","B",27,7,4
"F","B",26,13,5
"F","A",25,4,5
"F","A",20,1,4
"M","C",20,1,3
"M","B",19,8,5
"M","A",21,2,4
"M","B",63,36,5
"M","C",21,2,4
"F","A",17,13,5
"M","B",34,11,3
"M","B",17,3,4
"M","D",19,1,4
"F","A",18,5,5
"F","C",19,1,3
"F","A",33,0,3
"F","A",26,1,3
"F","C",26,11,3
"M","B",30,21,5
"M","B",36,30,4
"F","A",40,8,3
"F","B",34,17,3
"M","C",23,13,5
"F","A",17,11,3
"F","A",35,6,3
"F","C",25,6,2
"M","A",48,12,4
"F","B",30,5,3
"M","A",27,5,3
"M","B",17,7,5
"M","C",46,17,5
"M","B",15,4,5
"F","B",17,4,4
"M","C",25,36,5
"F","A",19,2,4
"F","C",27,1,2
"M","A",18,9,4
"F","A",19,6,5
"M","C",20,15,5
"M","D",18,13,5
"M","A",21,5,6
"F","A",44,15,3
"F","A",27,10,5
"F","D",25,12,4
"F","C",27,13,5
"F","B",19,3,3
"F","A",35,5,3
"M","C",15,4,5
"M","C",18,8,5
"F","B",18,3,4
"F","B",23,13,4
"F","A",26,0,3
"M","A",34,6,3
"F","D",19,1,3
"M","B",30,8,5
"M","B",18,16,5
"F","A",38,24,5
"F","B",18,2,4
"F","A",29,13,3
"F","A",16,5,5
"M","C",15,6,5
"F","D",33,14,5
"F","C",17,4,5
"M","C",18,9,5
"M","C",28,1,2
"M","B",21,13,5
"M","B",16,2,5
"F","A",30,21,3
"F","A",27,4,3
"F","A",31,0,2
"F","B",17,1,5
"M","D",20,7,5
"F","A",19,8,5
"F","B",20,6,4
"F","B",18,4,5
"F","A",17,2,3
"F","B",18,7,3
"M","C",16,3,4
"F","A",30,14,5
"F","A",15,4,4
"F","B",16,3,3
"F","A",55,5,2
"M","B",18,8,5
"F","B",20,3,3
"M","C",34,20,4
"F","A",43,13,2
"F","A",20,6,3
"F","C",18,5,4
"M","B",29,3,3
"F","C",45,15,4
"F","C",29,9,4
"F","B",23,5,4
"M","B",17,15,3
"M","A",20,12,5
"M","A",17,3,3
"F","D",16,1,3
"F","A",16,2,4
"M","A",22,18,5
"M","C",37,42,5
"F","B",29,18,5
"F","B",27,7,4
"F","A",25,4,3
"F","D",27,14,4
"F","A",48,3,4
"M","B",23,4,4
"M","B",45,14,5
"F","A",19,3,4
"M","C",15,4,5
"M","B",22,10,5
"M","B",28,8,4
"F","B",19,22,5
"F","A",16,3,3
"F","A",26,6,5
"M","B",18,6,5
"M","A",38,11,3
"M","B",17,1,3
"F","B",26,13,3
"F","A",25,2,3
"M","B",25,6,3
"M","A",16,5,4
"F","C",25,1,2
"M","A",23,1,4
"M","A",18,5,5
"F","A",26,5,3
"F","B",18,2,4
"F","C",23,6,3
"F","C",15,8,5
"M","B",17,13,5
"F","A",43,21,3
"F","B",15,2,3
"M","A",16,5,5
"F","A",28,2,2
"F","B",18,8,4
"F","B",23,8,5
"F","C",21,5,5
"F","A",25,5,3
"F","C",16,2,3
"F","C",28,4,2
"F","A",45,10,2
"M","A",20,11,5
"F","A",39,8,3
"F","C",28,14,5
"F","B",37,17,3
"M","B",36,19,4
"F","C",22,4,5
"M","B",17,3,4
"F","B",18,4,4
"F","B",20,5,3
"M","C",19,5,5
"M","C",56,31,5
"M","C",18,7,5
"F","A",30,9,3
"M","B",22,5,5
"F","D",22,12,3
"F","A",23,1,4
"F","A",26,3,3
"F","B",23,15,5
"M","A",46,4,1
"F","A",30,5,2
"F","A",16,1,4
"M","B",33,15,4
"M","C",16,4,5
"F","D",35,25,3
"F","B",54,20,4
"F","A",27,0,3
"F","A",27,5,2
"M","B",31,12,3
"F","D",15,1,3
"F","B",15,2,4
"M","C",23,15,5
"F","A",15,13,5
"F","A",19,3,3
"F","C",58,7,4
"F","C",29,14,4
"F","A",22,6,5
"F","C",27,4,5
"F","B",16,6,5
"F","A",31,7,2
"M","B",24,9,3
"M","B",16,5,5
"F","A",38,22,4
"F","B",17,2,4
"M","A",19,6,3
"F","B",25,9,4
"F","B",25,6,4
"F","B",22,15,5
"F","A",26,3,3
"F","D",28,0,2
"M","B",20,4,5
"F","B",18,8,4
"M","A",33,0,3
"M","A",36,10,3
"M","B",18,4,3
"F","B",19,4,3
"F","A",26,1,3
"F","A",36,23,3
"F","A",17,2,3
"M","C",18,27,5
"M","A",20,22,5
"M","C",22,2,3
"M","C",27,9,3
"F","A",21,5,5
"M","B",20,9,3
"F","A",54,27,4
"M","A",29,1,3
"M","C",21,9,5
"F","B",15,24,5
"F","A",25,9,3
"M","A",17,7,4
"F","C",18,4,4
"M","A",16,2,3
"F","B",16,3,4
"F","A",18,1,3
"M","C",25,8,3
"F","A",25,10,3
"F","A",29,6,3
"F","B",27,7,5
"M","C",18,7,5
"F","A",33,22,4
"F","B",21,18,6
"F","A",24,11,4
"M","A",51,28,5
"F","B",37,23,4
"F","A",39,3,2
"F","B",16,20,5
"F","A",35,0,3
"F","C",21,5,5
"M","D",20,13,5
"F","A",18,2,4
"F","A",35,25,5
"M","A",15,7,5
"F","B",21,10,3
"F","A",27,0,2
"M","B",19,10,3
"M","B",15,12,5
"F","A",15,8,5
"F","B",36,17,3
"M","B",15,21,5
"M","B",20,7,4
"F","C",48,29,4
"F","B",30,4,3
"M","A",27,13,3
"M","B",48,31,4
"F","A",26,4,3
"F","A",22,14,4
"F","B",22,1,3
"F","B",21,5,4
"F","C",72,25,4
"F","A",17,3,3
"F","C",70,47,5
"M","B",26,16,4
"F","A",18,3,3
"F","B",17,7,4
"F","C",31,8,5
"M","C",20,13,5
"M","B",21,3,4
