"Var1","Var2","Var4","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20"
"M","A",28,10,3,"F","A","AZ",26,1,0,1,1,1,3
"F","A",37,3,5,"F","A","ST",37,1,1,2,1,3,2
"F","A",17,4,4,"F","A","CB",31,2,0,2,1,4,5
"M","B",18,6,3,"F","B","CB",27,3,3,2,0,2,2
"M","C",30,17,5,"F","D","CJ",25,4,1,0,2,1,3
"M","B",15,4,5,"F","A","PO",28,0,0,2,0,1,3
"F","B",16,14,5,"F","A","AZ",28,1,1,1,2,10,3
"F","B",33,8,5,"F","B","CJ",38,0,0,1,5,8,4
"M","B",23,13,3,"M","D","PO",22,0,2,0,0,5,5
"F","C",23,3,3,"F","D","IC",50,1,3,2,1,1,3
"F","C",17,8,5,"F","C","PO",20,0,0,4,1,6,5
"M","A",17,14,5,"F","B","AZ",16,1,0,1,3,9,4
"F","B",19,13,3,"F","A","AZ",36,3,1,6,2,10,5
"F","B",28,1,3,"F","B","EY",19,2,0,4,3,4,5
"M","A",25,9,4,"F","A","EY",25,1,2,0,1,1,3
"M","B",18,12,3,"F","A","CB",22,1,0,1,4,7,4
"F","C",33,16,3,"F","B","EY",28,1,1,1,0,2,3
"F","A",26,1,4,"F","A","AZ",29,0,1,1,2,22,4
"F","A",38,17,3,"F","C","CB",18,2,1,0,0,3,3
"F","D",25,1,4,"M","B","EY",19,1,0,3,6,1,4
"M","B",23,9,5,"F","A","ST",26,1,0,0,4,5,3
"M","B",27,16,4,"F","A","EY",29,2,1,3,1,1,2
"F","B",16,7,5,"F","B","PO",24,2,0,4,1,14,5
"F","B",19,4,4,"F","D","CB",18,1,1,0,2,3,4
"M","C",30,5,5,"F","B","CJ",23,2,1,2,3,11,4
"F","B",17,5,3,"M","A","CB",38,2,1,3,1,4,5
"M","A",19,10,3,"M","C","PO",27,0,0,1,0,6,3
"F","B",24,11,3,"F","D","AZ",24,0,2,0,3,2,3
"M","C",22,7,5,"M","B","CJ",43,2,0,0,0,19,5
"F","C",21,4,3,"F","A","AZ",30,1,0,1,0,20,3
"F","B",20,5,4,"M","C","CB",16,2,2,1,1,4,4
"F","B",17,4,3,"F","D","AZ",16,4,1,5,4,4,5
"F","A",28,7,3,"F","C","EY",28,1,0,3,1,18,5
"F","B",23,7,5,"M","D","PO",16,3,0,1,1,6,5
"M","C",18,11,5,"F","A","PO",15,0,0,1,1,1,3
"F","A",25,3,2,"M","A","PO",51,1,1,1,2,18,3
"F","A",28,8,3,"M","C","AZ",19,2,0,0,1,6,3
"M","B",25,1,1,"M","B","AZ",16,1,0,2,5,3,4
"M","A",42,5,2,"F","A","PO",47,0,1,2,1,7,2
"F","C",17,2,3,"F","A","PO",17,2,1,1,2,9,3
"M","B",25,9,4,"M","A","CJ",29,2,2,1,2,3,3
"M","C",24,9,3,"M","C","CJ",24,0,0,0,1,14,4
"M","B",22,15,5,"F","A","CB",25,0,0,2,1,2,3
"M","C",20,8,5,"F","C","AZ",30,1,0,0,2,5,4
"M","B",27,6,3,"F","C","EY",15,1,0,0,4,1,4
"M","B",23,10,5,"M","B","AZ",32,0,1,4,4,10,5
"F","A",18,4,3,"F","C","IC",15,1,0,1,5,3,4
"F","C",16,3,4,"F","A","PO",15,1,0,0,2,3,3
"M","A",19,7,4,"M","B","PO",17,0,0,0,2,5,4
"F","C",25,4,3,"M","A","IC",20,3,3,0,0,5,5
"F","B",29,14,3,"M","A","IC",31,1,0,0,0,6,2
"M","B",32,13,4,"M","A","PO",17,2,1,2,4,7,3
"F","A",43,6,5,"M","B","CB",20,1,1,1,2,16,4
"M","A",21,6,4,"M","A","IC",25,2,1,1,0,6,3
"F","B",21,1,4,"M","A","IC",15,1,2,3,6,4,4
"M","C",18,1,4,"F","A","AZ",24,2,0,1,4,2,4
"M","B",32,7,3,"F","C","CB",37,0,2,1,3,1,3
"F","C",15,2,4,"F","C","CB",36,1,1,2,2,7,5
"M","B",17,7,5,"F","B","PO",18,2,4,1,2,6,4
"F","A",21,7,4,"M","C","PO",19,3,0,4,2,4,5
"F","B",39,23,3,"F","C","CB",18,3,1,1,2,33,4
"F","D",31,9,3,"F","A","PO",25,0,1,1,2,1,2
"M","A",47,10,2,"M","A","PO",24,0,2,2,2,15,4
"F","C",15,10,5,"F","A","PO",29,1,1,1,3,14,4
"M","A",15,2,3,"F","A","IC",42,2,3,0,0,7,3
"M","A",39,8,4,"F","C","PO",16,3,1,3,6,23,5
"M","B",28,13,5,"F","A","EY",15,1,1,1,1,1,3
"M","B",18,3,3,"F","A","CB",45,0,1,1,2,17,1
"M","B",16,5,5,"F","C","PO",54,1,1,2,3,41,4
"F","A",30,3,3,"F","B","ST",19,0,1,0,1,8,3
"M","B",16,3,3,"M","C","PO",15,1,0,5,2,4,5
"M","C",17,3,4,"M","A","AZ",22,0,3,0,2,7,3
"M","A",15,1,4,"M","B","CB",19,0,0,0,4,16,3
"F","A",17,20,3,"M","C","AZ",28,1,2,3,2,29,5
"M","A",32,10,3,"F","B","AZ",19,0,1,0,0,8,4
"M","C",15,3,3,"M","A","CB",17,2,1,3,0,10,5
"F","B",32,10,3,"M","D","PO",17,0,0,2,3,6,5
"M","A",19,4,5,"F","A","IC",25,0,0,1,1,1,3
"F","B",17,1,4,"F","B","EY",32,2,0,1,5,8,3
"M","A",15,6,3,"M","B","AZ",26,0,1,0,2,11,4
"F","B",22,6,3,"F","C","IC",35,2,3,0,1,29,3
"F","B",25,11,4,"F","C","IC",35,0,0,1,3,35,4
"M","D",26,6,5,"F","B","PO",15,0,1,1,8,7,3
"M","B",75,31,5,"F","A","IC",29,2,0,2,1,5,4
"F","A",15,3,4,"F","B","CB",29,3,2,4,0,11,5
"M","A",16,1,3,"M","C","CJ",37,1,0,3,3,13,5
"F","B",20,7,3,"M","C","EY",18,1,1,2,2,11,5
"M","A",26,2,3,"F","B","PO",19,1,1,0,1,4,3
"M","D",24,11,5,"F","B","AZ",23,4,2,9,4,8,5
"F","B",31,3,2,"F","A","IC",18,1,0,1,4,1,4
"F","A",26,2,4,"M","A","PO",28,2,2,2,1,14,5
"M","A",44,1,3,"F","C","EY",51,0,0,0,1,38,3
"M","B",15,10,5,"M","C","CB",20,2,2,2,6,3,4
"M","B",20,2,3,"M","B","PO",18,0,1,5,3,7,5
"F","B",22,28,5,"F","A","AZ",18,0,1,1,1,13,3
"F","B",24,15,5,"M","B","PO",33,1,2,2,2,3,3
"F","A",17,8,4,"F","A","ST",45,3,1,2,0,2,3
"F","B",18,5,4,"F","B","EY",27,1,2,2,4,7,4
"F","A",20,5,4,"F","A","CB",28,2,2,1,0,11,3
"M","D",23,11,5,"M","B","EY",17,1,0,2,3,1,3
"M","A",17,4,4,"M","A","AZ",21,0,0,2,3,1,4
"M","B",26,26,5,"F","A","PO",22,0,1,0,3,19,3
"F","B",27,17,3,"M","B","CJ",15,1,0,5,2,4,5
"M","B",24,9,4,"M","B","EY",25,1,1,2,4,12,4
"M","C",30,5,5,"M","A","PO",23,4,1,1,3,15,4
"F","C",18,14,5,"F","B","IC",32,1,2,2,1,1,4
"F","A",30,6,4,"F","C","PO",24,1,1,1,3,15,5
"F","C",21,8,5,"F","B","AZ",45,0,1,0,1,24,3
"F","B",20,5,3,"F","D","EY",48,0,1,2,0,6,3
"F","D",19,4,3,"M","B","PO",21,2,2,1,1,7,5
"F","A",28,2,2,"M","B","CB",15,3,1,1,2,6,5
"M","B",24,10,4,"F","A","IC",42,1,0,4,1,4,3
"F","B",23,4,3,"F","B","CB",15,2,3,3,3,1,3
"F","A",18,2,4,"M","B","EY",17,0,0,6,5,1,3
"F","A",20,5,3,"F","A","AZ",30,2,2,0,1,8,3
"F","C",23,31,5,"F","A","CB",44,2,3,0,4,22,4
"M","D",20,4,4,"M","B","EY",16,3,3,2,2,13,4
"F","A",33,7,4,"M","C","CB",36,2,2,1,4,14,4
"M","B",22,11,4,"M","B","ST",23,1,0,1,3,4,5
"F","C",34,9,2,"F","B","AZ",40,0,0,1,0,20,3
"M","B",24,4,5,"F","B","PO",31,1,0,3,3,15,5
"M","A",16,2,4,"M","C","PO",17,2,0,0,0,19,5
"F","A",30,4,4,"M","A","PO",19,2,0,4,5,10,5
"F","B",15,4,5,"F","A","IC",25,0,0,2,2,1,2
"F","B",19,7,4,"F","A","AZ",17,1,2,1,3,2,3
"F","B",26,9,3,"F","B","PO",18,3,0,5,2,5,5
"F","A",19,4,3,"M","A","AZ",18,1,2,3,1,6,5
"F","B",16,4,4,"M","B","PO",24,0,2,0,1,4,3
"M","B",29,9,6,"M","B","CB",23,1,2,3,1,11,5
"F","C",31,5,2,"M","A","IC",15,0,1,4,3,2,3
"F","D",16,8,5,"M","A","PO",25,2,0,5,3,20,5
"M","A",40,1,3,"F","B","PO",38,2,1,1,2,27,5
"F","B",18,5,5,"M","B","CB",23,0,0,2,5,2,4
"M","B",21,7,3,"F","B","IC",29,0,2,1,2,14,3
"F","B",18,3,3,"F","B","PO",17,0,0,1,5,2,4
"F","A",21,6,3,"F","C","AZ",27,0,0,2,3,0,3
"M","B",21,24,5,"F","A","PO",25,1,2,1,4,0,3
"F","A",36,1,1,"F","A","ST",35,1,0,0,0,4,2
"M","A",20,2,4,"M","A","PO",15,4,0,0,1,2,4
"F","A",16,2,3,"M","A","AZ",28,2,2,1,2,11,2
"F","B",20,31,5,"F","B","PO",16,0,2,4,2,4,5
"F","B",22,4,4,"M","B","AZ",23,0,1,0,3,9,4
"M","A",25,2,2,"M","B","IC",36,1,0,0,2,6,4
"M","C",16,5,4,"F","A","AZ",30,5,2,3,2,6,4
"F","B",30,2,4,"M","B","CB",16,2,0,1,5,2,3
"M","A",30,2,3,"M","B","CB",18,2,2,4,3,5,5
"M","A",42,16,4,"F","B","EY",25,1,2,1,2,3,3
"M","D",21,3,3,"F","A","ST",28,1,0,1,0,3,2
"M","A",29,8,4,"F","B","EY",33,0,4,0,1,14,3
"F","C",29,6,1,"M","C","ST",16,4,2,2,3,4,5
"F","C",19,19,5,"M","B","PO",22,1,1,0,2,9,3
"F","B",15,2,3,"F","B","AZ",25,2,4,2,3,3,1
"F","B",15,5,6,"F","A","AZ",29,0,0,0,1,3,3
"F","C",38,13,5,"M","B","CB",51,0,2,0,2,16,4
"M","B",27,9,5,"F","C","IC",15,0,0,0,1,3,4
"F","A",28,4,4,"M","A","IC",17,2,0,0,1,4,4
"F","B",38,15,6,"F","A","AZ",31,1,0,2,2,3,3
"M","A",16,5,5,"F","B","AZ",26,1,0,1,2,5,3
"F","D",34,2,3,"F","D","PO",27,2,2,8,3,22,5
"F","D",27,14,5,"F","A","AZ",19,3,5,0,6,3,3
"M","B",20,3,3,"M","C","CB",21,1,0,1,4,8,4
"M","A",60,41,3,"F","B","CB",17,2,0,0,1,14,3
"M","B",19,9,4,"M","B","EY",26,2,2,1,2,10,3
"M","B",17,8,4,"F","C","PO",19,2,1,3,1,10,5
"M","C",24,8,3,"M","B","PO",17,4,1,2,1,4,5
"F","B",24,17,3,"F","C","PO",35,2,1,2,2,17,5
"F","A",32,7,5,"F","B","PO",18,1,0,0,1,8,4
"F","C",15,2,3,"F","B","PO",18,2,2,3,2,12,5
"F","C",17,6,4,"F","A","AZ",28,1,0,0,1,3,3
"F","A",25,7,3,"M","A","CB",71,1,2,0,5,41,3
"M","A",16,1,3,"M","C","AZ",18,1,1,1,4,2,3
"M","C",17,11,5,"F","D","CJ",44,1,0,2,4,8,2
"F","D",27,1,3,"M","B","PO",17,0,1,1,4,3,3
"F","B",21,15,3,"F","A","AZ",26,3,0,3,1,11,5
"F","A",38,10,5,"M","B","CB",23,2,1,2,2,4,5
"M","B",16,5,5,"F","A","AZ",32,2,1,4,1,18,3
"M","B",24,5,3,"F","B","CB",35,2,1,8,2,17,5
"M","C",19,4,5,"F","A","AZ",15,3,0,1,1,5,5
"F","A",26,1,1,"M","A","EY",18,1,2,1,2,15,5
"F","B",18,8,3,"M","B","IC",28,0,0,2,0,4,2
"M","A",27,8,3,"M","A","IC",38,1,1,3,1,16,4
"F","B",17,5,4,"F","B","AZ",21,2,0,0,2,9,5
"F","A",31,0,3,"M","B","PO",18,1,2,0,1,4,5
"M","B",18,4,4,"M","A","AZ",16,5,2,0,3,1,4
"M","D",19,6,5,"M","A","PO",15,2,1,0,1,6,5
"M","C",20,5,5,"M","C","CB",17,1,0,0,1,3,3
"M","C",33,1,3,"M","C","ST",28,0,1,7,4,14,5
"M","A",29,12,1,"M","D","PO",27,2,1,4,4,17,5
"F","A",26,4,4,"F","B","CB",36,3,0,1,2,8,5
"F","B",15,1,3,"F","A","CJ",37,2,1,3,2,7,5
"F","A",24,17,4,"F","A","AZ",26,0,1,1,1,6,3
"M","C",26,1,2,"M","B","ST",28,2,1,2,0,21,5
"F","D",38,5,2,"F","A","IC",34,2,1,0,1,11,2
"M","A",31,3,3,"F","B","CB",23,0,0,2,4,8,3
"F","B",27,12,4,"F","C","ST",44,2,1,0,1,4,4
"M","D",17,10,6,"F","B","PO",16,4,0,0,5,1,3
"F","A",39,17,2,"M","C","CB",22,1,0,0,3,6,3
"F","B",16,8,6,"F","C","CJ",23,3,0,2,1,5,6
"M","C",17,4,5,"F","C","IC",26,0,0,1,3,11,4
"F","A",17,7,5,"M","A","CB",29,1,1,1,2,13,4
"M","A",38,28,4,"M","B","CJ",15,0,1,2,5,5,3
"F","A",45,7,3,"F","C","PO",17,0,0,2,2,4,3
"F","B",40,19,4,"M","D","AZ",17,2,3,3,2,5,5
"F","B",27,4,3,"M","A","PO",16,3,2,4,1,8,5
"F","B",18,10,4,"F","B","CB",43,1,0,0,4,7,4
"F","A",27,1,4,"M","A","CB",19,0,0,1,1,3,3
"F","A",25,0,2,"M","C","AZ",22,1,1,0,1,10,5
"M","B",25,9,3,"F","A","IC",21,1,0,5,5,5,5
"F","D",31,14,4,"F","A","EY",40,1,1,1,0,9,3
"F","A",20,2,3,"F","A","IC",25,2,2,1,0,3,3
"F","B",27,20,5,"F","B","CB",25,0,0,0,1,1,3
"M","B",15,4,4,"M","B","CJ",21,3,0,0,1,6,4
"M","A",17,2,3,"M","B","PO",89,1,1,7,5,11,5
"M","A",20,3,4,"F","B","PO",18,1,2,2,0,4,5
"F","B",28,5,4,"F","B","PO",34,2,1,1,2,13,3
"F","A",31,7,2,"M","B","CJ",15,2,4,1,0,5,5
"F","B",15,4,4,"F","A","AZ",40,1,3,0,2,21,4
"F","B",31,0,3,"F","A","IC",25,2,3,1,0,5,1
"M","B",18,27,5,"F","A","AZ",37,0,1,2,1,10,2
"F","B",32,5,3,"F","A","PO",30,1,1,1,0,1,3
"M","A",27,9,3,"F","B","CB",15,1,1,2,6,2,3
"F","A",22,7,5,"F","B","PO",15,1,0,4,1,4,5
"M","B",25,17,5,"M","A","AZ",20,0,1,1,5,7,4
"F","A",17,9,5,"F","D","CJ",26,0,0,2,3,9,3
"M","B",15,5,5,"M","B","PO",45,0,1,1,3,22,3
"F","A",18,1,4,"M","A","CB",19,0,0,0,2,3,3
"F","A",19,6,5,"M","B","ST",23,1,2,0,2,9,4
"M","B",17,1,4,"M","A","IC",52,0,2,1,2,26,3
"F","A",26,4,2,"F","A","CB",49,0,0,1,1,3,1
"F","C",31,11,3,"F","C","CB",19,1,0,0,1,4,4
"F","C",17,3,3,"F","B","PO",17,1,0,1,2,2,4
"M","B",25,6,3,"M","B","PO",17,3,1,1,2,9,5
"F","A",28,1,3,"F","B","EY",20,2,1,0,3,7,3
"F","D",15,7,3,"F","C","IC",15,2,0,0,2,4,3
"M","A",28,18,5,"F","A","IC",53,2,1,2,2,12,3
"F","A",30,2,3,"M","C","EY",19,0,1,0,3,1,3
"F","B",19,10,5,"M","C","AZ",30,6,2,3,5,12,5
"F","D",30,6,2,"F","B","CJ",20,1,2,0,3,6,4
"F","C",40,26,5,"F","A","PO",16,0,1,6,3,4,5
"M","B",15,5,5,"M","B","PO",23,0,2,4,5,4,3
"M","B",31,14,5,"F","B","PO",28,0,1,0,3,21,3
"M","A",17,2,3,"M","A","ST",21,3,0,4,6,6,5
"F","C",16,2,3,"F","A","AZ",20,1,3,1,4,2,3
"F","C",24,5,4,"F","A","EY",21,0,0,4,2,5,4
"F","C",15,2,4,"M","A","PO",27,2,1,1,3,9,3
"F","B",34,13,4,"F","A","AZ",28,1,0,1,1,0,3
"F","A",26,4,3,"F","A","CB",29,0,0,1,2,1,5
"M","C",24,11,5,"M","C","CJ",28,3,0,5,2,19,5
"F","D",21,7,5,"M","A","CB",16,3,0,5,2,5,5
"M","C",19,9,5,"F","B","PO",36,1,2,1,1,9,5
"M","C",25,3,2,"F","A","CB",30,1,1,5,3,9,5
"M","B",20,16,4,"F","B","AZ",30,1,3,5,2,13,5
"F","D",28,4,1,"M","B","EY",18,2,0,0,0,8,4
"F","A",30,16,4,"F","B","PO",18,0,2,0,5,5,4
"F","C",33,19,4,"F","A","CB",26,2,1,1,1,2,4
"F","B",25,14,5,"F","A","PO",36,0,0,2,3,1,4
"M","B",25,13,5,"F","B","AZ",23,2,2,1,1,3,4
"F","A",16,4,3,"F","B","PO",45,1,2,2,0,36,5
"F","C",17,9,5,"F","B","AZ",19,1,1,0,3,4,4
"F","B",24,6,4,"M","B","PO",18,3,1,1,1,25,5
"M","A",33,18,3,"M","C","PO",21,3,1,2,2,49,5
"M","D",30,3,1,"M","D","CJ",24,2,0,0,2,10,3
"F","B",40,17,4,"M","B","EY",20,0,1,0,2,8,3
"F","B",21,1,4,"M","A","AZ",16,2,2,0,2,6,3
"F","A",19,6,4,"F","C","CJ",17,0,0,1,3,2,4
"M","A",21,15,5,"M","A","CJ",19,1,1,2,5,2,3
"F","B",20,9,3,"M","B","PO",24,4,0,3,4,12,5
"F","B",25,3,3,"F","A","AZ",26,2,1,1,1,3,1
"M","D",18,8,5,"F","B","AZ",46,1,0,5,4,6,5
"F","B",18,4,4,"M","A","EY",42,1,1,2,2,12,5
"F","A",31,19,5,"M","C","PO",24,0,1,0,4,12,3
"F","C",23,17,5,"M","A","IC",18,1,0,1,3,3,4
"F","B",22,11,4,"F","B","CB",20,2,0,1,3,6,3
"M","C",27,9,5,"M","C","PO",17,3,2,4,2,5,5
"F","A",18,7,5,"F","A","ST",26,0,2,1,1,3,3
"F","B",35,6,3,"F","B","EY",36,1,1,0,0,17,4
"F","B",30,14,3,"F","B","AZ",16,0,0,3,4,2,4
"F","B",32,8,3,"M","C","PO",16,2,1,5,0,21,5
"F","B",40,20,4,"M","B","ST",21,1,1,5,5,7,5
"F","B",15,1,4,"F","A","IC",19,3,0,2,2,14,5
"M","B",17,11,5,"F","C","CB",20,0,0,1,6,3,4
"F","A",62,6,2,"F","C","ST",18,1,0,1,3,1,3
"M","A",20,5,5,"F","A","PO",48,5,1,1,1,24,3
"M","B",44,13,2,"M","A","ST",23,0,0,1,3,13,3
"F","B",43,11,3,"F","C","CB",28,0,0,0,3,7,4
"F","B",37,8,5,"M","C","CB",16,0,1,2,0,4,5
"M","A",19,5,3,"F","A","CB",34,0,1,1,3,15,3
"F","B",43,10,4,"M","B","EY",17,2,3,1,6,2,4
"F","C",21,8,3,"F","A","PO",47,0,0,3,3,11,4
"M","C",18,15,5,"F","B","PO",31,2,0,2,3,22,4
"M","B",28,13,4,"F","B","CB",17,2,1,2,1,16,5
"M","A",23,9,3,"F","A","AZ",35,1,2,2,2,13,3
"F","C",22,12,4,"F","A","EY",17,0,0,0,3,4,3
"F","B",24,2,4,"F","C","CJ",19,4,2,3,5,7,5
"F","D",17,2,4,"F","A","IC",28,1,2,0,0,1,4
"M","B",20,15,5,"F","A","AZ",22,3,1,3,2,8,5
"F","C",30,1,3,"M","C","CJ",24,1,1,1,1,10,5
"M","C",17,19,5,"F","B","IC",35,2,0,2,5,19,3
"F","D",30,2,3,"M","B","PO",36,1,2,1,3,4,5
"M","C",32,11,3,"M","C","PO",17,1,1,4,4,8,5
"M","A",27,1,3,"F","B","PO",20,1,1,1,6,2,3
"M","B",19,5,5,"F","A","IC",20,0,1,0,2,3,4
"F","B",25,4,5,"F","A","AZ",25,0,0,0,0,2,1
"M","A",26,5,2,"F","A","PO",27,1,1,0,3,1,2
"F","C",22,9,5,"M","B","EY",19,1,0,1,5,4,3
"F","A",50,26,3,"F","A","AZ",28,1,0,1,1,5,3
"F","A",28,1,3,"F","B","PO",21,2,1,2,0,20,5
"F","A",20,1,4,"M","A","CJ",34,2,2,1,0,6,2
"M","C",18,10,4,"F","B","PO",21,5,1,4,1,7,5
"M","A",34,12,3,"F","A","ST",23,0,0,2,6,3,4
"M","A",18,3,5,"F","C","EY",21,0,0,4,4,5,5
"F","C",15,6,5,"M","A","ST",29,0,0,0,3,1,2
"F","A",23,4,5,"F","A","PO",24,0,0,0,4,18,3
"F","A",29,2,4,"F","A","AZ",31,2,2,5,2,1,2
"M","C",20,6,5,"F","A","PO",21,0,0,0,3,9,5
"M","A",15,1,4,"F","A","CJ",28,3,0,6,3,6,5
"M","C",18,1,4,"M","A","EY",15,2,2,0,5,2,3
"M","B",30,5,3,"F","B","CJ",16,2,2,0,3,1,4
"M","A",17,8,4,"F","C","AZ",22,0,0,1,4,10,4
"F","B",16,8,3,"M","A","IC",26,0,0,0,1,6,3
"F","B",20,4,3,"F","A","CJ",40,1,1,2,1,10,5
"M","A",15,3,4,"F","C","PO",26,0,0,2,1,1,2
"F","B",31,12,4,"F","B","CJ",16,2,0,3,1,13,5
"F","B",15,18,5,"M","B","CJ",16,1,0,4,2,5,5
"M","B",22,8,5,"F","C","AZ",32,1,1,0,2,14,1
"F","A",29,11,4,"M","A","CB",15,1,1,1,4,14,3
"M","A",30,11,4,"F","B","CB",21,4,1,4,2,21,5
"F","B",18,4,3,"F","A","ST",36,0,0,2,1,10,3
"M","C",21,18,5,"F","A","PO",15,1,2,0,0,2,4
"M","A",20,8,5,"M","B","AZ",18,1,2,1,3,2,4
"M","B",18,2,4,"M","A","CB",30,0,0,0,1,9,3
"F","A",27,3,4,"M","A","PO",17,0,5,2,3,4,4
"F","C",21,5,5,"M","B","EY",28,2,4,3,6,4,4
"F","A",28,2,2,"F","C","AZ",16,0,2,2,2,4,3
"F","A",26,7,3,"F","A","CB",28,1,0,1,0,1,4
"F","A",27,8,5,"F","B","AZ",29,0,0,0,0,5,4
"F","A",17,3,3,"F","A","PO",28,0,1,0,4,13,4
"F","A",44,11,4,"F","B","PO",44,0,0,3,4,25,3
"F","B",22,10,4,"M","A","PO",30,2,1,3,6,4,5
"F","A",25,7,3,"F","A","EY",24,3,1,1,0,9,5
"F","B",20,5,4,"M","B","EY",28,0,1,0,1,13,4
"F","A",19,6,5,"M","B","CJ",15,1,2,0,3,6,4
"F","B",31,7,3,"F","B","PO",47,1,1,7,2,23,5
"M","C",15,1,4,"F","D","CB",34,0,0,0,0,1,3
"F","A",57,1,3,"F","A","EY",19,2,0,2,4,1,5
"F","B",16,15,5,"F","A","EY",16,0,1,1,2,1,3
"F","A",29,7,3,"F","A","ST",31,0,1,0,0,2,3
"M","B",35,21,5,"F","A","PO",29,1,2,0,0,17,3
"F","B",33,27,4,"F","B","PO",62,2,1,2,7,35,3
"F","A",20,13,5,"F","C","EY",31,1,0,5,4,20,5
"M","A",15,1,4,"F","A","IC",35,0,1,2,2,6,4
"F","B",22,28,5,"M","B","IC",21,1,1,0,0,3,4
"F","A",26,10,5,"M","C","CJ",25,2,1,3,5,13,5
"F","C",28,2,2,"M","A","IC",22,1,0,5,2,4,5
"F","C",19,10,5,"M","B","PO",41,2,2,3,0,19,5
"F","C",23,6,5,"M","A","PO",15,0,0,0,4,3,3
"F","B",27,8,5,"F","B","ST",15,0,0,2,5,15,4
