"Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10"
"F","C","PO",34,4,1,3,1,7,5
"F","B","CJ",24,0,1,1,2,14,4
"F","A","PO",16,0,0,1,6,1,4
"F","C","PO",15,1,1,0,2,6,3
"F","A","AZ",46,0,1,0,2,20,3
"F","B","IC",16,0,0,0,2,1,4
"M","A","EY",22,4,2,2,2,6,4
"F","B","PO",25,1,0,2,1,4,4
"M","D","CB",26,4,1,5,4,12,5
"F","A","ST",19,0,0,0,4,7,4
"M","B","EY",25,2,1,1,3,1,3
"F","D","PO",36,2,3,5,0,5,5
"F","A","PO",44,0,1,2,4,35,4
"M","C","AZ",57,1,1,0,1,34,4
"F","C","AZ",20,4,2,2,3,8,5
"M","A","ST",45,3,0,3,3,26,5
"F","B","CB",18,2,0,1,4,5,4
"F","A","EY",31,1,0,1,4,2,3
"M","C","CB",26,2,1,2,2,6,3
"M","B","AZ",31,0,2,0,3,16,4
"M","A","IC",26,0,0,0,2,1,3
"M","B","AZ",17,1,2,0,0,6,5
"M","B","PO",30,0,0,2,0,25,5
"F","A","PO",22,2,1,0,5,3,4
"F","C","PO",17,1,2,0,1,5,4
"M","B","EY",26,1,0,0,1,5,3
"F","C","IC",19,1,1,2,4,1,3
"M","A","IC",38,0,0,0,1,4,3
"F","A","ST",33,2,1,2,5,18,4
"F","A","EY",34,0,3,0,3,4,4
"M","A","CJ",31,1,0,0,0,30,5
"F","B","EY",23,2,2,0,4,2,3
"F","B","PO",21,1,1,1,5,10,3
"M","C","IC",21,3,2,0,2,8,3
"M","B","CB",16,1,2,0,4,10,4
"F","A","ST",35,0,1,0,2,6,2
"M","C","IC",25,2,1,0,4,3,4
"F","A","PO",59,0,1,1,3,40,3
"M","B","IC",18,2,0,1,4,4,4
"F","C","AZ",16,0,3,1,1,4,5
"F","A","EY",37,2,1,3,2,4,3
"F","C","IC",17,1,0,1,4,2,3
"M","C","EY",27,0,1,0,1,14,5
"M","A","AZ",17,2,1,1,1,11,4
"M","A","CJ",23,2,4,2,2,41,5
"F","A","EY",15,0,0,2,1,1,4
"M","A","PO",20,1,1,0,3,6,4
"F","C","IC",21,2,1,2,0,11,5
"M","B","PO",28,0,1,1,1,5,4
"M","C","CB",22,4,0,0,2,1,4
"M","D","ST",17,3,1,3,1,6,6
"F","B","PO",20,3,1,1,2,7,5
"F","A","CB",34,0,1,2,2,1,1
"M","C","CB",19,1,2,3,1,13,5
"F","B","CB",17,1,0,1,4,6,3
"M","C","AZ",24,1,1,0,0,11,5
"F","C","ST",16,1,2,4,1,5,5
"F","C","CJ",22,1,0,3,3,14,5
"F","A","ST",26,0,1,1,1,2,3
"M","A","AZ",15,0,0,6,3,12,5
"F","C","CB",21,1,0,2,2,10,5
"F","C","EY",22,1,1,0,2,9,3
"F","A","PO",23,1,1,0,3,14,4
"M","B","AZ",15,1,0,0,1,4,3
"F","C","CJ",44,0,1,1,2,26,3
"M","B","AZ",26,1,1,1,1,10,5
"M","C","PO",52,1,0,2,4,36,4
"M","B","AZ",18,2,0,5,2,11,5
"F","A","CB",20,2,1,2,3,15,3
"F","A","AZ",28,1,1,0,0,2,2
"F","A","IC",27,3,1,0,1,2,2
"F","A","PO",21,1,2,0,1,3,4
"F","B","AZ",42,0,0,3,5,32,4
"M","C","IC",15,0,0,1,1,3,4
"M","C","CB",15,5,2,5,3,4,5
"M","A","EY",15,2,0,1,3,3,3
"M","B","CJ",22,1,0,1,3,16,4
"F","B","EY",16,0,0,1,1,1,3
"F","A","CJ",25,2,2,0,0,9,5
"F","B","EY",25,1,0,1,5,1,3
"F","D","EY",32,1,1,1,1,14,4
"F","B","CB",21,0,1,1,1,15,4
"F","A","CJ",60,1,2,0,3,34,4
"F","A","CJ",32,0,0,0,0,1,2
"F","B","CJ",40,3,0,3,0,7,4
"F","B","CJ",21,1,2,3,3,2,4
"F","B","PO",20,1,1,4,2,9,5
"M","B","CB",22,1,0,3,2,2,3
"M","A","PO",16,1,1,1,3,1,4
"M","B","IC",18,0,2,3,4,4,3
"F","B","EY",17,0,0,0,2,2,3
"M","C","IC",31,1,0,0,1,6,5
"F","C","CJ",22,0,0,2,2,6,3
"F","A","AZ",15,2,1,2,1,9,5
"F","C","CB",28,5,1,1,1,6,5
"F","A","IC",25,1,1,1,0,1,2
"M","B","PO",35,2,0,1,0,10,4
"F","B","AZ",15,1,4,2,7,1,3
"F","B","AZ",20,3,2,5,2,10,5
"F","C","PO",39,0,2,1,1,12,5
"F","C","PO",28,0,0,2,6,8,4
"F","B","PO",15,1,0,1,3,2,3
"F","A","IC",30,0,0,2,2,3,3
"M","A","CB",16,0,1,0,1,3,4
"M","A","CJ",35,1,0,5,1,18,5
"M","A","IC",15,0,1,0,4,2,4
"F","A","CB",31,2,4,0,1,2,3
"F","A","EY",29,2,0,3,3,5,3
"F","B","ST",20,2,0,0,2,1,4
"M","B","PO",33,6,3,2,2,9,5
"F","B","IC",72,2,3,0,0,45,3
"F","A","CB",29,0,0,0,0,2,3
"M","B","PO",18,2,4,2,4,5,3
"M","A","EY",16,0,0,0,3,4,3
"F","A","EY",16,0,1,1,3,1,3
"F","C","CJ",25,1,2,2,4,15,4
"F","A","EY",39,2,1,1,2,18,4
"F","B","AZ",17,0,0,1,3,9,4
"F","A","CB",15,2,2,0,1,5,4
"F","B","PO",19,2,0,3,3,14,4
"F","A","PO",40,1,1,5,2,14,6
"F","B","CJ",20,2,0,4,4,22,5
"M","B","AZ",26,0,1,1,1,2,4
"M","A","ST",25,0,1,2,3,7,4
"F","A","IC",26,2,4,2,1,3,3
"F","A","CJ",26,2,0,1,0,7,3
"M","B","IC",30,3,2,1,1,11,5
"M","B","AZ",19,0,0,1,2,2,3
"F","B","CB",25,2,2,6,3,15,5
"F","B","EY",16,1,2,1,0,5,3
"M","B","EY",28,0,0,0,1,3,4
"M","C","CJ",18,1,0,6,4,23,5
"M","C","AZ",17,1,2,0,0,5,5
"F","A","AZ",26,1,0,2,1,1,4
"F","A","EY",31,0,0,0,1,1,3
"F","D","CB",19,0,2,1,2,2,3
"F","B","IC",17,0,1,0,2,2,3
"M","C","CJ",15,1,0,6,2,10,5
"F","B","ST",39,1,1,1,2,7,2
"M","A","EY",32,0,1,1,1,7,3
"F","B","ST",28,4,2,1,1,16,5
"F","C","AZ",29,3,0,1,2,4,3
"F","A","AZ",29,1,1,1,0,16,4
"F","A","IC",61,1,1,1,1,24,4
"M","B","PO",30,0,0,2,5,17,3
"M","A","IC",21,2,1,0,2,8,4
"M","C","AZ",17,1,2,1,1,12,5
"M","A","CJ",15,0,1,0,2,2,4
"F","B","PO",17,0,0,6,2,12,5
"F","B","AZ",17,2,3,0,1,6,3
"F","B","PO",21,0,0,2,4,1,4
"F","B","PO",37,3,0,0,0,4,5
"F","B","ST",16,2,0,2,5,2,3
"F","A","IC",31,0,1,0,1,5,3
"M","C","PO",27,1,0,1,1,2,2
"F","B","PO",19,4,3,3,3,24,4
"M","A","EY",15,3,2,0,1,3,4
"F","B","CB",15,0,0,1,3,3,4
"M","B","AZ",21,1,3,1,4,8,3
"M","A","PO",32,2,1,1,0,9,2
"F","A","CB",22,1,0,1,2,10,3
"M","A","EY",17,1,0,0,2,5,3
"F","A","AZ",25,0,2,3,1,1,1
"F","B","IC",22,2,0,2,3,3,3
"F","A","IC",18,0,1,1,2,4,4
"F","C","PO",24,1,1,2,6,5,4
"M","D","IC",32,1,0,2,1,9,5
"F","C","CB",26,0,1,0,1,2,2
"F","A","CB",23,1,0,2,2,7,5
"M","B","PO",16,1,1,3,1,6,5
"M","A","EY",15,1,0,2,7,1,4
"F","B","CB",26,1,2,1,3,13,4
"M","B","IC",16,5,2,1,1,2,4
"M","B","PO",24,2,3,3,3,13,5
"F","A","EY",15,1,1,0,0,1,3
"F","A","CJ",24,3,1,4,2,16,5
"F","A","PO",33,4,1,4,4,15,5
"M","A","EY",38,0,0,2,1,12,4
"F","B","EY",27,2,2,1,4,18,3
"M","C","AZ",16,0,1,0,3,5,3
"F","B","ST",42,1,1,0,1,13,3
"F","C","AZ",25,3,0,3,3,16,5
"M","B","EY",32,0,0,2,3,10,5
"F","B","CB",15,2,1,0,3,3,4
"M","D","AZ",21,1,1,1,4,2,3
"F","D","CB",21,3,2,2,2,3,3
"M","A","EY",27,1,0,2,7,4,4
"F","B","ST",25,2,1,4,6,10,5
"F","A","PO",27,1,1,0,1,1,5
"F","B","CJ",27,0,0,1,4,2,3
"F","B","AZ",21,2,2,0,4,5,3
"M","B","PO",34,2,0,1,4,3,3
"F","B","AZ",15,2,0,1,0,14,5
"M","C","CB",17,0,1,0,1,6,4
"M","B","ST",30,1,2,1,2,10,4
"F","A","CB",17,2,2,3,0,2,4
"M","B","EY",17,0,1,1,3,4,3
"M","A","IC",41,1,1,2,1,6,4
"M","B","PO",31,5,1,5,1,22,5
"F","B","PO",24,1,0,3,3,28,5
"M","B","CJ",21,2,1,1,2,6,5
"M","C","IC",20,0,0,0,3,4,3
"F","A","PO",15,0,0,5,3,4,5
"M","B","ST",22,1,1,2,2,9,5
"F","B","CJ",32,0,0,0,3,14,3
"M","B","PO",19,0,0,3,2,8,5
"F","D","CB",25,2,3,0,1,4,3
"F","A","CJ",28,2,1,3,0,3,1
"F","B","EY",18,1,2,3,5,4,4
"F","B","AZ",15,2,1,1,6,5,4
"M","C","PO",23,2,0,4,3,24,5
"F","A","CJ",32,2,2,3,0,4,3
"F","D","ST",27,2,1,0,1,6,4
"F","A","CB",29,1,1,0,0,2,3
"M","A","AZ",25,2,1,0,1,7,3
"F","B","AZ",46,3,0,4,2,13,5
"F","B","PO",30,1,0,3,5,10,5
"F","C","PO",15,1,1,3,8,3,4
"M","B","ST",23,0,0,0,1,8,3
"M","B","CJ",20,3,0,1,1,5,5
"M","B","AZ",18,0,0,5,1,13,5
"F","A","EY",22,2,1,1,5,7,3
"F","B","CJ",20,1,2,2,2,13,5
"F","B","CB",26,1,1,3,1,4,5
"F","A","EY",27,1,0,0,1,2,3
"F","A","PO",18,2,0,4,3,5,5
"M","A","CB",20,0,2,0,3,4,4
"F","A","AZ",27,1,0,1,1,2,3
"F","B","PO",19,3,2,3,2,12,5
"F","B","CJ",23,1,0,2,4,4,4
"F","B","AZ",34,1,0,5,2,7,5
"M","A","ST",20,1,0,1,1,9,3
"M","A","AZ",20,3,1,1,2,5,3
"F","B","AZ",22,0,1,1,1,1,4
"M","B","AZ",15,0,0,2,1,1,3
"F","C","IC",54,1,1,2,3,11,3
"F","B","EY",32,0,2,0,5,12,4
"M","B","AZ",16,2,0,2,1,4,5
"F","B","AZ",24,1,0,3,3,8,4
"M","D","IC",15,1,1,1,1,6,5
"F","C","PO",15,2,2,6,2,4,5
"M","B","AZ",20,1,0,4,4,1,4
"F","B","AZ",37,1,1,1,4,17,3
"M","A","AZ",15,0,1,1,4,5,5
"F","B","PO",23,2,5,0,3,10,4
"F","A","CJ",16,2,1,1,2,1,3
"M","A","AZ",35,1,2,1,0,8,3
"F","B","CB",15,2,0,2,1,3,3
"M","B","ST",29,2,0,1,5,1,4
"M","D","AZ",35,1,1,3,3,12,4
"F","A","AZ",33,2,3,0,7,6,3
"M","B","PO",16,3,2,7,4,9,5
"F","A","EY",18,1,1,0,1,1,4
"M","A","PO",15,1,1,6,3,5,5
"M","B","CJ",19,1,3,2,4,6,3
"M","D","ST",19,1,0,3,4,1,3
"F","B","IC",26,0,0,3,1,2,4
"M","B","EY",18,0,1,1,0,15,3
"F","C","CJ",24,1,1,3,1,7,5
"F","C","AZ",22,2,1,1,3,2,3
"M","B","PO",20,3,3,3,3,13,5
"M","C","PO",17,1,0,2,1,6,5
"F","C","AZ",16,1,3,1,1,2,4
"F","B","AZ",30,0,1,0,0,3,3
"M","B","CB",50,2,2,1,2,30,3
"F","C","CJ",27,1,0,2,1,23,5
"F","B","ST",23,1,1,3,3,1,3
"F","A","PO",30,1,0,0,1,19,5
"M","B","AZ",15,1,0,0,1,6,4
"F","B","AZ",28,0,6,3,4,15,4
"F","B","PO",30,1,1,4,2,13,5
"F","A","AZ",31,0,0,1,0,1,2
"F","A","CB",26,1,6,2,4,8,4
"F","A","AZ",51,2,1,1,1,12,2
"M","B","IC",51,1,1,1,4,33,4
"F","B","CB",31,0,0,1,0,12,4
"M","A","PO",25,2,0,2,3,13,5
"M","B","PO",23,5,1,1,2,6,5
"M","B","IC",22,0,3,0,5,9,3
"M","C","AZ",23,3,0,6,3,11,5
"M","C","PO",40,2,1,1,1,7,5
"F","B","PO",24,1,0,0,1,7,3
"M","A","PO",20,2,2,0,0,16,5
"M","B","EY",21,2,1,1,2,8,3
"M","B","CJ",17,0,1,1,2,2,4
"M","C","PO",51,3,2,1,0,15,5
"M","A","CB",17,2,0,4,3,7,5
"F","A","PO",31,0,0,1,5,15,4
"F","B","IC",47,0,0,0,0,10,1
"F","A","AZ",37,0,1,1,1,13,3
"F","C","AZ",18,0,0,1,3,4,3
"F","B","EY",15,1,1,0,2,1,3
"F","B","ST",17,2,0,0,5,1,3
"M","B","CB",22,1,1,5,2,5,5
"F","A","EY",22,2,1,0,2,4,3
"M","C","PO",17,0,0,0,0,24,5
"F","B","CJ",26,1,0,0,2,7,3
"M","D","PO",15,3,0,6,4,5,5
"F","C","AZ",17,3,2,0,0,10,5
"F","A","ST",31,1,1,5,1,1,3
"F","D","PO",18,2,1,1,0,6,5
"F","B","PO",42,2,0,3,3,15,5
"F","A","AZ",33,0,1,0,1,5,2
"F","B","CJ",15,1,0,1,4,1,3
"F","B","EY",17,0,1,0,3,5,3
"M","A","ST",18,1,2,0,2,3,3
"M","D","PO",20,2,0,1,0,18,5
"M","B","PO",22,2,2,0,2,7,3
"F","B","CJ",23,0,0,1,3,5,4
"F","B","AZ",22,1,0,3,1,10,5
"M","B","IC",19,3,1,2,6,3,4
"F","B","IC",15,0,0,3,6,2,4
"M","C","IC",23,1,0,3,2,9,5
"F","A","IC",31,3,0,1,0,13,3
"F","C","PO",21,2,2,0,3,1,3
"M","A","ST",17,5,1,1,0,4,5
"M","B","AZ",34,4,1,5,4,10,5
"F","A","CB",28,0,0,0,0,3,3
"F","B","CJ",20,2,0,3,2,9,5
"F","A","PO",28,2,0,1,3,6,3
"F","B","IC",29,1,3,1,0,2,2
"M","B","AZ",21,0,1,2,5,4,3
"M","A","PO",15,2,0,4,2,5,5
"M","B","IC",17,0,3,0,2,4,4
"F","A","PO",28,2,1,5,4,4,5
"F","A","CJ",22,1,0,0,3,5,4
"M","C","AZ",21,1,1,2,0,14,5
"M","B","IC",17,4,1,3,1,4,5
"F","C","IC",15,3,0,0,1,2,5
"M","A","PO",26,2,2,2,1,5,3
"F","C","AZ",16,0,2,1,3,4,4
"M","A","CB",16,2,0,1,6,1,3
"F","A","CJ",15,4,2,7,2,4,6
"F","C","IC",22,3,1,0,2,7,4
"F","B","ST",16,3,1,1,6,2,3
"M","A","PO",15,2,1,1,2,3,3
"M","C","PO",18,2,1,5,0,4,5
"M","C","AZ",23,5,1,1,1,16,4
"F","A","AZ",26,1,1,0,1,3,4
"F","A","CB",17,2,1,1,3,2,3
"F","A","EY",16,1,0,2,4,1,4
"F","A","EY",24,1,1,0,5,2,3
"M","A","PO",29,0,1,2,1,2,3
"F","A","IC",24,1,1,3,3,7,3
"M","B","PO",21,2,1,1,1,10,5
"F","C","PO",15,1,2,1,6,1,4
"M","C","ST",18,2,1,0,1,3,3
"F","D","CB",35,1,0,0,1,8,3
"M","B","CJ",19,2,3,2,1,17,5
"F","A","AZ",26,6,1,2,0,3,3
"F","C","PO",26,3,1,3,1,14,5
"M","B","AZ",17,2,3,1,2,4,4
"M","C","PO",27,4,1,5,3,12,5
"F","B","CJ",20,1,2,4,3,9,4
"F","A","AZ",28,1,2,1,0,10,4
"M","A","IC",31,3,4,1,1,1,3
"F","B","CJ",22,0,0,2,4,8,4
"F","A","AZ",28,1,0,0,0,7,3
"M","B","IC",24,0,2,2,6,4,3
"M","B","EY",15,0,0,2,5,2,4
"M","B","PO",18,4,1,4,4,4,5
"F","B","CB",46,0,0,1,0,15,5
"F","A","AZ",39,3,3,0,2,3,2
"F","A","CB",25,1,3,1,5,4,4
"F","C","PO",61,0,0,5,4,34,5
"M","B","PO",44,0,1,0,2,34,4
"M","B","EY",26,1,2,0,3,28,4
"F","A","CB",31,2,1,2,1,4,3
"F","A","AZ",30,1,0,2,2,9,3
"M","B","EY",37,2,0,2,4,7,4
"F","B","CJ",20,3,0,4,3,17,6
"F","A","CJ",17,0,2,1,1,4,3
"F","A","CB",18,2,1,0,2,7,3
"F","C","IC",23,2,0,0,2,6,4
"F","C","IC",53,1,1,2,4,23,4
"M","A","IC",16,0,0,0,3,1,4
"M","B","PO",15,1,0,2,5,3,3
"M","B","CB",17,0,0,0,3,2,3
"F","A","PO",24,0,2,0,2,11,3
"F","A","EY",33,2,3,0,1,3,3
"F","B","IC",16,1,1,1,4,3,5
"F","A","EY",68,0,2,0,4,26,3
"F","A","PO",17,1,1,1,3,1,4
"M","D","CB",42,1,1,4,4,17,5
"M","B","PO",29,2,2,4,3,7,5
"F","A","PO",32,1,1,2,2,18,5
"M","D","CJ",20,2,1,1,2,2,4
"F","B","CB",15,2,1,2,4,2,3
"F","B","EY",19,1,0,0,2,2,3
"M","B","AZ",28,2,1,0,1,23,5
"M","A","PO",19,1,0,7,3,7,5
"F","A","PO",26,4,3,0,2,12,3
"M","C","CB",29,4,0,1,0,10,5
"F","A","AZ",26,1,2,1,1,2,3
"F","C","CJ",17,0,0,0,3,2,3
"F","A","AZ",25,1,2,0,0,2,3
"F","A","CB",25,1,0,1,0,1,4
"M","C","AZ",22,2,1,3,3,8,5
"M","B","EY",21,1,1,3,1,17,5
"F","A","PO",34,0,0,2,2,8,3
"M","B","PO",19,3,1,1,3,5,3
"F","A","EY",18,0,1,0,2,5,4
"M","A","PO",17,1,0,3,1,15,5
"F","B","CB",16,2,1,3,5,5,4
"F","B","PO",27,1,1,1,4,1,3
"F","C","EY",19,0,2,4,3,2,4
"F","A","EY",34,1,0,1,3,21,3
"M","B","CB",20,2,1,1,1,6,5
"M","D","ST",22,2,1,3,4,13,5
"M","A","IC",33,0,1,0,1,5,3
"F","B","PO",27,4,2,4,2,9,5
"F","B","AZ",20,1,1,1,0,8,3
"F","A","ST",15,0,2,0,2,2,3
"F","A","CJ",26,0,2,0,0,11,4
"F","A","CJ",50,2,2,2,0,13,2
"F","D","CB",40,1,2,4,2,21,5
"F","A","AZ",30,1,4,0,0,1,5
"M","C","AZ",31,0,1,2,1,9,3
"F","C","PO",21,2,4,7,4,4,5
"F","C","AZ",64,2,2,6,2,15,5
"F","B","PO",19,3,0,4,4,11,5
"F","B","AZ",15,3,1,2,2,4,5
"F","A","IC",25,1,0,2,2,7,3
