"Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10"
"F","C","EY",32,0,1,2,3,7,4
"M","A","AZ",15,0,0,2,1,6,5
"F","B","AZ",30,1,2,1,2,13,4
"F","C","CJ",23,0,1,1,1,4,5
"F","C","CB",28,0,0,3,2,4,4
"F","B","AZ",31,0,1,2,2,12,3
"F","A","AZ",27,1,0,0,0,2,2
"M","C","PO",33,1,0,3,0,12,5
"F","B","PO",22,1,0,2,5,6,3
"F","D","EY",24,1,0,3,2,5,5
"M","C","CJ",21,1,1,0,0,8,5
"F","A","AZ",24,1,3,4,1,5,5
"F","C","AZ",17,0,1,1,2,2,4
"F","A","AZ",28,2,1,1,2,9,3
"F","A","IC",21,1,2,0,2,4,3
"F","B","CJ",25,0,2,0,3,12,3
"M","C","AZ",15,3,0,4,3,9,4
"M","B","PO",17,0,0,0,3,3,3
"M","B","AZ",16,0,0,0,1,14,4
"M","C","AZ",42,1,0,1,4,11,3
"F","A","AZ",26,1,0,1,0,3,3
"F","B","AZ",19,2,1,2,4,6,3
"M","D","CB",16,9,2,3,4,6,5
"M","C","PO",39,1,0,2,1,15,5
"M","A","EY",25,4,1,0,1,12,5
"F","A","EY",17,2,0,1,3,2,3
"F","C","AZ",23,6,2,2,1,9,5
"F","B","PO",26,0,1,1,1,3,2
"F","D","CJ",32,3,1,1,0,10,5
"M","B","CB",19,2,3,3,3,7,5
"F","B","CB",15,1,1,2,5,4,4
"F","A","IC",28,1,1,2,7,10,4
"M","D","PO",19,2,1,0,6,1,3
"M","B","EY",66,1,0,1,5,45,4
"M","B","CJ",15,3,3,4,4,5,5
"F","A","PO",15,2,3,1,3,2,4
"F","A","AZ",25,3,2,1,1,11,3
"F","B","AZ",19,2,2,1,5,2,3
"M","C","PO",20,3,2,2,0,8,5
"M","B","CB",26,2,1,4,2,30,5
"F","B","EY",24,1,1,5,6,11,5
"M","A","PO",16,1,1,5,1,4,5
"M","B","AZ",15,1,3,3,2,11,5
"M","B","PO",23,3,0,2,2,4,5
"F","C","PO",27,1,1,1,0,8,3
"F","D","AZ",22,0,2,1,2,2,4
"F","A","IC",51,0,0,2,2,14,5
"M","C","CJ",23,0,1,0,2,3,4
"F","A","CJ",17,2,0,1,3,10,4
"F","B","ST",30,1,0,0,0,9,2
"M","B","AZ",16,0,2,1,3,4,3
"F","A","IC",38,0,0,0,0,1,2
"F","D","AZ",30,0,2,0,5,13,4
"F","B","AZ",19,2,2,1,3,2,3
"M","B","CJ",20,1,1,1,1,3,3
"F","B","CB",19,1,2,0,3,4,3
"M","A","PO",15,1,0,3,3,6,5
"M","A","CB",18,2,1,1,4,13,4
"F","B","CB",16,2,0,1,5,4,4
"M","C","AZ",25,1,1,0,2,10,4
"F","A","IC",32,0,1,0,2,17,4
"M","A","IC",16,2,2,0,2,2,4
"M","A","CJ",33,2,1,6,2,11,5
"F","A","EY",25,1,1,1,0,0,1
"M","A","CJ",26,1,1,0,0,4,3
"F","A","AZ",43,0,0,0,0,1,3
"F","A","IC",33,0,0,2,3,7,4
"F","B","PO",21,1,0,0,1,6,4
"F","C","PO",28,3,2,3,3,18,5
"F","B","PO",24,5,0,1,2,4,5
"F","A","IC",32,1,0,2,0,3,2
"F","A","CB",16,2,0,0,3,1,4
"M","C","AZ",29,0,1,3,2,6,2
"F","A","IC",50,0,0,0,1,11,4
"M","B","CJ",19,4,2,4,0,10,5
"F","B","PO",44,2,2,0,2,24,4
"M","A","CJ",15,0,1,0,2,23,4
"F","B","EY",16,3,0,2,0,4,3
"M","A","EY",30,0,0,2,3,6,1
"M","A","CB",17,0,1,3,3,10,5
"F","A","EY",19,0,4,0,3,4,3
"F","A","CB",36,2,1,0,1,3,3
"F","B","IC",33,0,0,2,3,11,3
"F","A","CB",15,0,1,1,1,1,3
"F","A","CJ",25,1,2,2,1,7,4
"M","B","PO",32,3,2,1,1,2,4
"M","C","CJ",15,1,0,0,3,14,4
"F","A","AZ",20,2,0,2,3,2,4
"F","A","ST",33,0,1,1,1,7,2
"F","B","CB",27,2,1,0,1,10,4
"M","D","PO",20,4,0,4,2,13,5
"M","D","IC",30,1,0,0,0,1,3
"M","C","AZ",22,2,1,2,4,11,5
"F","B","AZ",15,0,0,0,2,2,3
"F","A","PO",28,2,1,2,2,9,3
"F","B","IC",19,0,2,2,4,5,4
"F","A","PO",27,1,2,1,0,1,3
"F","B","EY",15,2,0,2,4,2,4
"M","B","AZ",19,6,1,3,0,10,5
"F","A","PO",32,0,2,1,0,9,4
"F","A","AZ",31,0,0,2,3,7,3
"M","A","IC",30,0,2,1,4,10,4
"F","B","CB",16,0,0,0,4,4,3
"M","C","CJ",16,1,1,5,2,4,5
"M","C","PO",21,1,0,2,0,10,5
"M","C","PO",15,0,0,0,1,7,5
"M","A","IC",27,1,2,0,1,12,3
"M","A","AZ",17,0,1,1,6,4,4
"F","D","EY",24,1,1,2,4,4,4
"M","B","EY",16,1,1,2,1,4,5
"F","B","EY",21,1,1,3,2,1,4
"F","C","PO",35,1,0,1,0,8,2
"M","D","PO",19,1,0,1,0,4,5
"M","B","PO",21,1,0,4,5,11,4
"F","A","EY",36,0,2,0,0,11,4
"M","B","CJ",25,1,0,1,4,14,3
"M","A","PO",28,1,1,4,3,21,5
"M","C","CB",19,0,0,3,4,2,3
"F","C","PO",16,2,0,3,1,20,5
"F","A","IC",29,2,1,1,3,7,3
"F","C","EY",15,2,2,2,4,2,3
"M","A","AZ",24,1,1,2,3,7,4
"M","B","IC",51,1,0,2,3,11,5
"M","A","PO",17,3,2,4,4,16,5
"F","B","AZ",25,1,0,0,2,4,4
"M","A","PO",18,1,1,1,4,5,3
"F","A","IC",27,0,0,1,0,5,3
"F","D","IC",39,0,0,1,2,12,3
"M","A","AZ",30,1,2,1,0,8,4
"F","B","EY",48,0,1,0,4,7,3
"M","A","AZ",16,1,2,2,1,4,5
"F","B","ST",34,3,1,1,0,12,2
"F","B","AZ",26,1,0,1,1,1,2
"M","C","EY",28,2,1,4,1,7,5
"M","A","CJ",20,1,3,0,0,10,4
"F","B","IC",24,1,0,0,3,12,3
"F","A","PO",20,2,0,0,4,8,3
"M","A","CB",30,1,1,1,5,1,3
"F","B","PO",16,1,0,3,2,4,5
"F","D","PO",24,3,1,1,1,12,5
"M","C","AZ",21,3,1,3,2,10,5
"M","C","CB",22,0,2,3,2,12,5
"M","D","PO",15,1,1,3,0,12,5
"M","A","CJ",17,1,0,0,3,2,4
"F","B","PO",19,2,2,2,5,7,3
"M","A","CB",27,1,2,1,3,9,3
"F","B","EY",18,1,0,1,4,5,4
"F","B","CB",18,1,0,0,2,7,4
"F","B","PO",35,0,1,2,2,9,5
"F","C","AZ",16,3,0,2,3,12,5
"F","A","EY",18,1,1,1,6,5,4
"F","C","EY",33,3,0,1,1,14,4
"M","B","CB",56,4,1,3,2,12,5
"F","A","EY",29,1,0,1,2,16,3
"F","A","IC",29,2,3,3,1,9,3
"F","B","CB",21,2,0,1,4,3,3
"M","A","CB",18,3,1,5,2,17,5
"M","B","PO",21,2,1,0,2,2,4
"M","B","EY",21,2,3,3,2,13,5
"F","A","PO",25,0,0,1,1,13,4
"F","C","PO",31,1,0,3,1,9,5
"F","B","CJ",33,2,1,3,1,2,3
"F","A","PO",26,0,0,0,0,7,4
"M","C","AZ",25,1,1,1,1,5,3
"F","A","AZ",15,1,0,0,1,2,4
"M","D","EY",21,1,0,3,4,12,5
"M","B","EY",19,3,0,2,4,1,3
"F","A","AZ",36,0,0,2,2,1,3
"M","B","IC",15,1,1,2,2,2,4
"M","A","PO",25,1,0,0,2,7,5
"F","A","CB",17,4,1,0,0,6,5
"M","B","AZ",42,0,2,3,5,6,5
"M","D","PO",23,2,1,1,2,9,5
"F","C","PO",19,0,0,2,3,3,3
"M","B","IC",18,1,0,2,5,7,3
"M","B","PO",20,1,1,0,4,8,4
"M","B","PO",22,3,1,3,2,7,6
"M","A","PO",17,0,3,3,1,7,5
"M","A","EY",17,1,0,0,1,3,3
"F","A","AZ",27,1,1,2,7,1,4
"F","A","CJ",29,1,1,1,1,3,3
"F","B","EY",20,1,1,0,2,7,3
"M","B","EY",16,0,0,2,3,1,3
"M","B","AZ",22,0,0,2,3,5,5
"M","A","EY",26,1,1,2,3,9,4
"M","B","ST",21,1,2,3,4,5,3
"M","B","CB",24,0,1,1,4,8,3
"F","B","PO",20,3,1,3,1,12,5
"F","A","PO",15,0,0,2,4,8,4
"F","A","IC",25,2,1,2,0,8,4
"M","B","EY",15,1,1,0,4,2,3
"F","A","CB",27,2,1,2,1,2,2
"F","B","CB",53,2,0,1,3,28,3
"F","B","EY",19,3,0,1,3,3,3
"M","B","PO",22,0,0,0,1,7,4
"F","A","CJ",16,1,1,1,2,4,3
"F","B","PO",21,2,1,1,6,4,3
"F","D","AZ",36,2,0,1,0,10,3
"M","C","CJ",31,1,0,1,1,14,5
"M","B","AZ",40,0,0,1,2,16,3
"M","A","AZ",18,0,3,0,1,4,3
"F","A","IC",27,1,1,1,0,9,3
"F","A","CJ",30,1,1,2,1,5,3
"M","A","PO",24,1,0,6,3,15,5
"M","B","EY",19,1,2,1,1,4,3
"M","B","PO",20,0,0,0,3,6,4
"F","A","EY",16,0,1,1,3,2,4
"F","B","CJ",17,1,2,1,2,6,3
"F","A","CJ",16,2,1,0,1,2,3
"M","B","AZ",16,0,0,1,4,1,4
"M","B","CJ",33,0,0,0,2,25,3
"M","C","AZ",40,2,3,2,0,12,2
"F","A","IC",34,0,1,0,0,2,3
"M","B","CJ",23,1,1,2,4,9,3
"F","A","AZ",35,1,1,0,0,10,3
"F","B","AZ",48,4,1,3,2,6,5
"F","A","PO",36,0,1,5,3,25,5
"F","D","PO",19,2,0,2,3,10,5
"F","A","AZ",20,2,1,5,4,6,5
"F","D","CB",16,2,1,1,1,17,5
"F","C","PO",18,8,0,1,1,8,6
"F","B","AZ",24,1,2,3,3,11,5
"F","B","PO",16,2,2,5,3,9,5
"M","B","AZ",23,1,0,1,4,9,4
"M","C","AZ",33,1,1,0,3,11,4
"M","A","EY",17,1,1,2,6,1,4
"F","A","PO",19,2,0,1,1,3,3
"F","D","CB",22,2,1,0,4,10,4
"M","B","AZ",23,3,1,1,7,8,3
"F","B","CB",39,2,2,0,2,18,3
"M","A","CB",18,0,0,2,3,1,4
"F","A","CB",32,0,2,1,2,4,2
"F","A","EY",17,0,0,0,2,5,3
"F","C","PO",25,0,0,2,3,11,5
"F","A","AZ",27,0,1,2,1,6,3
"F","A","CB",30,1,0,0,0,0,1
"M","A","CJ",21,1,0,1,2,11,4
"F","C","AZ",24,1,1,0,3,3,4
"M","B","IC",39,1,1,2,2,18,4
"F","B","PO",34,0,2,1,2,14,3
"M","A","ST",32,4,1,3,0,4,2
"M","C","IC",20,0,0,3,1,17,5
"F","C","AZ",18,2,0,1,1,4,5
"F","A","AZ",36,3,3,1,2,12,3
"M","B","PO",21,2,1,1,2,14,5
"F","D","EY",18,1,3,1,3,8,4
"M","C","EY",22,1,1,1,4,13,3
"F","A","EY",15,1,1,1,2,1,3
"F","B","PO",18,0,1,0,1,1,4
"F","B","AZ",38,3,2,2,0,20,5
"F","C","PO",20,4,0,2,2,4,5
"M","C","IC",26,1,0,1,1,10,4
"F","B","EY",28,0,0,2,2,10,3
"F","C","EY",18,0,0,0,1,1,3
"F","A","CB",18,1,2,0,3,15,3
"F","A","PO",18,3,0,5,5,5,5
"F","A","IC",28,2,1,0,0,12,2
"F","B","PO",18,4,2,2,2,4,5
"F","C","AZ",29,0,0,0,0,7,3
"F","B","CJ",20,0,0,0,2,3,3
"M","A","PO",16,2,1,1,5,2,3
"M","B","AZ",30,1,3,2,6,6,4
"M","C","AZ",35,2,1,1,0,13,5
"F","C","ST",21,3,1,4,2,7,5
"F","A","EY",35,0,3,0,0,1,1
"M","A","AZ",31,3,1,2,2,5,5
"M","A","ST",17,0,1,1,4,2,3
"M","D","CJ",50,1,1,1,3,16,4
"M","C","PO",19,1,0,0,5,1,3
"M","B","CJ",17,1,3,1,5,4,4
"F","A","PO",21,3,3,2,1,17,5
"F","A","CJ",25,1,1,1,0,6,2
"F","B","IC",19,2,0,1,2,18,5
"F","A","PO",35,1,0,0,1,5,4
"F","A","PO",28,1,0,0,0,2,4
"F","C","EY",19,0,0,1,3,2,4
"F","B","EY",19,1,0,1,1,3,3
"F","B","EY",23,0,0,2,5,15,4
"F","C","AZ",16,3,0,1,3,4,5
"M","B","EY",21,1,1,1,5,7,3
"M","B","IC",32,1,1,2,1,12,5
"M","A","CJ",26,2,0,0,0,3,3
"F","B","PO",28,1,0,3,2,1,3
"F","C","CJ",48,2,2,1,2,23,3
"F","B","CJ",15,1,5,1,2,6,4
"M","A","PO",17,2,0,5,7,6,3
"M","D","IC",15,3,0,4,1,4,5
"M","B","CB",34,2,1,1,3,5,6
"F","A","CB",43,1,2,0,4,10,5
"F","A","ST",29,2,0,1,3,5,2
"M","A","AZ",27,0,0,2,2,27,3
"M","C","AZ",41,2,2,2,0,6,5
"M","B","AZ",27,2,1,3,2,20,5
"M","A","ST",24,0,1,1,3,7,4
"M","A","EY",20,2,1,1,3,2,3
"M","B","AZ",18,0,3,0,3,4,3
"F","B","PO",19,3,1,1,3,1,4
"F","C","AZ",16,0,1,0,2,1,4
"F","A","CJ",26,1,1,1,1,0,4
"F","B","IC",18,1,1,0,1,2,3
"M","C","PO",33,1,2,4,4,8,5
"M","C","EY",29,1,0,2,2,5,4
"M","A","PO",27,0,0,1,3,5,3
"F","B","IC",19,2,0,5,1,11,5
"F","B","AZ",19,1,0,4,6,6,3
"F","B","CJ",16,1,1,5,3,7,5
"M","A","CJ",15,0,0,4,3,20,5
"M","C","AZ",20,4,0,3,1,6,5
"M","A","PO",20,1,0,1,3,3,5
"F","A","CB",23,1,2,2,3,6,3
"F","A","AZ",40,0,0,1,4,14,3
"F","C","PO",16,3,0,7,4,5,5
"F","B","EY",20,1,1,1,2,7,3
"M","B","PO",31,2,5,0,2,11,4
"F","C","CB",21,2,0,2,0,21,5
"M","A","CJ",31,3,1,0,0,6,2
"F","B","CB",44,2,3,3,1,20,3
"F","B","CJ",19,0,0,1,6,1,4
"F","B","CB",15,3,0,0,0,1,3
"M","B","IC",19,1,2,0,2,3,5
"M","B","PO",16,3,2,0,0,5,4
"M","C","CB",15,3,0,1,1,6,5
"F","A","EY",28,0,1,1,2,5,3
"F","B","PO",20,0,2,5,5,7,3
"M","A","AZ",15,1,0,4,3,9,5
"F","C","CB",35,0,1,2,2,20,5
"F","C","CJ",36,3,3,0,0,7,3
"F","B","AZ",31,0,2,0,3,12,3
"M","B","EY",24,0,0,0,1,9,4
"M","A","CB",37,0,0,0,4,15,3
"F","B","EY",15,0,2,0,0,1,3
"F","C","AZ",30,1,0,1,1,1,3
"M","D","IC",17,1,3,5,3,5,5
"F","A","PO",15,0,3,1,4,6,3
"M","B","EY",20,1,3,3,7,2,3
"F","C","AZ",15,2,0,0,0,2,3
"M","B","EY",32,1,1,3,2,32,5
"M","B","CJ",34,1,1,0,0,8,4
"F","D","PO",17,3,1,2,1,26,5
"F","A","AZ",18,1,0,2,2,6,4
"M","B","PO",15,1,1,1,6,2,3
"F","B","EY",24,1,2,1,5,7,3
"M","B","CB",23,0,2,0,0,15,3
"M","A","PO",37,2,0,1,2,33,4
"F","C","CJ",39,0,1,2,3,10,4
"F","B","CB",22,0,3,0,4,17,4
"F","A","PO",18,1,0,1,2,3,4
"M","B","PO",21,2,0,0,3,7,3
"F","B","PO",20,4,1,0,1,2,4
"F","A","CB",20,1,1,1,0,10,5
"F","B","CB",16,1,1,3,1,11,5
"M","A","PO",23,2,2,1,0,8,5
"F","B","CJ",23,1,0,1,2,4,3
"F","B","AZ",20,1,1,0,2,7,3
"M","A","IC",19,1,0,1,4,1,3
"F","A","AZ",25,0,0,1,0,1,1
"F","A","ST",16,1,1,1,3,2,4
"F","A","IC",32,2,3,2,4,23,3
"M","A","CJ",38,0,0,0,0,3,3
"F","A","EY",16,0,0,2,5,2,3
"M","A","PO",15,2,1,5,4,8,5
"F","B","PO",23,0,1,1,4,12,3
"F","B","IC",16,2,3,0,4,5,4
"F","A","IC",25,1,1,0,1,1,1
"F","C","CB",17,2,1,3,2,8,5
"F","A","AZ",15,2,0,0,3,1,4
"M","B","PO",21,2,1,1,4,10,4
"M","B","IC",15,2,0,0,2,1,3
"M","B","AZ",27,0,1,1,2,15,4
"M","C","PO",17,4,4,7,2,16,5
"F","D","AZ",26,3,3,1,4,12,3
"F","B","PO",19,0,1,2,2,13,5
"M","C","ST",40,2,2,2,3,11,5
"F","D","CB",36,2,0,8,3,8,5
"F","C","AZ",17,0,0,0,2,4,4
"M","B","IC",37,1,0,3,2,23,5
"M","B","CB",23,0,1,0,4,5,3
"F","A","EY",29,0,1,2,8,23,4
"M","B","PO",55,3,2,1,0,35,4
"F","A","AZ",26,3,3,1,1,2,3
"F","C","PO",58,2,1,5,4,9,5
"F","A","AZ",20,3,1,2,1,8,5
"F","B","IC",33,3,2,3,3,22,3
"F","B","CJ",18,1,0,0,1,4,3
"F","A","AZ",19,1,0,1,3,4,4
"F","A","AZ",27,1,1,2,0,3,3
"F","B","CJ",35,3,1,3,1,8,4
"M","A","AZ",17,2,0,1,6,2,4
"M","C","PO",18,0,2,2,3,6,4
"M","A","ST",35,2,1,3,2,20,5
"M","C","CJ",18,1,0,5,2,11,5
"F","C","EY",20,0,0,1,3,4,3
"M","B","PO",17,0,0,4,3,8,5
"M","A","AZ",27,2,1,0,0,2,2
"F","B","CB",18,1,1,1,4,2,3
"F","A","PO",23,0,2,0,3,13,4
"F","A","IC",20,0,1,2,1,8,5
"M","A","CJ",19,0,0,3,7,5,3
"M","B","PO",17,2,1,0,1,1,4
"F","B","CB",26,4,0,3,2,11,3
"F","B","AZ",25,1,2,2,0,1,3
"F","C","AZ",17,1,1,0,3,1,4
"M","A","IC",31,0,0,3,2,5,2
"M","A","PO",17,3,1,2,0,41,5
"F","A","IC",16,1,2,0,4,2,3
"F","A","CJ",23,1,1,1,3,8,3
"F","A","AZ",27,0,0,1,2,1,4
"F","A","PO",25,0,0,4,2,6,5
"F","A","CB",28,3,3,2,2,14,5
"M","B","CJ",20,7,0,6,2,5,5
"F","D","AZ",38,0,0,0,2,16,3
"F","A","CB",25,0,0,0,0,2,3
"F","D","EY",15,2,1,2,5,3,4
"M","C","AZ",16,0,0,1,4,8,4
"F","B","EY",22,2,3,2,3,4,3
"M","D","PO",47,2,0,5,2,9,5
"F","D","PO",17,0,1,4,10,2,4
"F","C","PO",18,2,0,1,1,10,5
"M","C","AZ",15,1,3,1,1,16,5
"F","A","EY",25,1,2,0,0,3,3
"F","A","AZ",26,0,1,0,1,4,2
"M","B","CB",29,0,3,3,6,4,4
"F","B","CB",26,0,3,0,2,6,3
"F","D","PO",19,2,0,2,1,9,5
"M","D","CB",22,1,1,3,3,9,4
"F","C","CJ",17,2,1,3,2,4,5
"F","A","IC",26,2,1,1,0,1,3
"F","A","CB",31,2,1,2,2,9,3
"F","B","PO",55,2,1,1,1,34,4
"M","B","ST",56,0,2,1,3,19,4
"F","B","IC",36,1,0,0,1,7,3
"M","B","PO",15,2,1,8,6,15,5
"F","B","IC",18,2,0,2,2,12,4
"M","A","PO",28,0,2,0,3,12,4
"M","B","PO",16,2,1,5,1,6,5
"F","B","PO",58,4,0,3,2,39,5
"F","B","CB",16,2,0,3,3,4,3
"M","B","PO",21,2,2,2,0,14,5
"F","B","EY",25,0,2,0,2,3,3
"F","A","EY",18,0,2,1,1,1,3
"F","C","EY",36,1,0,0,4,6,3
"M","A","PO",30,0,2,1,3,17,3
"M","B","CB",18,1,0,2,6,18,3
"M","B","AZ",17,0,1,2,2,1,3
"M","D","PO",39,1,0,5,1,7,5
"M","B","PO",25,1,1,5,0,22,5
"F","A","IC",26,2,0,0,2,7,3
"F","A","IC",59,2,1,0,3,16,3
"M","B","CB",31,0,1,0,2,25,3
"F","D","AZ",20,2,2,2,0,15,5
"F","B","PO",29,1,0,2,0,3,3
"F","C","CJ",16,0,3,0,4,9,4
"F","C","CB",18,0,2,0,3,5,4
"F","C","ST",20,0,0,0,0,8,5
"F","A","PO",17,2,1,2,6,2,3
"M","B","CJ",33,1,1,0,3,1,3
"F","B","AZ",22,1,2,1,3,4,3
"F","B","CB",19,0,0,3,1,6,5
"F","B","EY",24,1,1,2,3,9,4
"F","B","PO",37,1,0,1,1,15,5
"F","A","AZ",31,1,0,0,2,12,3
"F","B","PO",15,3,1,1,6,7,3
"F","C","PO",28,1,0,1,5,6,4
"M","C","CJ",21,4,1,3,2,5,5
"F","A","CJ",26,0,1,0,2,5,3
"F","B","AZ",17,7,1,2,2,14,5
"F","A","AZ",31,1,0,0,1,14,4
"M","A","AZ",37,2,1,0,1,1,4
"F","A","CB",19,2,1,5,4,10,5
"F","D","AZ",21,0,1,2,4,6,3
"F","B","PO",20,3,3,6,3,16,5
"M","C","CB",45,4,2,3,7,31,5
"F","B","ST",19,2,0,0,4,13,3
"M","B","ST",23,1,2,2,1,6,5
"M","B","CJ",15,2,1,1,2,3,4
"F","A","CB",33,0,1,0,4,9,2
"F","A","CJ",15,1,1,1,0,17,3
"F","A","AZ",34,0,0,1,2,3,2
"M","B","EY",17,1,0,0,5,1,4
"F","B","AZ",16,2,1,1,3,3,3
"M","B","PO",19,2,3,1,2,6,5
"M","B","AZ",19,2,1,2,1,4,5
"F","A","AZ",34,2,2,0,0,4,4
"F","D","PO",32,2,2,2,1,43,5
"F","D","AZ",22,3,2,1,0,8,6
"F","B","ST",31,2,1,0,1,9,4
"M","B","CJ",18,5,2,2,0,5,5
"F","B","EY",16,5,1,4,1,5,5
"F","B","IC",24,0,0,1,0,28,5
"M","C","AZ",18,1,1,1,6,1,3
"F","B","EY",17,0,0,3,7,5,3
"F","B","PO",20,2,2,4,4,19,5
"F","B","CB",17,0,0,1,3,6,5
"F","C","AZ",25,2,1,0,0,0,2
"F","D","ST",39,4,1,2,2,9,4
"F","A","IC",26,0,0,0,1,4,5
"F","A","AZ",20,2,0,1,5,3,3
"M","A","CJ",34,1,1,2,4,27,3
"M","B","CJ",17,0,2,0,1,18,3
"M","A","PO",59,0,1,1,5,31,4
"F","A","AZ",16,1,0,0,0,4,4
"M","C","ST",18,1,0,1,4,3,3
"F","A","IC",25,1,1,1,4,7,3
"F","C","CB",25,0,1,0,1,2,3
"F","D","AZ",22,0,0,2,5,2,3
"M","A","EY",20,2,0,0,4,8,3
"F","B","PO",19,2,0,4,1,7,5
"F","A","AZ",28,2,0,1,2,5,2
"F","B","CJ",23,2,1,1,6,6,3
"F","C","CB",32,0,2,0,3,11,4
"F","C","AZ",28,4,0,2,2,6,5
"F","B","ST",16,3,0,2,1,6,5
"M","C","PO",17,1,0,6,3,10,5
"M","A","PO",16,3,1,1,1,8,5
"F","C","AZ",29,3,2,2,0,1,3
"F","B","CB",17,1,0,2,1,22,5
"M","D","IC",25,2,0,0,4,6,3
"F","B","CJ",18,0,2,5,7,3,4
"M","A","AZ",22,0,1,0,2,1,3
"M","B","EY",22,2,1,0,3,1,3
"F","B","AZ",38,1,0,1,1,29,5
"F","C","CJ",25,3,2,2,1,5,5
"F","B","AZ",16,0,1,0,1,2,3
"F","A","AZ",27,1,0,1,2,1,4
"F","C","AZ",33,1,2,0,1,8,3
"F","B","CB",36,0,1,1,4,13,4
"M","B","PO",26,1,0,2,1,25,5
"M","A","PO",15,3,1,2,2,7,5
"F","B","PO",17,3,1,2,2,15,5
"M","A","PO",19,0,1,4,1,4,5
"F","B","CB",27,0,0,1,3,19,4
"M","B","AZ",15,0,2,0,1,1,3
"F","C","PO",32,1,0,2,0,17,5
"M","B","PO",21,1,0,3,2,5,5
"F","B","CJ",34,1,0,2,2,29,5
"F","B","CJ",32,2,1,1,0,1,3
"F","C","PO",17,0,0,3,6,17,5
"F","A","IC",25,0,0,0,1,8,2
"F","D","AZ",17,2,1,2,2,4,5
"M","A","CB",30,0,0,3,3,2,4
"F","B","PO",17,2,2,2,6,7,4
"F","B","CJ",18,1,1,0,2,1,4
"F","A","CJ",42,1,1,0,0,2,2
"F","A","EY",34,3,2,0,1,1,3
"M","B","CB",18,1,1,1,0,4,3
"M","A","CJ",24,2,0,4,2,10,5
"F","B","CB",17,1,0,1,2,2,4
"M","A","IC",21,0,1,2,1,9,5
"M","B","AZ",24,1,1,2,4,4,4
"M","B","AZ",26,3,2,2,3,19,3
"M","C","CB",19,3,1,2,1,14,5
"F","B","CJ",22,1,1,1,4,6,3
"M","B","PO",59,0,0,0,2,35,4
"F","D","PO",19,1,1,0,0,3,3
"M","C","AZ",34,2,2,5,3,9,5
"F","C","PO",26,3,4,2,0,6,3
"M","C","AZ",17,1,0,6,4,6,5
"M","A","AZ",19,2,1,1,1,9,5
"F","A","AZ",32,1,2,1,1,17,3
"F","B","IC",25,1,1,0,2,9,4
"F","C","CJ",15,3,3,1,3,10,5
"F","A","AZ",36,0,0,0,3,4,4
"F","B","EY",24,0,0,0,1,6,4
"F","A","EY",29,0,0,0,1,22,3
"F","A","ST",43,2,1,1,4,20,4
"F","D","EY",15,1,1,2,3,12,4
"M","A","CB",27,5,1,6,4,15,5
"F","D","PO",20,3,2,5,2,9,5
"F","A","PO",18,3,3,2,2,4,5
"F","C","AZ",16,2,2,1,5,1,3
"M","B","PO",36,2,4,6,1,19,5
